Unnamed: 0,Duelos_Ofensivos_Ganhos,Pisadas_Área,Dribles_BemSucedidos,Acelerações,Passes_Longos_Recebidos,xG,Finalizações_NoAlvo,Conversão_Gols,xA,Assistência_Finalização,Deep_Completions,Deep_Completed_Crosses,Passes_Chave,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Duelos_Ofensivos_Ganhos_LM,Pisadas_Área_LM,Dribles_BemSucedidos_LM,Acelerações_LM,Passes_Longos_Recebidos_LM,xG_LM,Finalizações_NoAlvo_LM,Conversão_Gols_LM,xA_LM,Assistência_Finalização_LM,Deep_Completions_LM,Deep_Completed_Crosses_LM,Passes_Chave_LM,Duelos_Ofensivos_Ganhos_Rank,Pisadas_Área_Rank,Dribles_BemSucedidos_Rank,Acelerações_Rank,Passes_Longos_Recebidos_Rank,xG_Rank,Finalizações_NoAlvo_Rank,Conversão_Gols_Rank,xA_Rank,Assistência_Finalização_Rank,Deep_Completions_Rank,Deep_Completed_Crosses_Rank,Passes_Chave_Rank,Duelos_Ofensivos_Ganhos_Percentil,Pisadas_Área_Percentil,Dribles_BemSucedidos_Percentil,Acelerações_Percentil,Passes_Longos_Recebidos_Percentil,xG_Percentil,Finalizações_NoAlvo_Percentil,Conversão_Gols_Percentil,xA_Percentil,Assistência_Finalização_Percentil,Deep_Completions_Percentil,Deep_Completed_Crosses_Percentil,Passes_Chave_Percentil
0,0.182257,0.684848,0.235606,0.102151,0.744589,0.645161,0.749345,0.862721,1.0,0.680982,0.551136,0.783582,0.640777,1.0,Rodriguinho,América Mineiro,América Mineiro,"LW, LAMF",LW,10,21,0,,13,935,Brazil,Brazil,right,170,65,no,BRA2,Testing,2024,Extremo Agudo,1.0,1,60,98,0.350544,0.497828,0.419153,0.268728,0.500361,0.416129,0.460002,0.332253,0.374638,0.354499,0.305682,0.522637,0.243851,52,11.0,51,51.0,7.0,8.0,11,3.5,1.0,7.0,7.5,11.0,3.0,13,81,15,15,88,86,81,94,98,88,87,81,95
1,0.342007,0.866667,0.44955,0.284946,0.805195,1.0,0.850759,0.417702,0.608696,0.674847,0.477273,0.58209,0.242718,0.996035,Guilherme,Santos,Santos,"LAMF, LW",LAMF,10,29,1000000,2026-12-31,28,2530,Brazil,Brazil,left,180,65,no,BRA2,Testing,2024,Extremo Agudo,0.996,2,60,96,0.350544,0.497828,0.419153,0.268728,0.500361,0.416129,0.460002,0.332253,0.374638,0.354499,0.305682,0.522637,0.243851,29,5.0,23,28.0,6.0,1.0,5,20.0,10.5,9.0,11.0,20.0,22.5,51,91,61,53,90,98,91,66,82,85,81,66,62
2,0.530758,0.651515,0.557601,0.311828,0.320346,0.612903,0.753627,0.29729,0.434783,0.429448,0.789773,0.470149,0.427184,0.973467,Lucas Ronier,Coritiba U20,Coritiba,"RAMF, RW, CF",RAMF,10,19,0,,31,2787,Brazil,Brazil,left,165,60,no,BRA2,Testing,2024,Extremo Agudo,0.973,3,60,95,0.350544,0.497828,0.419153,0.268728,0.500361,0.416129,0.460002,0.332253,0.374638,0.354499,0.305682,0.522637,0.243851,9,12.5,16,22.0,49.0,11.0,10,27.0,21.5,19.0,3.0,34.0,10.0,85,79,73,63,18,81,83,55,64,68,95,43,83
3,0.313568,0.624242,0.247722,0.38172,0.424242,0.967742,0.730219,0.437796,0.434783,0.484663,0.4375,0.507463,0.38835,0.964647,Alesson,Vila Nova,Vila Nova,"LW, LAMF, LWF",LW,10,25,550000,2025-12-31,32,3174,Brazil,Brazil,right,173,68,no,BRA2,Testing,2024,Extremo Agudo,0.965,4,60,93,0.350544,0.497828,0.419153,0.268728,0.500361,0.416129,0.460002,0.332253,0.374638,0.354499,0.305682,0.522637,0.243851,33,18.0,47,14.0,38.5,2.0,13,17.0,21.5,16.0,14.5,26.5,12.0,45,70,21,76,35,96,78,71,64,73,75,55,80
4,0.405398,0.433333,0.566936,0.569892,0.900433,0.483871,0.532343,0.166648,0.826087,0.797546,1.0,1.0,0.485437,0.958487,Adyson,América Mineiro,América Mineiro,"RAMF, RW, RWF",RAMF,10,19,0,,27,1613,Brazil,Brazil,left,168,60,no,BRA2,Testing,2024,Extremo Agudo,0.958,5,60,91,0.350544,0.497828,0.419153,0.268728,0.500361,0.416129,0.460002,0.332253,0.374638,0.354499,0.305682,0.522637,0.243851,22,37.5,15,4.0,4.0,21.5,23,47.5,5.0,4.0,1.0,1.0,7.5,63,37,75,93,93,64,61,20,91,93,98,98,87
5,0.43499,0.984848,0.57057,0.467742,0.532468,0.741935,0.658814,0.517105,0.347826,0.325153,0.357955,0.679104,0.485437,0.901481,Erick Pulga,Ceará,Ceará,"LW, LAMF, LWF",LW,10,24,1000000,2025-12-31,31,3089,Brazil,Brazil,right,169,70,no,BRA2,Testing,2024,Extremo Agudo,0.901,6,60,90,0.350544,0.497828,0.419153,0.268728,0.500361,0.416129,0.460002,0.332253,0.374638,0.354499,0.305682,0.522637,0.243851,15,2.0,13,7.0,26.0,5.0,16,12.0,29.0,25.0,23.5,16.5,7.5,75,96,78,88,56,91,73,80,51,58,60,72,87
6,0.183467,0.972727,0.260633,0.290323,0.69697,0.774194,0.382434,0.499982,0.434783,0.337423,0.551136,0.253731,0.330097,0.896139,Fabinho,América Mineiro,América Mineiro,"LAMF, LWF, RAMF",LAMF,10,24,1500000,2025-12-31,31,2017,Brazil,Brazil,left,180,75,no,BRA2,Testing,2024,Extremo Agudo,0.896,7,60,88,0.350544,0.497828,0.419153,0.268728,0.500361,0.416129,0.460002,0.332253,0.374638,0.354499,0.305682,0.522637,0.243851,51,3.0,45,26.5,11.0,3.5,36,14.0,21.5,23.0,7.5,54.0,14.5,15,95,25,55,81,94,40,76,64,61,87,10,75
7,0.685207,0.787879,0.915414,0.301075,0.341991,0.290323,0.406221,0.407399,0.652174,0.325153,0.414773,0.723881,0.592233,0.825461,Fernandinho,Mirassol,Mirassol,"LW, LWF, LAMF",LW,10,27,400000,2024-11-30,30,2318,Brazil,Brazil,right,175,70,no,BRA2,Testing,2024,Extremo Agudo,0.825,8,60,86,0.350544,0.497828,0.419153,0.268728,0.500361,0.416129,0.460002,0.332253,0.374638,0.354499,0.305682,0.522637,0.243851,3,7.0,2,24.0,48.0,44.5,34,21.0,7.5,25.0,18.0,12.0,4.0,95,88,96,60,20,25,43,65,87,58,70,80,93
8,1.0,0.539394,1.0,0.166667,0.190476,0.516129,0.222126,0.333333,0.695652,0.595092,0.380682,0.962687,0.417476,0.793238,Victor Andrade,Botafogo SP,Botafogo SP,"LW, LWF, CF",LW,10,29,0,2024-12-31,13,1156,Brazil,Brazil,right,178,72,no,BRA2,Testing,2024,Extremo Agudo,0.793,9,60,85,0.350544,0.497828,0.419153,0.268728,0.500361,0.416129,0.460002,0.332253,0.374638,0.354499,0.305682,0.522637,0.243851,1,26.0,1,40.0,56.0,18.0,50,24.0,6.0,11.0,20.0,3.0,11.0,98,56,98,33,6,70,16,60,90,81,66,95,81
9,0.426116,0.621212,0.569779,0.370968,0.679654,0.322581,0.097138,0.687493,0.608696,0.496933,0.4375,0.843284,0.495146,0.785716,Ronald,Operário PR,Operário PR,"RW, RAMF, RWF",RW,10,27,300000,2024-12-31,26,1408,Brazil,Brazil,left,162,60,no,BRA2,Testing,2024,Extremo Agudo,0.786,10,60,83,0.350544,0.497828,0.419153,0.268728,0.500361,0.416129,0.460002,0.332253,0.374638,0.354499,0.305682,0.522637,0.243851,19,19.0,14,16.0,13.5,40.5,55,7.0,10.5,14.0,14.5,8.0,6.0,68,68,76,73,77,32,8,88,82,76,75,86,90
10,0.265696,0.363636,0.21777,0.11828,0.718615,0.0,0.002586,0.183332,0.913043,0.785276,0.971591,0.977612,0.533981,0.773132,Lucas Lima,Sport Recife,Sport Recife,"RW, RAMF, CF",RW,10,34,600000,2025-04-30,31,2847,Brazil,Brazil,left,176,70,yes,BRA2,Testing,2024,Extremo Agudo,0.773,11,60,81,0.350544,0.497828,0.419153,0.268728,0.500361,0.416129,0.460002,0.332253,0.374638,0.354499,0.305682,0.522637,0.243851,41,41.5,53,46.5,8.5,59.5,59,44.0,3.0,5.0,2.0,2.0,5.0,31,30,11,22,85,0,1,26,95,91,96,96,91
11,0.591103,0.748485,0.784685,0.424731,0.965368,0.516129,0.839157,0.277784,0.347826,0.276074,0.357955,0.69403,0.23301,0.769438,Matheus Serafim,Amazonas,Amazonas,"LW, RW, LAMF",LW,10,26,0,2026-12-31,32,2848,Brazil,Brazil,right,178,70,no,BRA2,Testing,2024,Extremo Agudo,0.769,12,60,80,0.350544,0.497828,0.419153,0.268728,0.500361,0.416129,0.460002,0.332253,0.374638,0.354499,0.305682,0.522637,0.243851,5,10.0,5,11.5,2.0,18.0,6,29.0,29.0,31.5,23.5,15.0,25.0,91,83,91,80,96,70,90,51,51,47,60,75,58
12,0.433414,0.324242,0.623375,0.295699,0.52381,0.354839,0.531027,0.431379,0.478261,0.521472,0.340909,0.91791,0.184466,0.765293,Jean Dias,Paysandu,Paysandu,"RAMF, LAMF, RW",RAMF,10,34,350000,2024-12-31,26,1481,Brazil,Brazil,right,170,66,no,BRA2,Testing,2024,Extremo Agudo,0.765,13,60,78,0.350544,0.497828,0.419153,0.268728,0.500361,0.416129,0.460002,0.332253,0.374638,0.354499,0.305682,0.522637,0.243851,16,43.0,10,25.0,28.0,36.5,25,18.5,18.5,13.0,25.0,7.0,35.5,73,28,83,58,53,39,58,69,69,78,58,88,40
13,0.242923,0.472727,0.322978,0.44086,0.367965,0.419355,0.326783,0.509258,0.478261,0.257669,0.443182,0.30597,0.359223,0.755075,Vinícius Pavia,Ituano,Ituano,"LAMF, LW, LWF",LAMF,10,23,700000,2024-12-31,30,2423,Brazil,Brazil,right,174,65,yes,BRA2,Testing,2024,Extremo Agudo,0.755,14,60,76,0.350544,0.497828,0.419153,0.268728,0.500361,0.416129,0.460002,0.332253,0.374638,0.354499,0.305682,0.522637,0.243851,46,34.0,38,10.0,43.0,27.5,40,13.0,18.5,36.0,13.0,51.0,13.0,23,43,36,83,28,54,33,78,69,40,78,15,78
14,0.208712,0.433333,0.303086,0.317204,0.506494,0.064516,0.010282,0.183332,0.913043,0.93865,0.420455,0.828358,0.650485,0.752792,Paulinho Moccelin,Brusque,Brusque,"LW, CF",LW,10,30,350000,2025-12-31,29,1859,Brazil,Brazil,right,169,62,no,BRA2,Testing,2024,Extremo Agudo,0.753,15,60,75,0.350544,0.497828,0.419153,0.268728,0.500361,0.416129,0.460002,0.332253,0.374638,0.354499,0.305682,0.522637,0.243851,47,37.5,41,21.0,30.5,57.5,58,44.0,3.0,2.0,17.0,9.5,2.0,21,37,31,65,49,4,3,26,95,96,71,84,96
15,0.394255,0.275758,0.581662,1.0,0.316017,0.258065,0.328779,0.0,0.913043,0.680982,0.028409,0.947761,1.0,0.738702,Paulo Vitor,Portimonense,Grêmio Novorizontino,"RW, CF, RB",RW,10,25,400000,2028-06-30,14,1110,Brazil,Brazil,right,168,75,no,BRA2,Testing,2024,Extremo Agudo,0.739,16,60,73,0.350544,0.497828,0.419153,0.268728,0.500361,0.416129,0.460002,0.332253,0.374638,0.354499,0.305682,0.522637,0.243851,23,49.0,12,1.0,50.0,49.5,39,57.0,3.0,7.0,57.0,4.5,1.0,61,18,80,98,16,17,35,5,95,88,5,92,98
16,0.260038,0.581818,0.31664,0.456989,0.709957,0.483871,0.451279,0.862721,0.217391,0.257669,0.329545,0.455224,0.058252,0.716749,Chrystian Barletta,Sport Recife,Sport Recife,"LW, RW, RAMF",LW,10,23,1200000,2028-12-31,28,2117,Brazil,Brazil,left,178,70,no,BRA2,Testing,2024,Extremo Agudo,0.717,17,60,71,0.350544,0.497828,0.419153,0.268728,0.500361,0.416129,0.460002,0.332253,0.374638,0.354499,0.305682,0.522637,0.243851,43,22.0,39,8.0,10.0,21.5,29,3.5,43.0,36.0,26.5,37.0,54.0,28,63,35,86,83,64,51,94,28,40,55,38,10
