Unnamed: 0,Ações_Defensivas_BemSucedidas,Passes_Longos_Certos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Ações_Ofensivas_BemSucedidas,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,Corridas_Progressivas,Passes_TerçoFinal_Certos,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Ações_Defensivas_BemSucedidas_LM,Passes_Longos_Certos_LM,Passes_Frontais_Certos_LM,Passes_Progressivos_Certos_LM,Ações_Ofensivas_BemSucedidas_LM,Duelos_Ofensivos_Ganhos_LM,Dribles_BemSucedidos_LM,Corridas_Progressivas_LM,Passes_TerçoFinal_Certos_LM,Ações_Defensivas_BemSucedidas_Rank,Passes_Longos_Certos_Rank,Passes_Frontais_Certos_Rank,Passes_Progressivos_Certos_Rank,Ações_Ofensivas_BemSucedidas_Rank,Duelos_Ofensivos_Ganhos_Rank,Dribles_BemSucedidos_Rank,Corridas_Progressivas_Rank,Passes_TerçoFinal_Certos_Rank,Ações_Defensivas_BemSucedidas_Percentil,Passes_Longos_Certos_Percentil,Passes_Frontais_Certos_Percentil,Passes_Progressivos_Certos_Percentil,Ações_Ofensivas_BemSucedidas_Percentil,Duelos_Ofensivos_Ganhos_Percentil,Dribles_BemSucedidos_Percentil,Corridas_Progressivas_Percentil,Passes_TerçoFinal_Certos_Percentil
10,0.76105,0.133589,0.210613,0.094992,0.218855,0.337166,0.451718,0.129032,0.207261,0.4623,Jacy,Operário PR,Operário PR,"DMF, RDMF, RCMF",DMF,7,27,100000,2025-12-31,26,1811,Brazil,Brazil,right,192,83,no,BRA2,Testing,2024,Primeiro Volante Construtor,0.462,11,32,65,0.461542,0.306606,0.417685,0.396703,0.296928,0.409955,0.346099,0.307964,0.406442,5,28,25,26,18.0,21,8,23.5,24,84,12,21,18,43,34,75,26,25
11,0.53453,0.213245,0.432505,0.297432,0.424242,0.588307,0.569115,0.150538,0.364525,0.460544,Vinicius Diniz,Operário PR,Operário PR,"RDMF, RCMF, LCMF",RDMF,7,25,100000,2025-12-31,26,1639,Brazil,Brazil,right,190,82,no,BRA2,Testing,2024,Primeiro Volante Construtor,0.461,12,32,62,0.461542,0.306606,0.417685,0.396703,0.296928,0.409955,0.346099,0.307964,0.406442,11,21,15,22,8.0,6,4,21.0,18,65,34,53,31,75,81,87,34,43
12,0.429558,0.256502,0.418542,0.491204,0.215488,0.405415,0.283655,0.0,0.527546,0.448935,Arilson,Vila Nova,Vila Nova,"LDMF, LCMF",LDMF,7,30,450000,2024-12-31,15,975,Brazil,Brazil,right,180,82,no,BRA2,Testing,2024,Primeiro Volante Construtor,0.449,13,32,59,0.461542,0.306606,0.417685,0.396703,0.296928,0.409955,0.346099,0.307964,0.406442,16,18,16,8,19.0,15,18,32.0,11,50,43,50,75,40,53,43,0,65
13,0.790055,0.006178,0.149394,0.090208,0.59596,0.667616,0.715563,0.784946,0.125681,0.428264,Vini Paulista,Coritiba,Coritiba,"LDMF, LW, RDMF",LDMF,7,23,500000,2025-12-31,26,1702,Brazil,Brazil,right,179,71,no,BRA2,Testing,2024,Primeiro Volante Construtor,0.428,14,32,56,0.461542,0.306606,0.417685,0.396703,0.296928,0.409955,0.346099,0.307964,0.406442,3,31,27,27,3.0,4,3,3.0,29,90,3,15,15,90,87,90,90,9
14,0.774862,0.154532,0.064229,0.07867,0.0,0.0,0.049065,0.005376,0.116977,0.426578,Rodrigo,Ituano,Ituano,"DMF, LDMF, LCMF",DMF,7,30,0,2024-12-31,29,2371,Brazil,Brazil,right,176,70,no,BRA2,Testing,2024,Primeiro Volante Construtor,0.427,15,32,53,0.461542,0.306606,0.417685,0.396703,0.296928,0.409955,0.346099,0.307964,0.406442,4,25,29,29,32.0,32,31,31.0,30,87,21,9,9,0,0,3,3,6
15,0.417127,0.148892,0.546327,0.455086,0.400673,0.590417,0.480081,0.580645,0.498667,0.424639,João Pedro,CRB,CRB,"RDMF, RCMF, LDMF",RDMF,7,25,50000,2024-12-31,28,2420,Brazil,Brazil,right,185,72,no,BRA2,Testing,2024,Primeiro Volante Construtor,0.425,16,32,50,0.461542,0.306606,0.417685,0.396703,0.296928,0.409955,0.346099,0.307964,0.406442,17,27,9,13,9.0,5,5,7.0,12,46,15,71,59,71,84,84,78,62
16,0.259669,0.42935,0.479635,0.486317,1.0,1.0,0.997661,1.0,0.625899,0.394604,Netinho,Paysandu,Paysandu,"RDMF, RCMF, LDMF",RDMF,7,26,0,,24,883,Brazil,Brazil,right,180,76,no,BRA2,Testing,2024,Primeiro Volante Construtor,0.395,17,32,46,0.461542,0.306606,0.417685,0.396703,0.296928,0.409955,0.346099,0.307964,0.406442,27,7,13,10,1.0,1,2,1.0,6,15,78,59,68,96,96,93,96,81
17,0.176796,0.491508,0.508385,0.563632,0.511785,0.508481,0.403352,0.080645,0.601034,0.392607,Moisés,América Mineiro,América Mineiro,"LDMF, LCMF",LDMF,7,36,250000,2024-12-31,28,1368,Brazil,Brazil,right,184,76,no,BRA2,Testing,2024,Primeiro Volante Construtor,0.393,18,32,43,0.461542,0.306606,0.417685,0.396703,0.296928,0.409955,0.346099,0.307964,0.406442,30,5,11,7,6.0,7,11,26.5,8,6,84,65,78,81,78,65,17,75
18,0.453039,0.151595,0.304953,0.440522,0.329966,0.435323,0.418583,0.22043,0.290004,0.381364,Rômulo,CRB,CRB,"LDMF, RDMF, DMF",LDMF,7,28,450000,2024-12-31,22,921,Brazil,Brazil,right,182,80,no,BRA2,Testing,2024,Primeiro Volante Construtor,0.381,19,32,40,0.461542,0.306606,0.417685,0.396703,0.296928,0.409955,0.346099,0.307964,0.406442,15,26,23,15,11.0,13,10,16.0,22,53,18,28,53,65,59,68,50,31
19,0.320442,0.41815,0.512849,0.42415,0.23569,0.49468,0.444803,0.172043,0.376804,0.378007,Tárik,Chapecoense,Chapecoense,"LDMF, LCMF, RCMF",LDMF,7,31,50000,2024-12-31,24,1617,Brazil,"Brazil, Italy",right,183,72,no,BRA2,Testing,2024,Primeiro Volante Construtor,0.378,20,32,37,0.461542,0.306606,0.417685,0.396703,0.296928,0.409955,0.346099,0.307964,0.406442,20,8,10,17,16.5,9,9,20.0,15,37,75,68,46,48,71,71,37,53
20,0.468232,0.310376,0.342009,0.254805,0.26936,0.140959,0.237021,0.225806,0.14051,0.351262,Castro,Ponte Preta,Ponte Preta,"RDMF, LCB, RCMF",RDMF,7,29,0,,23,2196,Brazil,Brazil,right,191,81,no,BRA2,Testing,2024,Primeiro Volante Construtor,0.351,21,32,34,0.461542,0.306606,0.417685,0.396703,0.296928,0.409955,0.346099,0.307964,0.406442,13,13,22,24,15.0,30,22,15.0,28,59,59,31,25,53,6,31,53,12
21,0.291436,0.301935,0.657739,0.439609,0.296296,0.391169,0.388413,0.478495,0.532305,0.337061,Índio,Operário PR,Operário PR,"LDMF, LCMF",LDMF,7,32,100000,2024-12-31,23,1426,Brazil,Brazil,left,185,82,no,BRA2,Testing,2024,Primeiro Volante Construtor,0.337,22,32,31,0.461542,0.306606,0.417685,0.396703,0.296928,0.409955,0.346099,0.307964,0.406442,24,14,6,16,13.0,16,13,9.0,9,25,56,81,50,59,50,59,71,71
22,0.30663,0.44552,0.348529,0.357203,0.111111,0.230685,0.1577,0.182796,0.371971,0.312288,Emerson Santos,Ponte Preta,Ponte Preta,"LDMF, RCMF",LDMF,7,29,500000,2025-04-30,23,1457,Brazil,Brazil,right,184,75,no,BRA2,Testing,2024,Primeiro Volante Construtor,0.312,23,32,28,0.461542,0.306606,0.417685,0.396703,0.296928,0.409955,0.346099,0.307964,0.406442,21,6,21,21,27.0,26,26,19.0,16,34,81,34,34,15,18,18,40,50
23,0.251381,0.268571,0.483337,0.490232,0.289562,0.266983,0.220775,0.532258,0.528306,0.287385,João Vieira,Paysandu,Paysandu,"RDMF, LDMF, LCMF",RDMF,7,26,100000,2024-11-30,31,3011,Brazil,Brazil,right,173,68,no,BRA2,Testing,2024,Primeiro Volante Construtor,0.287,24,32,25,0.461542,0.306606,0.417685,0.396703,0.296928,0.409955,0.346099,0.307964,0.406442,28,16,12,9,14.0,24,23,8.0,10,12,50,62,71,56,25,28,75,68
24,0.530387,0.213761,0.032768,0.007934,0.151515,0.35684,0.390064,0.129032,0.0,0.271974,Auremir,Chapecoense,Chapecoense,"DMF, RDMF, LCMF",DMF,7,33,300000,2025-12-31,15,849,Brazil,Brazil,right,174,64,no,BRA2,Testing,2024,Primeiro Volante Construtor,0.272,25,32,21,0.461542,0.306606,0.417685,0.396703,0.296928,0.409955,0.346099,0.307964,0.406442,12,20,31,31,25.0,20,12,23.5,32,62,37,3,3,21,37,62,26,0
25,0.291436,0.0,0.410402,0.400854,0.740741,0.947185,1.0,0.897849,0.340317,0.24993,Neto Paraíba,Operário PR,Operário PR,"RDMF, LDMF, RCMF",RDMF,7,32,50000,2024-12-31,16,842,Brazil,Brazil,right,179,74,no,BRA2,Testing,2024,Primeiro Volante Construtor,0.25,26,32,18,0.461542,0.306606,0.417685,0.396703,0.296928,0.409955,0.346099,0.307964,0.406442,24,32,17,18,2.0,2,1,2.0,21,25,0,46,43,93,93,96,93,34
26,0.459945,0.188129,0.169605,0.084579,0.188552,0.303224,0.30667,0.080645,0.171077,0.238035,Dudu Vieira,Juventude,Ponte Preta,"RDMF, RB, RCMF",RDMF,7,30,200000,2025-12-31,14,1084,Brazil,Brazil,right,175,75,no,BRA2,Testing,2024,Primeiro Volante Construtor,0.238,27,32,15,0.461542,0.306606,0.417685,0.396703,0.296928,0.409955,0.346099,0.307964,0.406442,14,23,26,28,20.5,23,17,26.5,26,56,28,18,12,35,28,46,17,18
27,0.0,0.224894,0.402143,0.457824,0.457912,0.492767,0.4731,0.236559,0.484434,0.223855,Gabriel,Mirassol,Mirassol,"DMF, LCMF, CF",DMF,7,34,350000,2025-12-31,30,2386,Brazil,Brazil,right,178,67,no,BRA2,Testing,2024,Primeiro Volante Construtor,0.224,28,32,12,0.461542,0.306606,0.417685,0.396703,0.296928,0.409955,0.346099,0.307964,0.406442,32,19,18,12,7.0,10,6,14.0,13,0,40,43,62,78,68,81,56,59
28,0.191989,0.393052,0.232137,0.357426,0.538721,0.507501,0.381619,0.27957,0.348894,0.150946,Lourenço,Ceará,Ceará,"RDMF, RCMF, LCMF",RDMF,7,27,1000000,2025-12-31,27,2314,Brazil,Brazil,right,169,65,no,BRA2,Testing,2024,Primeiro Volante Construtor,0.151,29,32,9,0.461542,0.306606,0.417685,0.396703,0.296928,0.409955,0.346099,0.307964,0.406442,29,10,24,20,5.0,8,14,12.0,19,9,68,25,37,84,75,56,62,40
29,0.088398,0.172937,0.443288,0.230654,0.006734,0.38649,0.0,0.188172,0.2233,0.037023,Guilherme Xavier,Amazonas,Amazonas,"DMF, LCMF",DMF,7,29,100000,2024-12-31,12,853,Brazil,Brazil,left,170,73,no,BRA2,Testing,2024,Primeiro Volante Construtor,0.037,30,32,6,0.461542,0.306606,0.417685,0.396703,0.296928,0.409955,0.346099,0.307964,0.406442,31,24,14,25,31.0,18,32,18.0,23,3,25,56,21,3,43,0,43,28
30,0.292818,0.123918,0.053401,0.0,0.188552,0.224656,0.215318,0.11828,0.156131,0.034208,João Costa,Botafogo SP U20,Botafogo SP,"DMF, RCMF, LCMF",DMF,7,19,0,,28,2050,Brazil,Brazil,right,0,0,no,BRA2,Testing,2024,Primeiro Volante Construtor,0.034,31,32,3,0.461542,0.306606,0.417685,0.396703,0.296928,0.409955,0.346099,0.307964,0.406442,22,29,30,32,20.5,27,24,25.0,27,31,9,6,0,35,15,25,21,15
31,0.274862,0.07249,0.0,0.056959,0.313131,0.239798,0.30794,0.33871,0.071551,0.0,Foguinho,Chapecoense,Chapecoense,"RDMF, RCMF",RDMF,7,32,300000,2024-12-31,28,2335,Brazil,Brazil,right,180,75,no,BRA2,Testing,2024,Primeiro Volante Construtor,0.0,32,32,0,0.461542,0.306606,0.417685,0.396703,0.296928,0.409955,0.346099,0.307964,0.406442,26,30,32,30,12.0,25,16,10.0,31,18,6,0,6,62,21,50,68,3
