Unnamed: 0,Ações_Defensivas_BemSucedidas,Passes_Longos_Certos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Ações_Ofensivas_BemSucedidas,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,Corridas_Progressivas,Passes_TerçoFinal_Certos,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Ações_Defensivas_BemSucedidas_LM,Passes_Longos_Certos_LM,Passes_Frontais_Certos_LM,Passes_Progressivos_Certos_LM,Ações_Ofensivas_BemSucedidas_LM,Duelos_Ofensivos_Ganhos_LM,Dribles_BemSucedidos_LM,Corridas_Progressivas_LM,Passes_TerçoFinal_Certos_LM,Ações_Defensivas_BemSucedidas_Rank,Passes_Longos_Certos_Rank,Passes_Frontais_Certos_Rank,Passes_Progressivos_Certos_Rank,Ações_Ofensivas_BemSucedidas_Rank,Duelos_Ofensivos_Ganhos_Rank,Dribles_BemSucedidos_Rank,Corridas_Progressivas_Rank,Passes_TerçoFinal_Certos_Rank,Ações_Defensivas_BemSucedidas_Percentil,Passes_Longos_Certos_Percentil,Passes_Frontais_Certos_Percentil,Passes_Progressivos_Certos_Percentil,Ações_Ofensivas_BemSucedidas_Percentil,Duelos_Ofensivos_Ganhos_Percentil,Dribles_BemSucedidos_Percentil,Corridas_Progressivas_Percentil,Passes_TerçoFinal_Certos_Percentil
0,0.737569,1.0,0.729107,0.862185,0.161616,0.37291,0.205901,0.139785,0.60264,1.0,Rodolfo Potiguar,Brusque,Brusque,"DMF, RCMF, RDMF",DMF,7,36,100000,2024-12-31,32,2679,Brazil,Brazil,right,179,70,no,BRA2,Testing,2024,Primeiro Volante Construtor,1.0,1,32,96,0.461542,0.306606,0.417685,0.396703,0.296928,0.409955,0.346099,0.307964,0.406442,7,1,4,3,23.5,19,25,22.0,7,78,96,87,90,26,40,21,31,78
1,0.799724,0.538242,1.0,0.864146,0.104377,0.183478,0.116529,0.204301,1.0,0.991856,João Schmidt,Santos,Santos,"LDMF, LCMF, DMF",LDMF,7,31,1000000,2024-12-31,30,2873,Brazil,Brazil,left,183,80,no,BRA2,Testing,2024,Primeiro Volante Construtor,0.992,2,32,93,0.461542,0.306606,0.417685,0.396703,0.296928,0.409955,0.346099,0.307964,0.406442,2,3,1,2,28.0,28,28,17.0,1,93,90,96,93,12,12,12,46,96
2,1.0,0.260609,0.631849,0.441244,0.03367,0.322862,0.066237,0.021505,0.369426,0.860868,Falcão,CRB,CRB,"LDMF, DMF, LCMF",LDMF,7,26,100000,2026-12-31,32,2500,Brazil,Brazil,right,183,71,no,BRA2,Testing,2024,Primeiro Volante Construtor,0.861,3,32,90,0.461542,0.306606,0.417685,0.396703,0.296928,0.409955,0.346099,0.307964,0.406442,1,17,8,14,30.0,22,30,30.0,17,96,46,75,56,6,31,6,6,46
3,0.364641,0.810216,0.717805,1.0,0.56229,0.487366,0.467898,0.586022,0.75349,0.813398,Val Soares,Paysandu,Paysandu,"LDMF, AMF, LCMF",LDMF,7,27,225000,2025-06-30,18,1063,Brazil,Brazil,right,176,69,yes,BRA2,Testing,2024,Primeiro Volante Construtor,0.813,4,32,87,0.461542,0.306606,0.417685,0.396703,0.296928,0.409955,0.346099,0.307964,0.406442,19,2,5,1,4.0,11,7,6.0,2,40,93,84,96,87,65,78,81,93
4,0.606354,0.339874,0.762838,0.674193,0.121212,0.090032,0.082797,0.075269,0.717019,0.797474,Neto Moura,Mirassol,Mirassol,"DMF, LCMF, LDMF",DMF,7,28,800000,2025-12-31,29,2062,Brazil,Brazil,right,177,70,yes,BRA2,Testing,2024,Primeiro Volante Construtor,0.797,5,32,84,0.461542,0.306606,0.417685,0.396703,0.296928,0.409955,0.346099,0.307964,0.406442,10,11,3,4,26.0,31,29,28.0,4,68,65,90,87,18,3,9,12,87
5,0.716851,0.398773,0.39333,0.471197,0.161616,0.4279,0.237176,0.317204,0.473501,0.75457,Felipe Amaral,América Mineiro,América Mineiro,"RDMF, DMF, LDMF",RDMF,7,21,0,,21,934,Brazil,Brazil,right,174,72,no,BRA2,Testing,2024,Primeiro Volante Construtor,0.755,6,32,81,0.461542,0.306606,0.417685,0.396703,0.296928,0.409955,0.346099,0.307964,0.406442,9,9,19,11,23.5,14,21,11.0,14,71,71,40,65,26,56,34,65,56
6,0.723757,0.327617,0.360469,0.37684,0.094276,0.152918,0.145661,0.053763,0.340363,0.63633,Emerson Santos,Ponte Preta,Ponte Preta,"LDMF, DMF, LCMF",LDMF,7,32,200000,2024-12-31,29,2002,Brazil,Brazil,right,180,77,no,BRA2,Testing,2024,Primeiro Volante Construtor,0.636,7,32,78,0.461542,0.306606,0.417685,0.396703,0.296928,0.409955,0.346099,0.307964,0.406442,8,12,20,19,29.0,29,27,29.0,20,75,62,37,40,9,9,15,9,37
7,0.407459,0.285054,0.784708,0.570019,0.377104,0.732713,0.325456,0.758065,0.751963,0.553689,Alê,América Mineiro,América Mineiro,"DMF, RDMF, LDMF",DMF,7,34,300000,2025-12-31,31,2892,Brazil,Brazil,right,184,74,no,BRA2,Testing,2024,Primeiro Volante Construtor,0.554,8,32,75,0.461542,0.306606,0.417685,0.396703,0.296928,0.409955,0.346099,0.307964,0.406442,18,15,2,6,10.0,3,15,4.0,3,43,53,93,81,68,90,53,87,90
8,0.291436,0.522217,0.633929,0.61587,0.164983,0.387531,0.26133,0.623656,0.688492,0.548188,Felipe,Sport Recife,Sport Recife,"DMF, LCMF, RDMF",DMF,7,30,900000,2024-12-31,29,2761,Brazil,Brazil,right,184,84,no,BRA2,Testing,2024,Primeiro Volante Construtor,0.548,9,32,71,0.461542,0.306606,0.417685,0.396703,0.296928,0.409955,0.346099,0.307964,0.406442,24,4,7,5,22.0,17,20,5.0,5,25,87,78,84,31,46,37,84,84
9,0.756906,0.209652,0.149097,0.258527,0.23569,0.44518,0.273958,0.263441,0.206059,0.533987,Paulinho,Brusque,Brusque,"LDMF, LCMF",LDMF,7,26,0,2024-12-31,10,809,Brazil,Brazil,unknown,0,0,yes,BRA2,Testing,2024,Primeiro Volante Construtor,0.534,10,32,68,0.461542,0.306606,0.417685,0.396703,0.296928,0.409955,0.346099,0.307964,0.406442,6,22,28,23,16.5,12,19,13.0,25,81,31,12,28,48,62,40,59,21
