Unnamed: 0,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Passes_Longos_Certos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Ações_Ofensivas_BemSucedidas,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,Corridas_Progressivas,Passes_TerçoFinal_Certos,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Ações_Defensivas_BemSucedidas_LM,Duelos_Defensivos_Ganhos_LM,Duelos_Aéreos_Ganhos_LM,Passes_Longos_Certos_LM,Passes_Frontais_Certos_LM,Passes_Progressivos_Certos_LM,Ações_Ofensivas_BemSucedidas_LM,Duelos_Ofensivos_Ganhos_LM,Dribles_BemSucedidos_LM,Corridas_Progressivas_LM,Passes_TerçoFinal_Certos_LM,Ações_Defensivas_BemSucedidas_Rank,Duelos_Defensivos_Ganhos_Rank,Duelos_Aéreos_Ganhos_Rank,Passes_Longos_Certos_Rank,Passes_Frontais_Certos_Rank,Passes_Progressivos_Certos_Rank,Ações_Ofensivas_BemSucedidas_Rank,Duelos_Ofensivos_Ganhos_Rank,Dribles_BemSucedidos_Rank,Corridas_Progressivas_Rank,Passes_TerçoFinal_Certos_Rank,Ações_Defensivas_BemSucedidas_Percentil,Duelos_Defensivos_Ganhos_Percentil,Duelos_Aéreos_Ganhos_Percentil,Passes_Longos_Certos_Percentil,Passes_Frontais_Certos_Percentil,Passes_Progressivos_Certos_Percentil,Ações_Ofensivas_BemSucedidas_Percentil,Duelos_Ofensivos_Ganhos_Percentil,Dribles_BemSucedidos_Percentil,Corridas_Progressivas_Percentil,Passes_TerçoFinal_Certos_Percentil
0,0.737569,0.480914,0.214113,1.0,0.729107,0.862185,0.161616,0.37291,0.205901,0.139785,0.60264,1.0,Rodolfo Potiguar,Brusque,Brusque,"DMF, RCMF, RDMF",DMF,7,36,100000,2024-12-31,32,2679,Brazil,Brazil,right,179,70,no,BRA2,Testing,2024,Primeiro Volante Equilibrado,1.0,1,32,96,0.461542,0.450809,0.196787,0.306606,0.417685,0.396703,0.296928,0.409955,0.346099,0.307964,0.406442,7,13,14,1,4,3,23.5,19,25,22.0,7,78,59,56,96,87,90,26,40,21,31,78
1,0.799724,0.602756,0.361065,0.538242,1.0,0.864146,0.104377,0.183478,0.116529,0.204301,1.0,0.867155,João Schmidt,Santos,Santos,"LDMF, LCMF, DMF",LDMF,7,31,1000000,2024-12-31,30,2873,Brazil,Brazil,left,183,80,no,BRA2,Testing,2024,Primeiro Volante Equilibrado,0.867,2,32,93,0.461542,0.450809,0.196787,0.306606,0.417685,0.396703,0.296928,0.409955,0.346099,0.307964,0.406442,2,6,3,3,1,2,28.0,28,28,17.0,1,93,81,90,90,96,93,12,12,12,46,96
2,0.364641,0.379153,0.103621,0.810216,0.717805,1.0,0.56229,0.487366,0.467898,0.586022,0.75349,0.76149,Val Soares,Paysandu,Paysandu,"LDMF, AMF, LCMF",LDMF,7,27,225000,2025-06-30,18,1063,Brazil,Brazil,right,176,69,yes,BRA2,Testing,2024,Primeiro Volante Equilibrado,0.761,3,32,90,0.461542,0.450809,0.196787,0.306606,0.417685,0.396703,0.296928,0.409955,0.346099,0.307964,0.406442,19,21,19,2,5,1,4.0,11,7,6.0,2,40,34,40,93,84,96,87,65,78,81,93
3,1.0,1.0,0.25882,0.260609,0.631849,0.441244,0.03367,0.322862,0.066237,0.021505,0.369426,0.688748,Falcão,CRB,CRB,"LDMF, DMF, LCMF",LDMF,7,26,100000,2026-12-31,32,2500,Brazil,Brazil,right,183,71,no,BRA2,Testing,2024,Primeiro Volante Equilibrado,0.689,4,32,87,0.461542,0.450809,0.196787,0.306606,0.417685,0.396703,0.296928,0.409955,0.346099,0.307964,0.406442,1,1,10,17,8,14,30.0,22,30,30.0,17,96,96,68,46,75,56,6,31,6,6,46
4,0.606354,0.431779,0.179109,0.339874,0.762838,0.674193,0.121212,0.090032,0.082797,0.075269,0.717019,0.67909,Neto Moura,Mirassol,Mirassol,"DMF, LCMF, LDMF",DMF,7,28,800000,2025-12-31,29,2062,Brazil,Brazil,right,177,70,yes,BRA2,Testing,2024,Primeiro Volante Equilibrado,0.679,5,32,84,0.461542,0.450809,0.196787,0.306606,0.417685,0.396703,0.296928,0.409955,0.346099,0.307964,0.406442,10,16,17,11,3,4,26.0,31,29,28.0,4,68,50,46,65,90,87,18,3,9,12,87
5,0.76105,0.70519,1.0,0.133589,0.210613,0.094992,0.218855,0.337166,0.451718,0.129032,0.207261,0.643174,Jacy,Operário PR,Operário PR,"DMF, RDMF, RCMF",DMF,7,27,100000,2025-12-31,26,1811,Brazil,Brazil,right,192,83,no,BRA2,Testing,2024,Primeiro Volante Equilibrado,0.643,6,32,81,0.461542,0.450809,0.196787,0.306606,0.417685,0.396703,0.296928,0.409955,0.346099,0.307964,0.406442,5,4,1,28,25,26,18.0,21,8,23.5,24,84,87,96,12,21,18,43,34,75,26,25
6,0.716851,0.571751,0.069111,0.398773,0.39333,0.471197,0.161616,0.4279,0.237176,0.317204,0.473501,0.618956,Felipe Amaral,América Mineiro,América Mineiro,"RDMF, DMF, LDMF",RDMF,7,21,0,,21,934,Brazil,Brazil,right,174,72,no,BRA2,Testing,2024,Primeiro Volante Equilibrado,0.619,7,32,78,0.461542,0.450809,0.196787,0.306606,0.417685,0.396703,0.296928,0.409955,0.346099,0.307964,0.406442,9,7,24,9,19,11,23.5,14,21,11.0,14,71,78,25,71,40,65,26,56,34,65,56
7,0.723757,0.625692,0.299145,0.327617,0.360469,0.37684,0.094276,0.152918,0.145661,0.053763,0.340363,0.59355,Emerson Santos,Ponte Preta,Ponte Preta,"LDMF, DMF, LCMF",LDMF,7,32,200000,2024-12-31,29,2002,Brazil,Brazil,right,180,77,no,BRA2,Testing,2024,Primeiro Volante Equilibrado,0.594,8,32,75,0.461542,0.450809,0.196787,0.306606,0.417685,0.396703,0.296928,0.409955,0.346099,0.307964,0.406442,8,5,5,12,20,19,29.0,29,27,29.0,20,75,84,84,62,37,40,9,9,15,9,37
8,0.468232,0.48195,0.58523,0.310376,0.342009,0.254805,0.26936,0.140959,0.237021,0.225806,0.14051,0.588347,Castro,Ponte Preta,Ponte Preta,"RDMF, LCB, RCMF",RDMF,7,29,0,,23,2196,Brazil,Brazil,right,191,81,no,BRA2,Testing,2024,Primeiro Volante Equilibrado,0.588,9,32,71,0.461542,0.450809,0.196787,0.306606,0.417685,0.396703,0.296928,0.409955,0.346099,0.307964,0.406442,13,12,2,13,22,24,15.0,30,22,15.0,28,59,62,93,59,31,25,53,6,31,53,12
9,0.291436,0.352851,0.183195,0.522217,0.633929,0.61587,0.164983,0.387531,0.26133,0.623656,0.688492,0.57093,Felipe,Sport Recife,Sport Recife,"DMF, LCMF, RDMF",DMF,7,30,900000,2024-12-31,29,2761,Brazil,Brazil,right,184,84,no,BRA2,Testing,2024,Primeiro Volante Equilibrado,0.571,10,32,68,0.461542,0.450809,0.196787,0.306606,0.417685,0.396703,0.296928,0.409955,0.346099,0.307964,0.406442,24,22,16,4,7,5,22.0,17,20,5.0,5,25,31,50,87,78,84,31,46,37,84,84
10,0.407459,0.495449,0.056754,0.285054,0.784708,0.570019,0.377104,0.732713,0.325456,0.758065,0.751963,0.522856,Alê,América Mineiro,América Mineiro,"DMF, RDMF, LDMF",DMF,7,34,300000,2025-12-31,31,2892,Brazil,Brazil,right,184,74,no,BRA2,Testing,2024,Primeiro Volante Equilibrado,0.523,11,32,65,0.461542,0.450809,0.196787,0.306606,0.417685,0.396703,0.296928,0.409955,0.346099,0.307964,0.406442,18,11,26,15,2,6,10.0,3,15,4.0,3,43,65,18,53,93,81,68,90,53,87,90
11,0.429558,0.419068,0.259948,0.256502,0.418542,0.491204,0.215488,0.405415,0.283655,0.0,0.527546,0.500473,Arilson,Vila Nova,Vila Nova,"LDMF, LCMF",LDMF,7,30,450000,2024-12-31,15,975,Brazil,Brazil,right,180,82,no,BRA2,Testing,2024,Primeiro Volante Equilibrado,0.5,12,32,62,0.461542,0.450809,0.196787,0.306606,0.417685,0.396703,0.296928,0.409955,0.346099,0.307964,0.406442,16,19,8,18,16,8,19.0,15,18,32.0,11,50,40,75,43,50,75,40,53,43,0,65
12,0.320442,0.345058,0.262014,0.41815,0.512849,0.42415,0.23569,0.49468,0.444803,0.172043,0.376804,0.452618,Tárik,Chapecoense,Chapecoense,"LDMF, LCMF, RCMF",LDMF,7,31,50000,2024-12-31,24,1617,Brazil,"Brazil, Italy",right,183,72,no,BRA2,Testing,2024,Primeiro Volante Equilibrado,0.453,13,32,59,0.461542,0.450809,0.196787,0.306606,0.417685,0.396703,0.296928,0.409955,0.346099,0.307964,0.406442,20,23,7,8,10,17,16.5,9,9,20.0,15,37,28,78,75,68,46,48,71,71,37,53
13,0.53453,0.453759,0.276357,0.213245,0.432505,0.297432,0.424242,0.588307,0.569115,0.150538,0.364525,0.439764,Vinicius Diniz,Operário PR,Operário PR,"RDMF, RCMF, LCMF",RDMF,7,25,100000,2025-12-31,26,1639,Brazil,Brazil,right,190,82,no,BRA2,Testing,2024,Primeiro Volante Equilibrado,0.44,14,32,56,0.461542,0.450809,0.196787,0.306606,0.417685,0.396703,0.296928,0.409955,0.346099,0.307964,0.406442,11,14,6,21,15,22,8.0,6,4,21.0,18,65,56,81,34,53,31,75,81,87,34,43
14,0.259669,0.452875,0.056862,0.42935,0.479635,0.486317,1.0,1.0,0.997661,1.0,0.625899,0.424597,Netinho,Paysandu,Paysandu,"RDMF, RCMF, LDMF",RDMF,7,26,0,,24,883,Brazil,Brazil,right,180,76,no,BRA2,Testing,2024,Primeiro Volante Equilibrado,0.425,15,32,53,0.461542,0.450809,0.196787,0.306606,0.417685,0.396703,0.296928,0.409955,0.346099,0.307964,0.406442,27,15,25,7,13,10,1.0,1,2,1.0,6,15,53,21,78,59,68,96,96,93,96,81
15,0.176796,0.273794,0.185497,0.491508,0.508385,0.563632,0.511785,0.508481,0.403352,0.080645,0.601034,0.418179,Moisés,América Mineiro,América Mineiro,"LDMF, LCMF",LDMF,7,36,250000,2024-12-31,28,1368,Brazil,Brazil,right,184,76,no,BRA2,Testing,2024,Primeiro Volante Equilibrado,0.418,16,32,50,0.461542,0.450809,0.196787,0.306606,0.417685,0.396703,0.296928,0.409955,0.346099,0.307964,0.406442,30,28,15,5,11,7,6.0,7,11,26.5,8,6,12,53,84,65,78,81,78,65,17,75
16,0.417127,0.540091,0.142557,0.148892,0.546327,0.455086,0.400673,0.590417,0.480081,0.580645,0.498667,0.414034,João Pedro,CRB,CRB,"RDMF, RCMF, LDMF",RDMF,7,25,50000,2024-12-31,28,2420,Brazil,Brazil,right,185,72,no,BRA2,Testing,2024,Primeiro Volante Equilibrado,0.414,17,32,46,0.461542,0.450809,0.196787,0.306606,0.417685,0.396703,0.296928,0.409955,0.346099,0.307964,0.406442,17,8,18,27,9,13,9.0,5,5,7.0,12,46,75,43,15,71,59,71,84,84,78,62
17,0.756906,0.74081,0.214155,0.209652,0.149097,0.258527,0.23569,0.44518,0.273958,0.263441,0.206059,0.413514,Paulinho,Brusque,Brusque,"LDMF, LCMF",LDMF,7,26,0,2024-12-31,10,809,Brazil,Brazil,unknown,0,0,yes,BRA2,Testing,2024,Primeiro Volante Equilibrado,0.414,18,32,43,0.461542,0.450809,0.196787,0.306606,0.417685,0.396703,0.296928,0.409955,0.346099,0.307964,0.406442,6,3,13,22,28,23,16.5,12,19,13.0,25,81,90,59,31,12,28,48,62,40,59,21
18,0.453039,0.298522,0.259703,0.151595,0.304953,0.440522,0.329966,0.435323,0.418583,0.22043,0.290004,0.405265,Rômulo,CRB,CRB,"LDMF, RDMF, DMF",LDMF,7,28,450000,2024-12-31,22,921,Brazil,Brazil,right,182,80,no,BRA2,Testing,2024,Primeiro Volante Equilibrado,0.405,19,32,40,0.461542,0.450809,0.196787,0.306606,0.417685,0.396703,0.296928,0.409955,0.346099,0.307964,0.406442,15,26,9,26,23,15,11.0,13,10,16.0,22,53,18,71,18,28,53,65,59,68,50,31
19,0.291436,0.228842,0.229101,0.301935,0.657739,0.439609,0.296296,0.391169,0.388413,0.478495,0.532305,0.3629,Índio,Operário PR,Operário PR,"LDMF, LCMF",LDMF,7,32,100000,2024-12-31,23,1426,Brazil,Brazil,left,185,82,no,BRA2,Testing,2024,Primeiro Volante Equilibrado,0.363,20,32,37,0.461542,0.450809,0.196787,0.306606,0.417685,0.396703,0.296928,0.409955,0.346099,0.307964,0.406442,24,30,12,14,6,16,13.0,16,13,9.0,9,25,6,62,56,81,50,59,50,59,71,71
20,0.790055,0.941984,0.028064,0.006178,0.149394,0.090208,0.59596,0.667616,0.715563,0.784946,0.125681,0.317339,Vini Paulista,Coritiba,Coritiba,"LDMF, LW, RDMF",LDMF,7,23,500000,2025-12-31,26,1702,Brazil,Brazil,right,179,71,no,BRA2,Testing,2024,Primeiro Volante Equilibrado,0.317,21,32,34,0.461542,0.450809,0.196787,0.306606,0.417685,0.396703,0.296928,0.409955,0.346099,0.307964,0.406442,3,2,30,31,27,27,3.0,4,3,3.0,29,90,93,6,3,15,15,90,87,90,90,9
21,0.530387,0.383666,0.358769,0.213761,0.032768,0.007934,0.151515,0.35684,0.390064,0.129032,0.0,0.314402,Auremir,Chapecoense,Chapecoense,"DMF, RDMF, LCMF",DMF,7,33,300000,2025-12-31,15,849,Brazil,Brazil,right,174,64,no,BRA2,Testing,2024,Primeiro Volante Equilibrado,0.314,22,32,31,0.461542,0.450809,0.196787,0.306606,0.417685,0.396703,0.296928,0.409955,0.346099,0.307964,0.406442,12,20,4,20,31,31,25.0,20,12,23.5,32,62,37,87,37,3,3,21,37,62,26,0
22,0.251381,0.422172,0.0,0.268571,0.483337,0.490232,0.289562,0.266983,0.220775,0.532258,0.528306,0.311922,João Vieira,Paysandu,Paysandu,"RDMF, LDMF, LCMF",RDMF,7,26,100000,2024-11-30,31,3011,Brazil,Brazil,right,173,68,no,BRA2,Testing,2024,Primeiro Volante Equilibrado,0.312,23,32,28,0.461542,0.450809,0.196787,0.306606,0.417685,0.396703,0.296928,0.409955,0.346099,0.307964,0.406442,28,18,32,16,12,9,14.0,24,23,8.0,10,12,43,0,50,62,71,56,25,28,75,68
23,0.774862,0.520983,0.082677,0.154532,0.064229,0.07867,0.0,0.0,0.049065,0.005376,0.116977,0.268768,Rodrigo,Ituano,Ituano,"DMF, LDMF, LCMF",DMF,7,30,0,2024-12-31,29,2371,Brazil,Brazil,right,176,70,no,BRA2,Testing,2024,Primeiro Volante Equilibrado,0.269,24,32,25,0.461542,0.450809,0.196787,0.306606,0.417685,0.396703,0.296928,0.409955,0.346099,0.307964,0.406442,4,9,22,25,29,29,32.0,32,31,31.0,30,87,71,31,21,9,9,0,0,3,3,6
24,0.30663,0.27654,0.056153,0.44552,0.348529,0.357203,0.111111,0.230685,0.1577,0.182796,0.371971,0.251198,Emerson Santos,Ponte Preta,Ponte Preta,"LDMF, RCMF",LDMF,7,29,500000,2025-04-30,23,1457,Brazil,Brazil,right,184,75,no,BRA2,Testing,2024,Primeiro Volante Equilibrado,0.251,25,32,21,0.461542,0.450809,0.196787,0.306606,0.417685,0.396703,0.296928,0.409955,0.346099,0.307964,0.406442,21,27,27,6,21,21,27.0,26,26,19.0,16,34,15,15,81,34,34,15,18,18,40,50
25,0.191989,0.192886,0.237072,0.393052,0.232137,0.357426,0.538721,0.507501,0.381619,0.27957,0.348894,0.241348,Lourenço,Ceará,Ceará,"RDMF, RCMF, LCMF",RDMF,7,27,1000000,2025-12-31,27,2314,Brazil,Brazil,right,169,65,no,BRA2,Testing,2024,Primeiro Volante Equilibrado,0.241,26,32,18,0.461542,0.450809,0.196787,0.306606,0.417685,0.396703,0.296928,0.409955,0.346099,0.307964,0.406442,29,31,11,10,24,20,5.0,8,14,12.0,19,9,3,65,68,25,37,84,75,56,62,40
26,0.291436,0.301515,0.043117,0.0,0.410402,0.400854,0.740741,0.947185,1.0,0.897849,0.340317,0.194043,Neto Paraíba,Operário PR,Operário PR,"RDMF, LDMF, RCMF",RDMF,7,32,50000,2024-12-31,16,842,Brazil,Brazil,right,179,74,no,BRA2,Testing,2024,Primeiro Volante Equilibrado,0.194,27,32,15,0.461542,0.450809,0.196787,0.306606,0.417685,0.396703,0.296928,0.409955,0.346099,0.307964,0.406442,24,25,28,32,17,18,2.0,2,1,2.0,21,25,21,12,0,46,43,93,93,96,93,34
27,0.0,0.0,0.078229,0.224894,0.402143,0.457824,0.457912,0.492767,0.4731,0.236559,0.484434,0.192772,Gabriel,Mirassol,Mirassol,"DMF, LCMF, CF",DMF,7,34,350000,2025-12-31,30,2386,Brazil,Brazil,right,178,67,no,BRA2,Testing,2024,Primeiro Volante Equilibrado,0.193,28,32,12,0.461542,0.450809,0.196787,0.306606,0.417685,0.396703,0.296928,0.409955,0.346099,0.307964,0.406442,32,32,23,19,18,12,7.0,10,6,14.0,13,0,0,28,40,43,62,78,68,81,56,59
28,0.459945,0.427945,0.028371,0.188129,0.169605,0.084579,0.188552,0.303224,0.30667,0.080645,0.171077,0.142111,Dudu Vieira,Juventude,Ponte Preta,"RDMF, RB, RCMF",RDMF,7,30,200000,2025-12-31,14,1084,Brazil,Brazil,right,175,75,no,BRA2,Testing,2024,Primeiro Volante Equilibrado,0.142,29,32,9,0.461542,0.450809,0.196787,0.306606,0.417685,0.396703,0.296928,0.409955,0.346099,0.307964,0.406442,14,17,29,23,26,28,20.5,23,17,26.5,26,56,46,9,28,18,12,35,28,46,17,18
29,0.088398,0.265673,0.084998,0.172937,0.443288,0.230654,0.006734,0.38649,0.0,0.188172,0.2233,0.053301,Guilherme Xavier,Amazonas,Amazonas,"DMF, LCMF",DMF,7,29,100000,2024-12-31,12,853,Brazil,Brazil,left,170,73,no,BRA2,Testing,2024,Primeiro Volante Equilibrado,0.053,30,32,6,0.461542,0.450809,0.196787,0.306606,0.417685,0.396703,0.296928,0.409955,0.346099,0.307964,0.406442,31,29,21,24,14,25,31.0,18,32,18.0,23,3,9,34,25,56,21,3,43,0,43,28
30,0.274862,0.49785,0.002533,0.07249,0.0,0.056959,0.313131,0.239798,0.30794,0.33871,0.071551,0.041254,Foguinho,Chapecoense,Chapecoense,"RDMF, RCMF",RDMF,7,32,300000,2024-12-31,28,2335,Brazil,Brazil,right,180,75,no,BRA2,Testing,2024,Primeiro Volante Equilibrado,0.041,31,32,3,0.461542,0.450809,0.196787,0.306606,0.417685,0.396703,0.296928,0.409955,0.346099,0.307964,0.406442,26,10,31,30,32,30,12.0,25,16,10.0,31,18,68,3,6,0,6,62,21,50,68,3
31,0.292818,0.314377,0.10086,0.123918,0.053401,0.0,0.188552,0.224656,0.215318,0.11828,0.156131,0.0,João Costa,Botafogo SP U20,Botafogo SP,"DMF, RCMF, LCMF",DMF,7,19,0,,28,2050,Brazil,Brazil,right,0,0,no,BRA2,Testing,2024,Primeiro Volante Equilibrado,0.0,32,32,0,0.461542,0.450809,0.196787,0.306606,0.417685,0.396703,0.296928,0.409955,0.346099,0.307964,0.406442,22,24,20,29,30,32,20.5,27,24,25.0,27,31,25,37,9,6,0,35,15,25,21,15
