Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Duelos_Ofensivos_Ganhos,xG,xA,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
50,Emerson Urso,Vila Nova,Vila Nova,"LW, RW, LAMF",LW,10,23,250000,2025-12-31,20,811,Brazil,Brazil,right,169,67,yes,8.55,5.435951999999999,4.107744,2.105922,6.213328000000002,0.16,0.09,BRA2,Testing,2024,0.4626208413221674,0.5228803154483361,0.4912532947820673
51,Juan Christian,Alanyaspor,Vila Nova,"RW, RAMF, LW",RW,10,23,0,,18,1273,Brazil,Brazil,right,177,73,no,5.09,2.829474,2.755383,2.401688,4.737385,0.13,0.07,BRA2,Testing,2024,0.279573275938826,0.2768528862100919,0.2760825321321655
52,Enio,Amazonas,Amazonas,"RW, LW, RAMF",RW,10,23,200000,2025-12-31,33,2606,Brazil,Brazil,right,168,64,no,3.9,2.34789,5.90212,3.938740999999999,6.596486,0.11,0.17,BRA2,Testing,2024,0.6474450260684336,0.5944350892233516,0.6198211598963316
53,Vinícius Pavia,Ituano,Ituano,"LAMF, LW, LWF",LAMF,10,23,700000,2024-12-31,30,2423,Brazil,Brazil,right,174,65,yes,3.97,2.005848,3.080892,2.15436,3.453006,0.16,0.13,BRA2,Testing,2024,0.1657626128339227,0.1563204345607835,0.1585651112722353
54,Erick Pulga,Ceará,Ceará,"LW, LAMF, LWF",LW,10,24,1000000,2025-12-31,31,3089,Brazil,Brazil,right,169,70,no,3.99,2.361549,3.668940000000001,2.447331,5.242673999999999,0.26,0.1,BRA2,Testing,2024,0.2921485503437274,0.2897678329844725,0.2888652633563376
55,E. Garcia,Paysandu,Paysandu,"LAMF, LW, LWF",LAMF,10,24,300000,2024-12-31,27,1592,Venezuela,Venezuela,right,160,54,no,4.41,2.601499,4.18418,3.222219,4.295648,0.14,0.07,BRA2,Testing,2024,0.3790219876779407,0.3668893296137763,0.3711047679976436
56,Welliton Matheus,Goiás,Goiás,"RW, RAMF, RWF",RW,10,24,0,2024-12-31,33,2470,Brazil,Brazil,left,180,73,yes,4.17,2.744154,3.610683,2.477035,8.3076,0.16,0.1,BRA2,Testing,2024,0.3451771202742269,0.3694681253443207,0.3554255870355473
57,Léo Pereira,CRB,CRB,"LW, LAMF, LWF",LW,10,24,1200000,2026-12-31,31,2825,Brazil,Brazil,right,172,73,no,6.47,3.887,1.97459,2.104941,4.58592,0.15,0.09,BRA2,Testing,2024,0.3751944131760688,0.3656799677682683,0.3685788658852621
58,Negueba,Mirassol,Mirassol,"RW, RAMF, RWF",RW,10,24,450000,2025-12-31,24,1798,Brazil,Brazil,right,171,62,no,6.89,3.525426,3.369726,2.248848,2.858239999999999,0.12,0.08,BRA2,Testing,2024,0.3904046143779387,0.3888353440709513,0.3878182778170598
59,Fabinho,América Mineiro,América Mineiro,"LAMF, LWF, RAMF",LAMF,10,24,1500000,2025-12-31,31,2017,Brazil,Brazil,left,180,75,no,3.48,2.141124,3.392319000000001,2.587248,2.899,0.27,0.12,BRA2,Testing,2024,0.2178207496887164,0.2234050306453296,0.2183123187117192
