Unnamed: 0,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Passes_Longos_Certos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,Corridas_Progressivas,Passes_TerçoFinal_Certos,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Ações_Defensivas_BemSucedidas_LM,Duelos_Defensivos_Ganhos_LM,Duelos_Aéreos_Ganhos_LM,Passes_Longos_Certos_LM,Passes_Frontais_Certos_LM,Passes_Progressivos_Certos_LM,Duelos_Ofensivos_Ganhos_LM,Dribles_BemSucedidos_LM,Corridas_Progressivas_LM,Passes_TerçoFinal_Certos_LM,Ações_Defensivas_BemSucedidas_Rank,Duelos_Defensivos_Ganhos_Rank,Duelos_Aéreos_Ganhos_Rank,Passes_Longos_Certos_Rank,Passes_Frontais_Certos_Rank,Passes_Progressivos_Certos_Rank,Duelos_Ofensivos_Ganhos_Rank,Dribles_BemSucedidos_Rank,Corridas_Progressivas_Rank,Passes_TerçoFinal_Certos_Rank,Ações_Defensivas_BemSucedidas_Percentil,Duelos_Defensivos_Ganhos_Percentil,Duelos_Aéreos_Ganhos_Percentil,Passes_Longos_Certos_Percentil,Passes_Frontais_Certos_Percentil,Passes_Progressivos_Certos_Percentil,Duelos_Ofensivos_Ganhos_Percentil,Dribles_BemSucedidos_Percentil,Corridas_Progressivas_Percentil,Passes_TerçoFinal_Certos_Percentil
24,0.293135,0.351335,0.85642,0.371471,0.179251,0.403308,0.081345,0.050875,0.151899,0.444447,0.787698,Messias,Goiás,Goiás,RCB,RCB,4,29,600000,2025-12-31,19,1866,Brazil,Brazil,right,192,92,yes,BRA2,Testing,2024,Zagueiro Construtor,0.788,25,74,66,0.472121,0.379349,0.435384,0.477433,0.478591,0.476305,0.222126,0.208823,0.363382,0.485257,53.0,37,2,46,70,44,61,66.5,58.5,43,28,50,97,37,5,40,17,10,20,41
25,0.254174,0.312656,0.302291,0.952972,0.69813,0.722098,0.177851,0.189941,0.848101,0.92435,0.781614,Luciano Castán,Sport Recife,Sport Recife,"LCB, RCB",LCB,4,35,300000,2024-12-31,22,1927,Brazil,"Brazil, Italy",left,187,80,no,BRA2,Testing,2024,Zagueiro Construtor,0.782,26,74,64,0.472121,0.379349,0.435384,0.477433,0.478591,0.476305,0.222126,0.208823,0.363382,0.485257,58.0,41,56,3,12,9,40,31.0,5.0,3,21,44,24,95,83,87,45,58,93,95
26,0.476809,0.589023,0.545455,0.370076,0.584237,0.398145,0.22021,0.097679,0.025316,0.363307,0.770311,Ricardo Silva,América Mineiro,América Mineiro,RCB,RCB,4,32,300000,2024-12-31,29,2890,Brazil,Brazil,right,190,84,no,BRA2,Testing,2024,Zagueiro Construtor,0.77,27,74,63,0.472121,0.379349,0.435384,0.477433,0.478591,0.476305,0.222126,0.208823,0.363382,0.485257,33.5,14,21,47,24,45,29,49.0,71.5,53,54,81,71,36,67,39,60,33,3,28
27,0.345083,0.157797,0.724833,0.636901,0.580468,0.510135,0.096372,0.050875,0.28692,0.293889,0.756319,Eduardo Doma,Chapecoense,Chapecoense,"LCB, RCB",LCB,4,26,0,2024-12-31,20,1846,Brazil,Brazil,right,187,79,no,BRA2,Testing,2024,Zagueiro Construtor,0.756,28,74,62,0.472121,0.379349,0.435384,0.477433,0.478591,0.476305,0.222126,0.208823,0.363382,0.485257,46.0,61,9,20,26,33,57,66.5,42.5,59,37,17,87,72,64,55,22,10,42,20
28,0.532468,0.43256,0.448744,0.168723,0.591067,0.3674,1.0,1.0,0.362869,0.560771,0.751518,Carlão,Paysandu,Paysandu,"RCB, LCB",RCB,4,23,100000,2024-12-31,8,731,Brazil,Brazil,right,186,80,no,BRA2,Testing,2024,Zagueiro Construtor,0.752,29,74,60,0.472121,0.379349,0.435384,0.477433,0.478591,0.476305,0.222126,0.208823,0.363382,0.485257,29.0,27,32,65,22,49,1,1.0,36.5,28,60,63,56,12,70,33,98,98,50,62
29,0.966605,0.38231,0.343408,0.597245,0.0,0.469846,0.312172,0.379826,0.21097,0.527353,0.750805,Jean Irmer,Ceará,Ceará,"CB, DMF, RCB",CB,4,30,400000,2024-12-31,16,723,Brazil,Brazil,right,183,80,no,BRA2,Testing,2024,Zagueiro Construtor,0.751,30,74,59,0.472121,0.379349,0.435384,0.477433,0.478591,0.476305,0.222126,0.208823,0.363382,0.485257,2.0,34,50,23,74,34,14,10.0,51.0,34,97,54,32,68,0,54,81,86,31,54
30,0.391466,0.092903,0.543657,0.81702,0.615799,0.617474,0.062955,0.0,0.257384,0.539322,0.746984,Luiz Otávio,Mirassol,Mirassol,LCB,LCB,4,32,900000,2024-11-30,28,2737,Brazil,Brazil,right,194,85,no,BRA2,Testing,2024,Zagueiro Construtor,0.747,31,74,58,0.472121,0.379349,0.435384,0.477433,0.478591,0.476305,0.222126,0.208823,0.363382,0.485257,41.0,68,22,8,19,20,67,71.5,47.5,33,44,8,70,89,74,72,9,3,35,55
31,0.751391,0.455418,0.20438,0.755515,0.488931,0.524814,0.22108,0.054261,0.506329,0.568725,0.745426,Mateus Silva,Ponte Preta,Ponte Preta,RCB,RCB,4,29,150000,2025-12-31,19,1824,Brazil,Brazil,right,192,92,no,BRA2,Testing,2024,Zagueiro Construtor,0.745,32,74,56,0.472121,0.379349,0.435384,0.477433,0.478591,0.476305,0.222126,0.208823,0.363382,0.485257,14.5,25,69,11,38,32,28,65.0,19.0,27,80,66,6,85,48,56,62,12,74,63
32,0.25974,0.200852,0.417803,0.931612,0.522451,0.7548,0.179694,0.210292,0.869198,1.0,0.743794,L. Segovia,CRB,CRB,LCB,LCB,4,27,1500000,2025-12-31,9,874,Ecuador,Ecuador,left,182,80,yes,BRA2,Testing,2024,Zagueiro Construtor,0.744,33,74,55,0.472121,0.379349,0.435384,0.477433,0.478591,0.476305,0.222126,0.208823,0.363382,0.485257,57.0,59,38,5,35,7,39,27.5,4.0,1,22,20,48,93,52,90,47,62,94,98
33,0.423006,0.483667,0.55177,0.31022,0.385912,0.343093,0.184761,0.076312,0.206751,0.424296,0.734794,Vilar,Avaí,Avaí,"LCB, RCB",LCB,4,24,0,,24,2382,Brazil,Brazil,right,190,89,yes,BRA2,Testing,2024,Zagueiro Construtor,0.735,34,74,54,0.472121,0.379349,0.435384,0.477433,0.478591,0.476305,0.222126,0.208823,0.363382,0.485257,40.0,23,19,55,49,56,38,58.5,53.0,46,45,68,74,25,33,24,48,20,28,37
34,0.194805,0.274264,0.465003,0.358829,0.690863,0.590613,0.267484,0.289985,0.637131,0.553505,0.732385,Jair,Santos U20,Santos,RCB,RCB,4,19,0,,20,1909,Brazil,Brazil,right,198,81,no,BRA2,Testing,2024,Zagueiro Construtor,0.732,35,74,52,0.472121,0.379349,0.435384,0.477433,0.478591,0.476305,0.222126,0.208823,0.363382,0.485257,67.0,48,28,48,13,24,20,17.0,9.0,31,9,35,62,35,82,67,72,77,87,58
35,0.716141,0.552706,0.457461,0.247852,0.36849,0.308972,0.257624,0.193324,0.265823,0.456437,0.716197,Wanderson,Paysandu,Paysandu,RCB,RCB,4,30,100000,2024-11-30,20,1866,Brazil,Brazil,right,187,85,no,BRA2,Testing,2024,Zagueiro Construtor,0.716,36,74,51,0.472121,0.379349,0.435384,0.477433,0.478591,0.476305,0.222126,0.208823,0.363382,0.485257,16.0,17,30,60,52,59,21,29.0,46.0,41,78,77,59,18,29,20,71,60,37,44
36,0.523191,0.4106,0.459768,0.16077,0.451016,0.378904,0.21954,0.335766,0.28692,0.471072,0.715836,Jemmes,Vila Nova,Vila Nova,"LCB, RCB",LCB,4,24,0,,32,3030,Brazil,Brazil,right,187,73,no,BRA2,Testing,2024,Zagueiro Construtor,0.716,37,74,50,0.472121,0.379349,0.435384,0.477433,0.478591,0.476305,0.222126,0.208823,0.363382,0.485257,30.0,29,29,67,42,48,30,11.0,42.5,38,59,60,60,9,43,35,59,85,42,48
37,0.387755,0.267396,0.351655,0.660798,0.60199,0.692404,0.092484,0.091574,0.278481,0.432833,0.701271,João Paulo,Chapecoense,Chapecoense,LCB,LCB,4,27,100000,2025-10-31,13,949,Brazil,Brazil,left,187,75,no,BRA2,Testing,2024,Zagueiro Construtor,0.701,38,74,48,0.472121,0.379349,0.435384,0.477433,0.478591,0.476305,0.222126,0.208823,0.363382,0.485257,42.0,50,48,16,20,12,58,51.0,45.0,45,43,32,35,78,72,83,21,31,39,39
38,0.615955,0.451135,0.338947,0.594464,0.497357,0.366121,0.273753,0.416256,0.151899,0.193765,0.697703,Sérgio Raphael,Ponte Preta,Ponte Preta,LCB,LCB,4,32,0,2024-12-31,22,1989,Brazil,Brazil,right,188,84,no,BRA2,Testing,2024,Zagueiro Construtor,0.698,39,74,47,0.472121,0.379349,0.435384,0.477433,0.478591,0.476305,0.222126,0.208823,0.363382,0.485257,22.0,26,51,24,37,50,18,9.0,58.5,68,70,64,31,67,50,32,75,87,20,8
39,0.493506,0.35835,0.487814,0.450963,0.595442,0.300037,0.479696,0.757586,0.835443,0.584248,0.685586,Léo Santos,Nacional,Guarani,"LCB, RCB, CB",LCB,4,25,900000,2027-06-30,12,1092,Brazil,Brazil,right,186,80,no,BRA2,Testing,2024,Zagueiro Construtor,0.686,40,74,45,0.472121,0.379349,0.435384,0.477433,0.478591,0.476305,0.222126,0.208823,0.363382,0.485257,32.0,36,27,43,21,62,9,3.0,6.0,24,56,51,63,41,71,16,87,95,91,67
