Unnamed: 0,Ações_Defensivas_BemSucedidas,Passes_Longos_Certos,Passes_Progressivos_Certos,Ações_Ofensivas_BemSucedidas,Duelos_Ofensivos_Ganhos,Pisadas_Área,Dribles_BemSucedidos,Corridas_Progressivas,Acelerações,xA,Assistência_Finalização,Passes_TerçoFinal_Certos,Deep_Completions,Deep_Completed_Crosses,Passes_ÁreaPênalti_Certos,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Ações_Defensivas_BemSucedidas_LM,Passes_Longos_Certos_LM,Passes_Progressivos_Certos_LM,Ações_Ofensivas_BemSucedidas_LM,Duelos_Ofensivos_Ganhos_LM,Pisadas_Área_LM,Dribles_BemSucedidos_LM,Corridas_Progressivas_LM,Acelerações_LM,xA_LM,Assistência_Finalização_LM,Passes_TerçoFinal_Certos_LM,Deep_Completions_LM,Deep_Completed_Crosses_LM,Passes_ÁreaPênalti_Certos_LM,Ações_Defensivas_BemSucedidas_Rank,Passes_Longos_Certos_Rank,Passes_Progressivos_Certos_Rank,Ações_Ofensivas_BemSucedidas_Rank,Duelos_Ofensivos_Ganhos_Rank,Pisadas_Área_Rank,Dribles_BemSucedidos_Rank,Corridas_Progressivas_Rank,Acelerações_Rank,xA_Rank,Assistência_Finalização_Rank,Passes_TerçoFinal_Certos_Rank,Deep_Completions_Rank,Deep_Completed_Crosses_Rank,Passes_ÁreaPênalti_Certos_Rank,Ações_Defensivas_BemSucedidas_Percentil,Passes_Longos_Certos_Percentil,Passes_Progressivos_Certos_Percentil,Ações_Ofensivas_BemSucedidas_Percentil,Duelos_Ofensivos_Ganhos_Percentil,Pisadas_Área_Percentil,Dribles_BemSucedidos_Percentil,Corridas_Progressivas_Percentil,Acelerações_Percentil,xA_Percentil,Assistência_Finalização_Percentil,Passes_TerçoFinal_Certos_Percentil,Deep_Completions_Percentil,Deep_Completed_Crosses_Percentil,Passes_ÁreaPênalti_Certos_Percentil
0,0.483073,0.96339,0.862012,0.346491,0.318124,0.00625,0.175703,0.256716,0.225806,1.0,0.656085,0.928855,0.547826,0.472973,0.74528,1.0,João Vitor,Vila Nova,Vila Nova,"RB, DMF, RCMF",RB,1,26,100000,2024-12-31,23,1294,Brazil,Brazil,right,177,77,no,BRA2,Testing,2024,Lateral Ofensivo,1.0,1,70,98,0.455097,0.421288,0.462063,0.345739,0.264515,0.333661,0.268219,0.361023,0.217742,0.366917,0.33802,0.371224,0.318385,0.490541,0.522754,30.0,2,3,29.0,19,68.0,42,46.0,27.0,1.0,5.0,3,10.0,38.5,17,57,97,95,58,72,2,40,34,61,98,92,95,85,45,75
1,0.394531,1.0,0.910864,0.192982,0.067436,0.0,0.038354,0.331343,0.080645,0.473684,0.444444,0.82256,0.173913,0.689189,0.745877,0.9544,Renan Castro,Amazonas,Amazonas,LB,LB,1,29,0,,13,883,Brazil,Brazil,left,175,74,no,BRA2,Testing,2024,Lateral Ofensivo,0.954,2,70,97,0.455097,0.421288,0.462063,0.345739,0.264515,0.333661,0.268219,0.361023,0.217742,0.366917,0.33802,0.371224,0.318385,0.490541,0.522754,45.0,1,2,52.0,68,70.0,69,35.0,51.0,22.0,15.0,4,55.5,19.5,16,35,98,97,25,2,0,1,50,27,68,78,94,20,72,77
2,0.746094,0.761685,0.844266,0.309211,0.299338,0.28125,0.241293,0.761194,0.193548,0.210526,0.238095,0.949698,0.391304,0.574324,0.703629,0.915044,Mateus Henrique,América Mineiro,América Mineiro,RB,RB,1,22,0,2028-12-30,25,2223,Brazil,Brazil,right,178,67,no,BRA2,Testing,2024,Lateral Ofensivo,0.915,3,70,95,0.455097,0.421288,0.462063,0.345739,0.264515,0.333661,0.268219,0.361023,0.217742,0.366917,0.33802,0.371224,0.318385,0.490541,0.522754,6.0,6,4,38.0,22,34.5,32,4.0,32.0,55.0,48.0,2,20.0,27.0,22,91,91,94,45,68,50,54,94,54,21,31,97,71,61,68
3,0.229167,0.709165,0.821613,0.390351,0.148791,0.125,0.230727,0.629851,0.459677,0.473684,0.301587,0.556512,0.495652,0.574324,0.847637,0.893654,Ryan,CRB,CRB,LB,LB,1,22,0,,18,1112,Brazil,Brazil,left,172,69,yes,BRA2,Testing,2024,Lateral Ofensivo,0.894,4,70,94,0.455097,0.421288,0.462063,0.345739,0.264515,0.333661,0.268219,0.361023,0.217742,0.366917,0.33802,0.371224,0.318385,0.490541,0.522754,60.0,10,5,24.0,53,54.5,33,8.0,10.0,22.0,38.5,14,11.0,27.0,9,14,85,92,65,24,22,52,88,85,68,45,80,84,61,87
4,0.15625,0.607059,0.812875,0.502193,0.169055,0.2125,0.255012,0.58806,0.524194,0.421053,0.708995,0.701248,0.095652,0.966216,0.872989,0.831934,Diogo Mateus,,Guarani,"RB, RCB",RB,1,31,300000,,11,826,Brazil,Brazil,right,173,67,no,BRA2,Testing,2024,Lateral Ofensivo,0.832,5,70,92,0.455097,0.421288,0.462063,0.345739,0.264515,0.333661,0.268219,0.361023,0.217742,0.366917,0.33802,0.371224,0.318385,0.490541,0.522754,65.0,15,6,15.0,46,41.5,29,10.0,6.0,28.0,3.0,6,63.5,3.0,6,7,78,91,78,34,40,58,85,91,60,95,91,9,95,91
5,0.734375,0.463106,0.764262,0.355263,0.272192,0.28125,0.253719,0.316418,0.258065,0.578947,0.687831,0.629271,0.704348,0.52027,0.752354,0.830887,Daniel Borges,América Mineiro,América Mineiro,RB,RB,1,31,600000,2024-12-31,16,1112,Brazil,Brazil,right,174,68,yes,BRA2,Testing,2024,Lateral Ofensivo,0.831,6,70,91,0.455097,0.421288,0.462063,0.345739,0.264515,0.333661,0.268219,0.361023,0.217742,0.366917,0.33802,0.371224,0.318385,0.490541,0.522754,8.0,28,8,27.0,27,34.5,30,36.0,23.5,9.5,4.0,9,4.0,34.0,15,88,60,88,61,61,50,57,48,66,86,94,87,94,51,78
6,0.234375,0.612541,0.722368,0.324561,0.181854,0.125,0.150482,0.083582,0.129032,0.526316,0.470899,0.566556,0.417391,0.790541,0.817094,0.762938,Jefferson,Guarani,Guarani,LB,LB,1,27,500000,2024-12-31,26,2238,Brazil,Brazil,left,178,69,no,BRA2,Testing,2024,Lateral Ofensivo,0.763,7,70,90,0.455097,0.421288,0.462063,0.345739,0.264515,0.333661,0.268219,0.361023,0.217742,0.366917,0.33802,0.371224,0.318385,0.490541,0.522754,58.5,13,10,34.0,42,54.5,51,67.5,42.0,15.5,12.0,12,17.0,11.0,12,16,81,85,51,40,22,27,3,40,77,82,82,75,84,82
7,0.501302,0.492097,0.615048,0.429825,0.505966,0.55625,0.450119,1.0,0.467742,0.421053,0.417989,0.493298,0.617391,0.385135,0.657573,0.761038,Marlon,América Mineiro,América Mineiro,LB,LB,1,30,600000,2025-12-31,29,2798,Brazil,Brazil,left,177,69,no,BRA2,Testing,2024,Lateral Ofensivo,0.761,8,70,88,0.455097,0.421288,0.462063,0.345739,0.264515,0.333661,0.268219,0.361023,0.217742,0.366917,0.33802,0.371224,0.318385,0.490541,0.522754,29.0,25,16,21.0,6,15.0,10,1.0,9.0,28.0,20.5,19,7.0,44.0,27,58,64,77,70,91,78,85,98,87,60,70,72,90,37,61
8,0.333333,0.318302,0.691194,0.508772,0.337145,0.4875,0.349551,0.635821,0.451613,0.473684,0.417989,0.539735,0.756522,0.831081,1.0,0.759991,Edílson,Paysandu,Paysandu,RB,RB,1,29,100000,2024-11-30,27,2391,Brazil,Brazil,right,171,74,no,BRA2,Testing,2024,Lateral Ofensivo,0.76,9,70,87,0.455097,0.421288,0.462063,0.345739,0.264515,0.333661,0.268219,0.361023,0.217742,0.366917,0.33802,0.371224,0.318385,0.490541,0.522754,52.0,44,12,14.0,16,18.0,18,7.0,11.0,22.0,20.5,15,3.0,6.5,1,25,37,82,80,77,74,74,90,84,68,70,78,95,90,98
9,0.445312,0.765078,0.604813,0.535088,0.319017,0.06875,0.333966,0.420896,0.209677,0.578947,0.513228,0.504993,0.452174,0.817568,0.957227,0.755635,Marcinho,Ituano,Ituano,RB,RB,1,28,450000,2024-12-31,18,1718,Brazil,Brazil,right,178,76,no,BRA2,Testing,2024,Lateral Ofensivo,0.756,10,70,85,0.455097,0.421288,0.462063,0.345739,0.264515,0.333661,0.268219,0.361023,0.217742,0.366917,0.33802,0.371224,0.318385,0.490541,0.522754,36.0,5,18,12.0,18,59.5,19,24.0,28.5,9.5,11.0,16,12.0,9.0,3,48,92,74,82,74,15,72,65,59,86,84,77,82,87,95
