Unnamed: 0,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,Acelerações,xG,Finalizações_NoAlvo,Conversão_Gols,Conversão_xG,Ameaça_Ofensiva,xA,Assistência_Finalização,Deep_Completions,Passes_Chave,Passes_ÁreaPênalti_Certos,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Duelos_Ofensivos_Ganhos_LM,Dribles_BemSucedidos_LM,Acelerações_LM,xG_LM,Finalizações_NoAlvo_LM,Conversão_Gols_LM,Conversão_xG_LM,Ameaça_Ofensiva_LM,xA_LM,Assistência_Finalização_LM,Deep_Completions_LM,Passes_Chave_LM,Passes_ÁreaPênalti_Certos_LM,Duelos_Ofensivos_Ganhos_Rank,Dribles_BemSucedidos_Rank,Acelerações_Rank,xG_Rank,Finalizações_NoAlvo_Rank,Conversão_Gols_Rank,Conversão_xG_Rank,Ameaça_Ofensiva_Rank,xA_Rank,Assistência_Finalização_Rank,Deep_Completions_Rank,Passes_Chave_Rank,Passes_ÁreaPênalti_Certos_Rank,Duelos_Ofensivos_Ganhos_Percentil,Dribles_BemSucedidos_Percentil,Acelerações_Percentil,xG_Percentil,Finalizações_NoAlvo_Percentil,Conversão_Gols_Percentil,Conversão_xG_Percentil,Ameaça_Ofensiva_Percentil,xA_Percentil,Assistência_Finalização_Percentil,Deep_Completions_Percentil,Passes_Chave_Percentil,Passes_ÁreaPênalti_Certos_Percentil
0,0.526249,0.602843,0.73913,0.547619,0.604082,0.44186,0.6,0.426011,0.416667,0.535135,0.497041,0.690141,0.539679,1.0,Gabriel Novaes,Ponte Preta,Ponte Preta,"CF, LAMF, LWF",CF,12,25,1200000,2024-12-31,23,1919,Brazil,Brazil,right,183,83,no,BRA2,Testing,2024,Segundo Atacante,1.0,1,49,97,0.382075,0.362637,0.397959,0.519436,0.441575,0.492855,0.526731,0.479534,0.301871,0.335466,0.337157,0.348951,0.425795,11,10,10.0,23.5,9,30.0,18.0,31.0,11.0,8.0,11.0,5.0,17,77,79,79,52,81,38,63,36,77,83,77,89,65
1,0.959121,0.894665,0.630435,0.833333,1.0,0.466674,0.57,0.36989,0.375,0.427027,0.295858,0.746479,0.222093,0.994683,Jeh,Ponte Preta,Ponte Preta,CF,CF,12,24,0,,18,1638,Brazil,Brazil,right,185,77,no,BRA2,Testing,2024,Segundo Atacante,0.995,2,49,95,0.382075,0.362637,0.397959,0.519436,0.441575,0.492855,0.526731,0.479534,0.301871,0.335466,0.337157,0.348951,0.425795,2,3,14.0,6.5,1,27.0,21.0,35.0,14.0,16.5,25.0,4.0,33,95,93,71,86,97,44,57,28,71,66,48,91,32
2,0.774848,0.829207,0.0,0.666667,0.523955,0.917237,0.872727,0.563838,0.416667,0.248649,1.0,0.774648,0.813952,0.994248,Zé Roberto,Sport Recife,Sport Recife,"CF, AMF",CF,12,31,1000000,2024-12-31,27,1315,Brazil,Brazil,right,184,85,no,BRA2,Testing,2024,Segundo Atacante,0.994,3,49,93,0.382075,0.362637,0.397959,0.519436,0.441575,0.492855,0.526731,0.479534,0.301871,0.335466,0.337157,0.348951,0.425795,5,5,44.0,15.0,17,4.0,4.0,19.5,11.0,28.5,1.0,3.0,7,89,89,10,69,65,91,91,60,77,41,97,93,85
3,0.410273,0.534233,0.804348,0.5,0.582662,0.655153,0.946154,0.328311,0.375,0.502703,0.378698,0.28169,0.65055,0.948556,Matheus Frizzo,Coritiba,Coritiba,"CF, AMF, LAMF",CF,12,26,1200000,2024-12-31,29,2206,Brazil,Brazil,left,182,71,yes,BRA2,Testing,2024,Segundo Atacante,0.949,4,49,91,0.382075,0.362637,0.397959,0.519436,0.441575,0.492855,0.526731,0.479534,0.301871,0.335466,0.337157,0.348951,0.425795,21,12,8.5,28.5,10,14.5,2.0,37.0,14.0,11.5,17.0,24.5,14,57,75,82,41,79,70,95,24,71,76,65,50,71
4,0.450721,0.244555,0.478261,0.428571,0.287146,0.814295,0.86087,0.488256,0.291667,0.491892,0.798817,0.619718,0.937159,0.914731,Júnior Todinho,Vila Nova,Vila Nova,"CF, RW, RAMF",CF,12,30,0,2024-12-31,23,1621,Brazil,Brazil,left,182,72,no,BRA2,Testing,2024,Segundo Atacante,0.915,5,49,89,0.382075,0.362637,0.397959,0.519436,0.441575,0.492855,0.526731,0.479534,0.301871,0.335466,0.337157,0.348951,0.425795,17,29,19.0,32.5,37,8.0,5.0,24.0,20.5,14.0,2.0,9.5,3,65,40,61,33,24,83,89,51,58,71,95,80,93
5,0.383427,0.376528,0.978261,0.666667,0.759549,0.463406,0.454545,0.546864,0.416667,0.324324,0.35503,0.352113,0.434686,0.900398,Thiago Galhardo,Goiás,Goiás,"CF, LW",CF,12,35,800000,2025-12-31,23,1818,Brazil,"Brazil, Italy",right,183,77,yes,BRA2,Testing,2024,Segundo Atacante,0.9,6,49,87,0.382075,0.362637,0.397959,0.519436,0.441575,0.492855,0.526731,0.479534,0.301871,0.335466,0.337157,0.348951,0.425795,22,20,2.5,15.0,4,28.0,28.0,22.0,11.0,22.0,18.5,21.0,22,55,59,94,69,91,42,42,55,77,55,62,57,55
6,0.629346,0.452078,0.565217,0.642857,0.759644,0.904773,0.825,0.593801,0.166667,0.189189,0.207101,0.366197,0.15947,0.899228,Júnior Brumado,Coritiba,Coritiba,CF,CF,12,25,800000,2026-12-31,15,1029,Brazil,Brazil,right,190,88,yes,BRA2,Testing,2024,Segundo Atacante,0.899,7,49,85,0.382075,0.362637,0.397959,0.519436,0.441575,0.492855,0.526731,0.479534,0.301871,0.335466,0.337157,0.348951,0.425795,7,16,17.0,17.5,3,5.0,7.0,17.0,36.0,35.0,33.5,20.0,41,85,67,65,64,93,89,85,65,26,28,31,59,16
7,0.58111,0.217297,0.0,1.0,0.500111,0.991298,0.6,0.948384,0.208333,0.205405,0.739645,0.225352,0.655356,0.878833,Brenner,América Mineiro,América Mineiro,CF,CF,12,30,400000,2024-12-31,21,1144,Brazil,Brazil,right,182,81,no,BRA2,Testing,2024,Segundo Atacante,0.879,8,49,83,0.382075,0.362637,0.397959,0.519436,0.441575,0.492855,0.526731,0.479534,0.301871,0.335466,0.337157,0.348951,0.425795,8,31,44.0,1.0,19,3.0,18.0,3.0,30.5,33.5,4.0,30.5,13,83,36,10,97,61,93,63,93,37,31,91,37,73
8,0.504949,1.0,0.804348,0.761905,0.797427,0.397021,0.47027,0.431023,0.541667,0.372973,0.236686,0.633803,0.355085,0.862786,Saulo Mineiro,Ceará,Ceará,"CF, RW, RAMF",CF,12,27,350000,2026-12-31,27,2195,Brazil,Brazil,right,184,85,no,BRA2,Testing,2024,Segundo Atacante,0.863,9,49,81,0.382075,0.362637,0.397959,0.519436,0.441575,0.492855,0.526731,0.479534,0.301871,0.335466,0.337157,0.348951,0.425795,13,1,8.5,11.0,2,32.0,26.0,29.0,7.0,19.0,29.5,8.0,25,73,97,82,77,95,34,46,40,85,61,39,83,48
9,0.67764,0.502821,0.152174,0.761905,0.457401,0.819615,0.583784,0.779958,0.125,0.32973,0.201183,0.140845,0.233015,0.838678,Caio Dantas,Guarani,Guarani,CF,CF,12,31,300000,2024-12-31,31,2718,Brazil,Brazil,right,177,72,no,BRA2,Testing,2024,Segundo Atacante,0.839,10,49,79,0.382075,0.362637,0.397959,0.519436,0.441575,0.492855,0.526731,0.479534,0.301871,0.335466,0.337157,0.348951,0.425795,6,13,34.0,11.0,25,7.0,20.0,5.0,40.5,21.0,35.5,40.5,32,87,73,30,77,48,85,59,89,17,57,27,17,34
