Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Passes_Longos_Certos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Ações_Ofensivas_BemSucedidas,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,Corridas_Progressivas,Passes_TerçoFinal_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
17,Emerson Santos,Ponte Preta,Ponte Preta,"LDMF, RCMF",LDMF,7,29,500000,2025-04-30,23,1457,Brazil,Brazil,right,184,75,no,6.86,2.909548,0.7113980000000001,3.042528,8.47992,4.590692000000001,0.52,1.162735,0.25713,0.52,4.918284000000001,BRA2,Testing,2024,0.2304209546099255,0.271974757512753,0.2511978560613393
18,Rômulo,CRB,CRB,"LDMF, RDMF, DMF",LDMF,7,28,450000,2024-12-31,22,921,Brazil,Brazil,right,182,80,no,7.92,3.03,1.658944,1.46625,8.012196999999999,5.18071,1.17,1.85598,0.6825,0.59,4.301385,BRA2,Testing,2024,0.4265770284951395,0.3839524355253216,0.4052647320102306
19,Neto Moura,Mirassol,Mirassol,"DMF, LCMF, LDMF",DMF,7,28,800000,2025-12-31,29,2062,Brazil,Brazil,right,177,70,yes,9.03,3.760194,1.283769,2.47596,12.926912,6.835428,0.55,0.68625,0.135,0.32,7.515184,BRA2,Testing,2024,0.6725466183475411,0.6856342288704248,0.6790904236089831
20,Val Soares,Paysandu,Paysandu,"LDMF, AMF, LCMF",LDMF,7,27,225000,2025-06-30,18,1063,Brazil,Brazil,right,176,69,yes,7.28,3.471825,0.9323640000000001,4.998334,12.44355,9.142596,1.86,2.032284,0.762908,1.27,7.789672,BRA2,Testing,2024,0.7197513470701667,0.8032284160127527,0.7614898815414599
21,Jacy,Operário PR,Operário PR,"DMF, RDMF, RCMF",DMF,7,27,100000,2025-12-31,26,1811,Brazil,Brazil,right,192,83,no,10.15,5.25838,5.1051,1.369685,6.9996,2.733872,0.84,1.523456,0.7365269999999999,0.42,3.678645000000001,BRA2,Testing,2024,0.6077071798787756,0.6786417745546026,0.6431744772166892
22,Lourenço,Ceará,Ceará,"RDMF, RCMF, LCMF",RDMF,7,27,1000000,2025-12-31,27,2314,Brazil,Brazil,right,169,65,no,6.03,2.451156,1.553596,2.76115,7.230626999999999,4.592276,1.79,2.100496,0.62223,0.7,4.7446,BRA2,Testing,2024,0.223677202349119,0.2590193834552305,0.2413482929021747
23,João Vieira,Paysandu,Paysandu,"RDMF, LDMF, LCMF",RDMF,7,26,100000,2024-11-30,31,3011,Brazil,Brazil,right,173,68,no,6.46,3.707556,0.45,2.093572,9.926880999999998,5.532725,1.05,1.2857,0.3599729999999999,1.17,6.09489,BRA2,Testing,2024,0.3296907196841105,0.2941531660106738,0.3119219428473922
24,Netinho,Paysandu,Paysandu,"RDMF, RCMF, LDMF",RDMF,7,26,0,,24,883,Brazil,Brazil,right,180,76,no,6.52,3.875796,0.714696,2.95581,9.88715,5.505,3.16,3.768918,1.626687,2.04,6.829392000000001,BRA2,Testing,2024,0.4202544621906683,0.4289397395340036,0.424597100862336
25,Falcão,CRB,CRB,"LDMF, DMF, LCMF",LDMF,7,26,100000,2026-12-31,32,2500,Brazil,Brazil,right,183,71,no,11.88,6.873826,1.654831,2.050876,11.52094,5.185819999999999,0.29,1.475,0.108,0.22,4.899127999999999,BRA2,Testing,2024,0.6755478214585076,0.7019474779278604,0.688747649693184
26,Paulinho,Brusque,Brusque,"LDMF, LCMF",LDMF,7,26,0,2024-12-31,10,809,Brazil,Brazil,unknown,0,0,yes,10.12,5.453568000000001,1.446912,1.7776,6.339312,3.89193,0.89,1.889373,0.446689,0.67,3.6696,BRA2,Testing,2024,0.3773495039176848,0.4496793442942541,0.4135144241059695
27,Vinicius Diniz,Operário PR,Operário PR,"RDMF, RCMF, LCMF",RDMF,7,25,100000,2025-12-31,26,1639,Brazil,Brazil,right,190,82,no,8.51,3.88064,1.736469,1.796868,9.381276000000002,4.167429000000001,1.45,2.37424,0.927942,0.46,4.862248000000001,BRA2,Testing,2024,0.4347349658512936,0.4447927422699787,0.4397638540606362
28,João Pedro,CRB,CRB,"RDMF, RCMF, LDMF",RDMF,7,25,50000,2024-12-31,28,2420,Brazil,Brazil,right,185,72,no,7.66,4.353706,1.113615,1.451756,10.602985,5.283840000000001,1.38,2.381388,0.7827719999999999,1.26,5.871824,BRA2,Testing,2024,0.4234163601190397,0.4046513008354757,0.4140338304772577
29,João Costa,Botafogo SP U20,Botafogo SP,"DMF, RCMF, LCMF",DMF,7,19,0,,28,2050,Brazil,Brazil,right,0,0,no,6.76,3.11688,0.919512,1.317822,5.31216,2.061198,0.75,1.14231,0.351076,0.4,3.293831999999999,BRA2,Testing,2024,0.0,0.0,0.0
30,Felipe Amaral,América Mineiro,América Mineiro,"RDMF, DMF, LDMF",RDMF,7,21,0,,21,934,Brazil,Brazil,right,174,72,no,9.83,4.527189,0.771719,2.791826,8.960787,5.397932000000001,0.67,1.830832,0.386715,0.77,5.682416,BRA2,Testing,2024,0.6196923700040948,0.6182195599439778,0.6189559649740364
31,Vini Paulista,Coritiba,Coritiba,"LDMF, LW, RDMF",LDMF,7,23,500000,2025-12-31,26,1702,Brazil,Brazil,right,179,71,no,10.36,6.55592,0.5806399999999999,0.6864,6.342503000000001,2.7,1.96,2.64291,1.166725,1.64,3.064658,BRA2,Testing,2024,0.3011624492446698,0.3335154185896561,0.317338933917163
