Unnamed: 0,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Duelos_Ofensivos_Ganhos,xG,xA,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Ações_Defensivas_BemSucedidas_LM,Duelos_Defensivos_Ganhos_LM,Passes_Frontais_Certos_LM,Passes_Progressivos_Certos_LM,Duelos_Ofensivos_Ganhos_LM,xG_LM,xA_LM,Ações_Defensivas_BemSucedidas_Rank,Duelos_Defensivos_Ganhos_Rank,Passes_Frontais_Certos_Rank,Passes_Progressivos_Certos_Rank,Duelos_Ofensivos_Ganhos_Rank,xG_Rank,xA_Rank,Ações_Defensivas_BemSucedidas_Percentil,Duelos_Defensivos_Ganhos_Percentil,Passes_Frontais_Certos_Percentil,Passes_Progressivos_Certos_Percentil,Duelos_Ofensivos_Ganhos_Percentil,xG_Percentil,xA_Percentil
44,0.165289,0.118732,0.071273,0.236077,1.0,0.516129,0.695652,0.258757,Victor Andrade,Botafogo SP,Botafogo SP,"LW, LWF, CF",LW,10,29,0,2024-12-31,13,1156,Brazil,Brazil,right,178,72,no,BRA2,Testing,2024,Extremo Tático,0.259,45,60,25,0.449311,0.378195,0.255912,0.271083,0.350544,0.416129,0.374638,55.0,53,53,32,1,18.0,6.0,8,11,11,46,98,70,90
45,0.22314,0.302234,0.102883,0.171016,0.426116,0.322581,0.608696,0.253689,Ronald,Operário PR,Operário PR,"RW, RAMF, RWF",RW,10,27,300000,2024-12-31,26,1408,Brazil,Brazil,left,162,60,no,BRA2,Testing,2024,Extremo Tático,0.254,46,60,23,0.449311,0.378195,0.255912,0.271083,0.350544,0.416129,0.374638,51.5,33,49,43,19,40.5,10.5,14,45,18,28,68,32,82
46,0.419835,0.382149,0.126335,0.053206,0.430972,0.645161,0.217391,0.22794,Matheus Régis,Ponte Preta,Ponte Preta,"RAMF, RW",RAMF,10,25,400000,2026-01-30,27,1653,Brazil,Brazil,right,181,72,yes,BRA2,Testing,2024,Extremo Tático,0.228,47,60,21,0.449311,0.378195,0.255912,0.271083,0.350544,0.416129,0.374638,28.0,27,46,57,18,8.0,43.0,53,55,23,5,70,86,28
47,0.161983,0.185928,0.19012,0.22695,0.183467,0.774194,0.434783,0.218312,Fabinho,América Mineiro,América Mineiro,"LAMF, LWF, RAMF",LAMF,10,24,1500000,2025-12-31,31,2017,Brazil,Brazil,left,180,75,no,BRA2,Testing,2024,Extremo Tático,0.218,48,60,20,0.449311,0.378195,0.255912,0.271083,0.350544,0.416129,0.374638,56.0,51,35,33,51,3.5,21.5,6,15,41,45,15,94,64
48,0.208264,0.060259,0.153097,0.303167,0.265073,0.419355,0.521739,0.197181,Paulo Baya,Goiás,Goiás,"LW, LAMF",LW,10,25,250000,2024-12-31,29,1845,Brazil,Brazil,right,185,77,yes,BRA2,Testing,2024,Extremo Tático,0.197,49,60,18,0.449311,0.378195,0.255912,0.271083,0.350544,0.416129,0.374638,53.0,57,43,18,42,27.5,16.0,11,5,28,70,30,54,73
49,0.266116,0.226444,0.181082,0.157327,0.206021,0.387097,0.521739,0.195436,Wellington Silva,Sport Recife,Sport Recife,"LW, LAMF, CF",LW,10,31,400000,2024-12-31,17,897,Brazil,"Brazil, Spain",right,170,64,yes,BRA2,Testing,2024,Extremo Tático,0.195,50,60,16,0.449311,0.378195,0.255912,0.271083,0.350544,0.416129,0.374638,46.0,45,38,46,48,32.5,16.0,23,25,36,23,20,45,73
50,0.31405,0.104274,0.157896,0.10157,0.473927,0.096774,0.347826,0.166185,Kleiton,CRB,CRB,"RAMF, RW, RWF",RAMF,10,25,250000,2025-12-31,18,1044,Brazil,Brazil,right,182,76,yes,BRA2,Testing,2024,Extremo Tático,0.166,51,60,15,0.449311,0.378195,0.255912,0.271083,0.350544,0.416129,0.374638,37.0,54,41,54,11,55.5,29.0,38,10,31,10,81,7,51
51,0.305785,0.086027,0.180093,0.12944,0.329637,0.709677,0.347826,0.163229,Mike,CRB,CRB,"RAMF, RW, CF",RAMF,10,31,500000,2024-12-31,26,1035,Brazil,Brazil,left,174,67,no,BRA2,Testing,2024,Extremo Tático,0.163,52,60,13,0.449311,0.378195,0.255912,0.271083,0.350544,0.416129,0.374638,38.5,55,39,52,31,6.0,29.0,35,8,35,13,48,90,51
52,0.242975,0.152505,0.155075,0.16426,0.242923,0.419355,0.478261,0.158565,Vinícius Pavia,Ituano,Ituano,"LAMF, LW, LWF",LAMF,10,23,700000,2024-12-31,30,2423,Brazil,Brazil,right,174,65,yes,BRA2,Testing,2024,Extremo Tático,0.159,53,60,11,0.449311,0.378195,0.255912,0.271083,0.350544,0.416129,0.374638,48.0,52,42,45,46,27.5,18.5,20,13,30,25,23,54,69
53,0.292562,0.222467,0.019167,0.169258,0.274355,0.129032,0.608696,0.148949,Reinaldo,Guarani,Guarani,"LW, RW",LW,10,23,400000,2026-06-30,23,865,Brazil,Brazil,right,178,73,no,BRA2,Testing,2024,Extremo Tático,0.149,54,60,10,0.449311,0.378195,0.255912,0.271083,0.350544,0.416129,0.374638,40.5,46,58,44,39,54.0,10.5,32,23,3,26,35,10,82
54,0.287603,0.231406,0.1226,0.105123,0.258858,0.290323,0.217391,0.084901,Iago Dias,Ponte Preta,Ponte Preta,"LAMF, CF, LW",LAMF,10,31,300000,2024-11-30,28,1620,Brazil,Brazil,right,175,74,no,BRA2,Testing,2024,Extremo Tático,0.085,55,60,8,0.449311,0.378195,0.255912,0.271083,0.350544,0.416129,0.374638,42.0,42,47,53,44,44.5,43.0,30,30,21,11,26,25,28
55,0.398347,0.243134,0.004456,0.075725,0.059084,0.516129,0.304348,0.022932,Neto Pessôa,Grêmio Novorizontino,Grêmio Novorizontino,"LW, LWF, CF",LW,10,30,250000,2024-12-31,33,2274,Brazil,Brazil,left,182,79,no,BRA2,Testing,2024,Extremo Tático,0.023,56,60,6,0.449311,0.378195,0.255912,0.271083,0.350544,0.416129,0.374638,31.0,37,59,56,58,18.0,34.0,48,38,1,6,3,70,43
56,0.105785,0.004082,0.088783,0.149661,0.0,0.612903,0.173913,0.019201,Bruno Xavier,Ituano,Ituano,"RWF, RAMF, LW",RWF,11,27,50000,2024-12-31,25,1664,Brazil,Brazil,right,178,71,no,BRA2,Testing,2024,Extremo Tático,0.019,57,60,5,0.449311,0.378195,0.255912,0.271083,0.350544,0.416129,0.374638,59.0,59,51,50,60,11.0,49.5,1,1,15,16,0,81,17
57,0.22314,0.190624,0.064963,0.0,0.433008,0.645161,0.217391,0.016755,Airton,Guarani,Guarani,"LW, RAMF, LAMF",LW,10,25,350000,2024-12-31,20,1498,Brazil,Brazil,right,178,75,yes,BRA2,Testing,2024,Extremo Tático,0.017,58,60,3,0.449311,0.378195,0.255912,0.271083,0.350544,0.416129,0.374638,51.5,50,54,60,17,8.0,43.0,14,16,10,0,71,86,28
58,0.128926,0.054668,0.033052,0.094914,0.189876,0.612903,0.608696,0.012326,Felipe Augusto,Operário PR,Operário PR,"RAMF, RWF, CF",RAMF,10,32,100000,2024-11-15,21,1399,Brazil,Brazil,right,183,82,no,BRA2,Testing,2024,Extremo Tático,0.012,59,60,1,0.449311,0.378195,0.255912,0.271083,0.350544,0.416129,0.374638,58.0,58,56,55,50,11.0,10.5,3,3,6,8,16,81,82
59,0.380165,0.228054,0.052022,0.05073,0.197658,0.419355,0.130435,0.0,Maurício Garcez,Avaí,Avaí,"LW, LAMF, RW",LW,10,27,1000000,2027-12-31,30,2493,Brazil,Brazil,right,183,71,no,BRA2,Testing,2024,Extremo Tático,0.0,60,60,0,0.449311,0.378195,0.255912,0.271083,0.350544,0.416129,0.374638,32.0,43,55,59,49,27.5,52.5,46,28,8,1,18,54,12
