Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Passes_Longos_Certos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Ações_Ofensivas_BemSucedidas,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,Corridas_Progressivas,Passes_TerçoFinal_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
0,Rodolfo Potiguar,Brusque,Brusque,"DMF, RCMF, RDMF",DMF,7,36,100000,2024-12-31,32,2679,Brazil,Brazil,right,179,70,no,9.98,6.01612,12.56486,8.166676,0.67,1.644544,0.335721,0.44,6.654340000000001,BRA2,Testing,2024,0.9821580574537461,1.0,1.0
1,Moisés,América Mineiro,América Mineiro,"LDMF, LCMF",LDMF,7,36,250000,2024-12-31,28,1368,Brazil,Brazil,right,184,76,no,5.92,3.289152,10.19574,6.0525,1.71,2.103816,0.657666,0.33,6.642258000000001,BRA2,Testing,2024,0.4164271897717003,0.3617812597980657,0.3926066574980617
2,Gabriel,Mirassol,Mirassol,"DMF, LCMF, CF",DMF,7,34,350000,2025-12-31,30,2386,Brazil,Brazil,right,178,67,no,4.64,1.85934,9.055389,5.303233000000001,1.55,2.050582,0.7713900000000001,0.62,5.764701,BRA2,Testing,2024,0.2333156486444551,0.2103995600387003,0.223854604840719
3,Alê,América Mineiro,América Mineiro,"DMF, RDMF, LDMF",DMF,7,34,300000,2025-12-31,31,2892,Brazil,Brazil,right,184,74,no,7.59,2.181971,13.16165,6.097728000000001,1.31,2.863440000000001,0.530656,1.59,7.778176000000001,BRA2,Testing,2024,0.5482862118789954,0.5492132444022602,0.5536891733503274
4,Auremir,Chapecoense,Chapecoense,"DMF, RDMF, LCMF",DMF,7,33,300000,2025-12-31,15,849,Brazil,Brazil,right,174,64,no,8.48,1.799634,5.090695999999999,2.117379,0.64,1.590106,0.636,0.42,2.11876,BRA2,Testing,2024,0.2695858093929677,0.2695101274580802,0.2719742428328664
5,Emerson Santos,Ponte Preta,Ponte Preta,"LDMF, DMF, LCMF",LDMF,7,32,200000,2024-12-31,29,2002,Brazil,Brazil,right,180,77,no,9.88,2.410232,8.608075,4.729752,0.47,0.8992859999999999,0.2375,0.28,4.680397,BRA2,Testing,2024,0.619137317433506,0.6421698808740015,0.6363302833315755
6,Foguinho,Chapecoense,Chapecoense,"RDMF, RCMF",RDMF,7,32,300000,2024-12-31,28,2335,Brazil,Brazil,right,180,75,no,6.63,1.042022,4.738977,2.464546,1.12,1.193605,0.502096,0.81,2.657267,BRA2,Testing,2024,0.0,0.0,0.0
7,Neto Paraíba,Operário PR,Operário PR,"RDMF, LDMF, RCMF",RDMF,7,32,50000,2024-12-31,16,842,Brazil,Brazil,right,179,74,no,6.75,0.653268,9.144031000000002,4.899804,2.39,3.59,1.6305,1.85,4.680051000000001,BRA2,Testing,2024,0.2452388726947678,0.2501619835197887,0.2499300468757481
8,Índio,Operário PR,Operário PR,"LDMF, LCMF",LDMF,7,32,100000,2024-12-31,23,1426,Brazil,Brazil,left,185,82,no,6.75,2.2725,11.798836,5.174240999999999,1.07,1.7064,0.633308,1.07,6.124987999999999,BRA2,Testing,2024,0.3293874241865258,0.3387211259720959,0.337061188257038
9,Tárik,Chapecoense,Chapecoense,"LDMF, LCMF, RCMF",LDMF,7,31,50000,2024-12-31,24,1617,Brazil,"Brazil, Italy",right,183,72,no,6.96,2.895746,10.24365,5.064772,0.89,2.057061,0.7252520000000001,0.5,4.954656,BRA2,Testing,2024,0.3767013027821928,0.3725682848469661,0.3780069832532229
