Unnamed: 0,Duelos_Aéreos_Ganhos,Duelos_Ofensivos_Ganhos,xG,Conversão_Gols,Conversão_xG,Ameaça_Ofensiva,xA,Deep_Completions,Passes_Chave,Passes_ÁreaPênalti_Certos,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Duelos_Aéreos_Ganhos_LM,Duelos_Ofensivos_Ganhos_LM,xG_LM,Conversão_Gols_LM,Conversão_xG_LM,Ameaça_Ofensiva_LM,xA_LM,Deep_Completions_LM,Passes_Chave_LM,Passes_ÁreaPênalti_Certos_LM,Duelos_Aéreos_Ganhos_Rank,Duelos_Ofensivos_Ganhos_Rank,xG_Rank,Conversão_Gols_Rank,Conversão_xG_Rank,Ameaça_Ofensiva_Rank,xA_Rank,Deep_Completions_Rank,Passes_Chave_Rank,Passes_ÁreaPênalti_Certos_Rank,Duelos_Aéreos_Ganhos_Percentil,Duelos_Ofensivos_Ganhos_Percentil,xG_Percentil,Conversão_Gols_Percentil,Conversão_xG_Percentil,Ameaça_Ofensiva_Percentil,xA_Percentil,Deep_Completions_Percentil,Passes_Chave_Percentil,Passes_ÁreaPênalti_Certos_Percentil
0,0.673576,0.774848,0.666667,0.917237,0.872727,0.563838,0.416667,1.0,0.774648,0.813952,1.0,Zé Roberto,Sport Recife,Sport Recife,"CF, AMF",CF,12,31,1000000,2024-12-31,27,1315,Brazil,Brazil,right,184,85,no,BRA2,Testing,2024,Atacante Referência,1.0,1,49,97,0.302677,0.382075,0.519436,0.492855,0.526731,0.479534,0.301871,0.337157,0.348951,0.425795,5,5,15.0,4.0,4.0,19.5,11.0,1.0,3.0,7,89,89,69,91,91,60,77,97,93,85
1,0.685612,0.629346,0.642857,0.904773,0.825,0.593801,0.166667,0.207101,0.366197,0.15947,0.955651,Júnior Brumado,Coritiba,Coritiba,CF,CF,12,25,800000,2026-12-31,15,1029,Brazil,Brazil,right,190,88,yes,BRA2,Testing,2024,Atacante Referência,0.956,2,49,95,0.302677,0.382075,0.519436,0.492855,0.526731,0.479534,0.301871,0.337157,0.348951,0.425795,4,7,17.5,5.0,7.0,17.0,36.0,33.5,20.0,41,91,85,64,89,85,65,26,31,59,16
2,0.412216,0.450721,0.428571,0.814295,0.86087,0.488256,0.291667,0.798817,0.619718,0.937159,0.908979,Júnior Todinho,Vila Nova,Vila Nova,"CF, RW, RAMF",CF,12,30,0,2024-12-31,23,1621,Brazil,Brazil,left,182,72,no,BRA2,Testing,2024,Atacante Referência,0.909,3,49,93,0.302677,0.382075,0.519436,0.492855,0.526731,0.479534,0.301871,0.337157,0.348951,0.425795,12,17,32.5,8.0,5.0,24.0,20.5,2.0,9.5,3,75,65,33,83,89,51,58,95,80,93
3,0.734274,0.148057,0.857143,0.723818,0.731707,0.599179,0.041667,0.076923,0.15493,0.211898,0.896387,Breno Herculano,Goiás,Goiás,CF,CF,12,25,0,,18,892,Brazil,Brazil,right,189,89,no,BRA2,Testing,2024,Atacante Referência,0.896,4,49,91,0.302677,0.382075,0.519436,0.492855,0.526731,0.479534,0.301871,0.337157,0.348951,0.425795,3,45,5.0,10.0,13.0,14.0,47.0,44.0,39.0,35,93,8,89,79,73,71,4,10,20,28
4,0.32702,0.58111,1.0,0.991298,0.6,0.948384,0.208333,0.739645,0.225352,0.655356,0.83875,Brenner,América Mineiro,América Mineiro,CF,CF,12,30,400000,2024-12-31,21,1144,Brazil,Brazil,right,182,81,no,BRA2,Testing,2024,Atacante Referência,0.839,5,49,89,0.302677,0.382075,0.519436,0.492855,0.526731,0.479534,0.301871,0.337157,0.348951,0.425795,22,8,1.0,3.0,18.0,3.0,30.5,4.0,30.5,13,55,83,97,93,63,93,37,91,37,73
5,0.404726,0.354317,0.904762,0.69091,0.404651,1.0,0.166667,0.201183,0.408451,0.124518,0.836258,Hygor,Avaí,Avaí,"CF, RW",CF,12,32,150000,2025-12-31,20,1256,Brazil,Brazil,right,186,78,no,BRA2,Testing,2024,Atacante Referência,0.836,6,49,87,0.302677,0.382075,0.519436,0.492855,0.526731,0.479534,0.301871,0.337157,0.348951,0.425795,14,24,4.0,11.5,35.0,1.0,36.0,35.5,19.0,44,71,51,91,76,28,97,26,27,61,10
6,0.793286,0.240263,0.666667,0.474996,0.4,0.663424,0.291667,0.414201,0.816901,0.176946,0.820649,Julio Furch,Santos,Santos,CF,CF,12,35,700000,2025-06-30,25,1250,Argentina,Argentina,right,188,88,no,BRA2,Testing,2024,Atacante Referência,0.821,7,49,85,0.302677,0.382075,0.519436,0.492855,0.526731,0.479534,0.301871,0.337157,0.348951,0.425795,2,33,15.0,25.0,36.5,9.0,20.5,15.5,2.0,38,95,32,69,48,25,81,58,68,95,22
7,0.2254,0.67764,0.761905,0.819615,0.583784,0.779958,0.125,0.201183,0.140845,0.233015,0.811369,Caio Dantas,Guarani,Guarani,CF,CF,12,31,300000,2024-12-31,31,2718,Brazil,Brazil,right,177,72,no,BRA2,Testing,2024,Atacante Referência,0.811,8,49,83,0.302677,0.382075,0.519436,0.492855,0.526731,0.479534,0.301871,0.337157,0.348951,0.425795,30,6,11.0,7.0,20.0,5.0,40.5,35.5,40.5,32,38,87,77,85,59,89,17,27,17,34
8,0.520907,0.359147,0.309524,0.52413,1.0,0.21927,0.291667,0.343195,0.098592,0.780712,0.783015,J. Recalde,Ceará,Ceará,"CF, AMF",CF,12,32,600000,2025-12-31,26,1210,Paraguay,Paraguay,right,178,83,no,BRA2,Testing,2024,Atacante Referência,0.783,9,49,81,0.302677,0.382075,0.519436,0.492855,0.526731,0.479534,0.301871,0.337157,0.348951,0.425795,8,23,36.0,20.0,1.0,43.0,20.5,21.0,45.5,9,83,53,26,59,97,12,58,57,7,81
9,0.550915,0.0,0.595238,1.0,0.92,0.5795,0.0,0.0,0.0,0.102458,0.764653,F. Barceló,Ceará,Ceará,CF,CF,12,31,600000,2024-12-31,23,972,Uruguay,"Uruguay, Italy",right,180,75,no,BRA2,Testing,2024,Atacante Referência,0.765,10,49,79,0.302677,0.382075,0.519436,0.492855,0.526731,0.479534,0.301871,0.337157,0.348951,0.425795,6,49,21.5,1.5,3.0,18.0,49.0,49.0,48.0,46,87,0,56,96,93,63,0,0,2,6
10,0.417454,0.179538,0.5,0.655153,0.623077,0.563838,0.125,0.325444,0.225352,0.202068,0.731682,Alexandre Jesus,Botafogo SP,Botafogo SP,CF,CF,12,23,250000,2025-12-31,20,1677,Brazil,Brazil,right,184,82,no,BRA2,Testing,2024,Atacante Referência,0.732,11,49,77,0.302677,0.382075,0.519436,0.492855,0.526731,0.479534,0.301871,0.337157,0.348951,0.425795,10,39,28.5,14.5,16.0,19.5,40.5,22.5,30.5,36,79,20,41,70,67,60,17,54,37,26
11,0.239572,0.333659,0.52381,0.730772,0.666667,0.59496,0.25,0.426036,0.549296,0.553776,0.730456,Anselmo Ramon,CRB,CRB,CF,CF,12,36,150000,2025-12-31,34,3017,Brazil,Brazil,right,182,77,no,BRA2,Testing,2024,Atacante Referência,0.73,12,49,75,0.302677,0.382075,0.519436,0.492855,0.526731,0.479534,0.301871,0.337157,0.348951,0.425795,28,28,26.0,9.0,14.0,16.0,25.5,14.0,11.0,16,42,42,46,81,71,67,47,71,77,67
12,0.45784,0.208898,0.952381,0.565967,0.413333,0.769254,0.083333,0.023669,0.253521,0.0,0.728153,Mário Sérgio,Chapecoense,Chapecoense,CF,CF,12,29,100000,2026-12-31,27,2030,Brazil,Brazil,left,181,70,no,BRA2,Testing,2024,Atacante Referência,0.728,13,49,73,0.302677,0.382075,0.519436,0.492855,0.526731,0.479534,0.301871,0.337157,0.348951,0.425795,9,36,2.5,17.0,34.0,6.0,44.0,47.5,27.5,49,81,26,94,65,30,87,10,3,43,0
13,0.335126,0.959121,0.833333,0.466674,0.57,0.36989,0.375,0.295858,0.746479,0.222093,0.719979,Jeh,Ponte Preta,Ponte Preta,CF,CF,12,24,0,,18,1638,Brazil,Brazil,right,185,77,no,BRA2,Testing,2024,Atacante Referência,0.72,14,49,71,0.302677,0.382075,0.519436,0.492855,0.526731,0.479534,0.301871,0.337157,0.348951,0.425795,20,2,6.5,27.0,21.0,35.0,14.0,25.0,4.0,33,59,95,86,44,57,28,71,48,91,32
14,0.413357,1.0,0.619048,0.358489,0.425806,0.432004,0.291667,0.307692,0.422535,0.440497,0.7189,Thonny Anderson,Ituano,Ituano,CF,CF,12,26,500000,2024-12-31,24,2077,Brazil,Brazil,right,184,81,yes,BRA2,Testing,2024,Atacante Referência,0.719,15,49,69,0.302677,0.382075,0.519436,0.492855,0.526731,0.479534,0.301871,0.337157,0.348951,0.425795,11,1,19.5,36.0,32.0,28.0,20.5,24.0,18.0,21,77,97,60,26,34,42,58,51,63,57
15,0.32094,0.165696,0.785714,1.0,0.821053,0.67635,0.125,0.071006,0.43662,0.117729,0.707537,Luan Silva,Amazonas,Amazonas,CF,CF,12,32,150000,2024-12-31,13,873,Brazil,Brazil,,0,0,no,BRA2,Testing,2024,Atacante Referência,0.708,16,49,67,0.302677,0.382075,0.519436,0.492855,0.526731,0.479534,0.301871,0.337157,0.348951,0.425795,23,42,8.5,1.5,8.0,8.0,40.5,45.0,17.0,45,53,14,82,96,83,83,17,8,65,8
16,0.404572,0.264331,0.833333,0.511552,0.42,0.677579,0.291667,0.224852,0.338028,0.166498,0.705913,Gustavo Coutinho,Sport Recife,Sport Recife,CF,CF,12,25,1800000,2027-12-31,32,2277,Brazil,Brazil,right,186,78,no,BRA2,Testing,2024,Atacante Referência,0.706,17,49,65,0.302677,0.382075,0.519436,0.492855,0.526731,0.479534,0.301871,0.337157,0.348951,0.425795,15,29,6.5,21.0,33.0,7.0,20.5,31.5,22.0,39,69,40,86,57,32,85,58,35,55,20
17,0.290318,0.450476,0.357143,0.474996,0.33,0.79355,1.0,0.284024,0.478873,0.296366,0.683755,Salatiel,Ituano,Ituano,CF,CF,12,32,250000,2024-11-30,16,796,Brazil,Brazil,right,187,76,no,BRA2,Testing,2024,Atacante Referência,0.684,18,49,63,0.302677,0.382075,0.519436,0.492855,0.526731,0.479534,0.301871,0.337157,0.348951,0.425795,24,18,34.0,25.0,40.0,4.0,1.0,27.0,13.0,28,51,63,30,48,18,91,97,44,73,42
18,0.349979,0.504949,0.761905,0.397021,0.47027,0.431023,0.541667,0.236686,0.633803,0.355085,0.681931,Saulo Mineiro,Ceará,Ceará,"CF, RW, RAMF",CF,12,27,350000,2026-12-31,27,2195,Brazil,Brazil,right,184,85,no,BRA2,Testing,2024,Atacante Referência,0.682,19,49,61,0.302677,0.382075,0.519436,0.492855,0.526731,0.479534,0.301871,0.337157,0.348951,0.425795,18,13,11.0,32.0,26.0,29.0,7.0,29.5,8.0,25,63,73,77,34,46,40,85,39,83,48
19,0.259395,0.339075,0.619048,0.678561,0.774194,0.441867,0.041667,0.04142,0.0,0.141994,0.67922,Lucca,Grêmio Novorizontino,Grêmio Novorizontino,CF,CF,12,34,300000,2024-11-30,24,1114,Brazil,Brazil,right,178,72,no,BRA2,Testing,2024,Atacante Referência,0.679,20,49,59,0.302677,0.382075,0.519436,0.492855,0.526731,0.479534,0.301871,0.337157,0.348951,0.425795,25,27,19.5,13.0,11.0,27.0,47.0,46.0,48.0,43,48,44,60,73,77,44,4,6,2,12
20,0.256082,0.526249,0.547619,0.44186,0.6,0.426011,0.416667,0.497041,0.690141,0.539679,0.678822,Gabriel Novaes,Ponte Preta,Ponte Preta,"CF, LAMF, LWF",CF,12,25,1200000,2024-12-31,23,1919,Brazil,Brazil,right,183,83,no,BRA2,Testing,2024,Atacante Referência,0.679,21,49,57,0.302677,0.382075,0.519436,0.492855,0.526731,0.479534,0.301871,0.337157,0.348951,0.425795,26,11,23.5,30.0,18.0,31.0,11.0,11.0,5.0,17,46,77,52,38,63,36,77,77,89,65
21,0.176333,0.490637,0.785714,0.5,0.442105,0.626487,0.208333,0.272189,0.239437,0.609725,0.677193,Rodolfo,Grêmio Novorizontino,Grêmio Novorizontino,CF,CF,12,32,600000,2024-11-30,26,1633,Brazil,Brazil,right,175,75,no,BRA2,Testing,2024,Atacante Referência,0.677,22,49,55,0.302677,0.382075,0.519436,0.492855,0.526731,0.479534,0.301871,0.337157,0.348951,0.425795,34,14,8.5,22.0,30.0,13.0,30.5,28.0,29.0,15,30,71,82,55,38,73,37,42,40,69
22,1.0,0.229773,0.285714,0.0,0.0,0.395383,0.208333,0.094675,0.169014,0.05672,0.660848,Osman,Brusque,Brusque,"CF, LW",CF,12,31,200000,2025-11-30,18,733,Brazil,Brazil,right,179,72,no,BRA2,Testing,2024,Atacante Referência,0.661,23,49,53,0.302677,0.382075,0.519436,0.492855,0.526731,0.479534,0.301871,0.337157,0.348951,0.425795,1,34,38.0,48.0,48.0,33.0,30.5,43.0,37.5,47,97,30,22,2,2,32,37,12,23,4
