Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Passes_Longos_Certos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,xG,Finalizações_NoAlvo,Conversão_Gols,xA,Assistência_Finalização,Passes_Inteligentes_Certos,Passes_EntreLinhas_Certos,Passes_Chave,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
0,Waguininho,Grêmio Novorizontino,Grêmio Novorizontino,"RW, LW, LWB",RW,10,34,250000,2024-12-31,28,2205,Brazil,Brazil,right,177,75,no,0.733785,3.837000000000001,2.81424,2.653856,0.7345999999999999,0.11,0.408,16.0,0.06,0.94,0.04,0.12,0.29,BRA2,Testing,2024,0.1947784729172214,0.1915216681342106,0.1780021584208098
1,João Paulo,Avaí,Avaí,"RW, AMF, RAMF",RW,10,34,400000,2025-12-31,19,1099,Brazil,Brazil,right,169,59,no,1.228362,7.614357999999999,3.109754999999999,4.587807999999999,1.801638,0.18,0.408799,5.882,0.04,0.74,0.165,0.164,0.25,BRA2,Testing,2024,0.4207872846172497,0.4792527705139485,0.4396946275406857
2,Lucas Lima,Sport Recife,Sport Recife,"RW, RAMF, CF",RW,10,34,600000,2025-04-30,31,2847,Brazil,Brazil,left,176,70,yes,3.571506,10.589397,7.5225,3.6652,1.36059,0.03,0.189,5.0,0.23,1.71,0.223125,0.442728,0.66,BRA2,Testing,2024,0.6636568452645777,0.8631270394840411,0.758949829994673
3,Jean Dias,Paysandu,Paysandu,"RAMF, LAMF, RW",RAMF,10,34,350000,2024-12-31,26,1481,Brazil,Brazil,right,170,66,no,1.638312,4.4343,4.556725000000001,5.227992,3.280164,0.14,0.669645,11.765,0.13,1.28,0.12,0.06,0.3,BRA2,Testing,2024,0.7149019938448387,0.7249747849926249,0.7146804740294255
4,Chico Kim,Mirassol,Mirassol,"RWF, RW, LW",RWF,11,33,350000,2024-12-31,32,1787,Brazil,"Brazil, Korea Republic",right,175,69,no,0.97643,5.246486,2.932209,3.703904,1.181302,0.06,0.257148,0.0,0.14,1.54,0.102852,0.155439,0.31,BRA2,Testing,2024,0.3524687270175543,0.3945035675756932,0.3617238896244436
5,Diego Tavares,Brusque,Brusque,"RW, CF, RWB",RW,10,33,100000,2024-12-31,27,1030,Brazil,Brazil,right,175,74,no,0.7892220000000001,3.497197,2.446176,3.933,2.183084,0.11,0.525,0.0,0.11,0.7,0.0,0.0,0.44,BRA2,Testing,2024,0.3191430108698967,0.3133012888107516,0.3033848099644326
6,Felipe Augusto,Operário PR,Operário PR,"RAMF, RWF, CF",RAMF,10,32,100000,2024-11-15,21,1399,Brazil,Brazil,right,183,82,no,0.322248,1.99652,1.675504,2.95872,1.868295,0.22,0.8352499999999999,5.0,0.16,2.06,0.06,0.063327,0.39,BRA2,Testing,2024,0.183756594196721,0.2457897577107098,0.2000312190190251
7,Rómulo Otero,Santos,Santos,"RW, RAMF, LW",RW,10,31,800000,2024-12-31,33,2070,Venezuela,Venezuela,right,166,70,no,0.9589699999999999,5.174298,3.480999,5.520984000000001,2.696512,0.13,1.087156,4.545,0.15,1.48,0.173342,0.130896,0.35,BRA2,Testing,2024,0.6008275034331287,0.6646052184064062,0.6258209271109272
8,Wellington Silva,Sport Recife,Sport Recife,"LW, LAMF, CF",LW,10,31,400000,2024-12-31,17,897,Brazil,"Brazil, Spain",right,170,64,yes,0.7,3.312,2.106484,3.109158,1.704642,0.15,0.402717,13.333,0.14,0.7,0.1,0.0,0.3,BRA2,Testing,2024,0.191556466688201,0.2124052140510986,0.18699871835845
9,Pedro Castro,Avaí,Avaí,"RW, RCMF",RW,10,31,400000,2024-11-30,24,1859,Brazil,Brazil,right,180,79,no,1.30901,7.116469,3.534492,2.08296,0.582164,0.11,0.29,8.333,0.1,1.07,0.095,0.0975,0.19,BRA2,Testing,2024,0.3198393799405916,0.3446780389969553,0.319722442180042
10,Mike,CRB,CRB,"RAMF, RW, CF",RAMF,10,31,500000,2024-12-31,26,1035,Brazil,Brazil,left,174,67,no,0.606684,3.303216,1.913913,4.261,1.477224,0.25,0.696,5.0,0.1,0.96,0.0,0.0,0.17,BRA2,Testing,2024,0.2407714432737085,0.2307352835385662,0.2214052914107205
11,Iago Dias,Ponte Preta,Ponte Preta,"LAMF, CF, LW",LAMF,10,31,300000,2024-11-30,28,1620,Brazil,Brazil,right,175,74,no,0.814045,2.792292999999999,1.746,3.601488,2.150148,0.12,0.290625,12.5,0.07,0.52,0.0,0.113339,0.41,BRA2,Testing,2024,0.2310567434481612,0.2531268536717898,0.2278627252222837
12,William Pottker,Avaí,Avaí,"RW, RAMF, CF",RW,10,30,900000,2025-12-31,19,838,Brazil,Brazil,left,182,93,no,0.645,3.21948,2.359246,5.477817,4.186,0.14,0.8611980000000001,0.0,0.03,0.43,0.11,0.216,0.32,BRA2,Testing,2024,0.5530030029423144,0.5696896108052956,0.5531109618049921
13,Pablo Dyego,Grêmio Novorizontino,Grêmio Novorizontino,"RW, RWF, LWF",RW,10,30,300000,2024-12-31,15,783,Brazil,Brazil,right,174,66,no,0.917276,2.527168,1.376888,2.760023,1.49179,0.16,0.69,8.333,0.07,0.8,0.0,0.23,0.23,BRA2,Testing,2024,0.1259569342965068,0.1581946978466151,0.1259690288536591
14,Paulinho Moccelin,Brusque,Brusque,"LW, CF",LW,10,30,350000,2025-12-31,29,1859,Brazil,Brazil,right,169,62,no,0.88371,3.57408,3.867336,3.134231999999999,1.76436,0.05,0.196,5.0,0.23,1.96,0.194276,0.196647,0.78,BRA2,Testing,2024,0.4273198570993403,0.4902279149092659,0.4486128321277432
15,Neto Pessôa,Grêmio Novorizontino,Grêmio Novorizontino,"LW, LWF, CF",LW,10,30,250000,2024-12-31,33,2274,Brazil,Brazil,left,182,79,no,0.516001,1.7424,1.542996,1.740008,0.476133,0.19,0.59375,14.583,0.09,0.55,0.120008,0.159984,0.4,BRA2,Testing,2024,0.0,0.03961615192364665,0.001405817290320941
16,Douglas Baggio,Botafogo SP,Botafogo SP,"RW, LW, RWF",RW,10,29,750000,2024-11-30,32,2734,Brazil,Brazil,right,172,71,no,0.131422,4.248222,2.700757,6.585901,2.927826,0.14,0.5599439999999999,7.843,0.12,1.15,0.0975,0.096,0.33,BRA2,Testing,2024,0.5498308706303661,0.5803121358761156,0.5569060955361805
17,Maxwell,Operário PR,Operário PR,"LW, LAMF, LWF",LW,10,29,100000,2024-12-31,26,1848,Brazil,Brazil,right,180,68,no,0.253308,3.345507,3.095241,5.02425,2.383612,0.2,1.066032,9.615,0.08,1.07,0.05,0.05,0.3,BRA2,Testing,2024,0.4466738032368275,0.4305155838631149,0.4280547927249516
18,Éverton Brito,Ponte Preta,Ponte Preta,"RAMF, LAMF, RW",RAMF,10,29,200000,2024-12-31,16,1008,Brazil,Brazil,right,170,66,no,0.847923,5.738237000000001,3.758406,4.2306,1.224242,0.03,0.186648,0.0,0.07,0.85,0.095,0.095,0.38,BRA2,Testing,2024,0.4118779740057989,0.4161741832242412,0.4030249232171502
19,Guilherme,Santos,Santos,"LAMF, LW",LAMF,10,29,1000000,2026-12-31,28,2530,Brazil,Brazil,left,180,65,no,1.81197,4.800935999999999,4.7348,4.376268,2.457518,0.34,0.960458,11.392,0.16,1.53,0.073337,0.07,0.36,BRA2,Testing,2024,0.6446121750573034,0.7001321146637083,0.6662212142208941
20,Marcinho,Chapecoense,Chapecoense,"LAMF, LW",LAMF,10,29,50000,2025-12-31,30,2489,Brazil,Brazil,right,176,75,no,1.119102,3.396714,3.291022,3.869692000000001,1.735584,0.12,0.435,5.0,0.11,1.16,0.073337,0.10908,0.58,BRA2,Testing,2024,0.4201864706481546,0.4195592139692659,0.40898145486061
21,Victor Andrade,Botafogo SP,Botafogo SP,"LW, LWF, CF",LW,10,29,0,2024-12-31,13,1156,Brazil,Brazil,right,178,72,no,0.858,2.336178,2.650272000000001,10.507392,5.062587000000001,0.19,0.388683,9.091,0.18,1.4,0.0,0.07665899999999999,0.54,BRA2,Testing,2024,0.7952387908841163,0.9002022231153153,0.8448615907488946
22,F. Labandeira,CRB,CRB,"RW, RAMF, RWF",RW,10,28,500000,2024-12-31,20,1006,Uruguay,Uruguay,right,173,68,no,0.44744,4.296769,2.414064,2.504908,1.519518,0.2,0.356328,27.273,0.05,0.81,0.0,0.0,0.45,BRA2,Testing,2024,0.1691768022633381,0.1638071720015996,0.1508435924850541
23,Bruno Xavier,Ituano,Ituano,"RWF, RAMF, LW",RWF,11,27,50000,2024-12-31,25,1664,Brazil,Brazil,right,178,71,no,0.37695,2.491775,2.053548,1.18947,0.5955010000000001,0.22,0.7586879999999999,22.581,0.06,0.49,0.0,0.0,0.32,BRA2,Testing,2024,0.03685633060983386,0.0,0.0
24,Ronald,Operário PR,Operário PR,"RW, RAMF, RWF",RW,10,27,300000,2024-12-31,26,1408,Brazil,Brazil,left,162,60,no,0.41458,2.617083,2.20101,5.159988999999999,3.026514,0.13,0.275,18.75,0.16,1.24,0.136,0.14,0.62,BRA2,Testing,2024,0.4619376588058051,0.512062752391973,0.4773690765480552
25,Maurício Garcez,Avaí,Avaí,"LW, LAMF, RW",LW,10,27,1000000,2027-12-31,30,2493,Brazil,Brazil,right,183,71,no,0.327879,2.1651,1.370404,3.031236,1.879699,0.16,0.47022,6.383,0.05,0.83,0.035725,0.035725,0.18,BRA2,Testing,2024,0.1496253533158141,0.1348135287146006,0.1261153502318505
26,Fabrício Daniel,Grêmio Novorizontino,Grêmio Novorizontino,"RW, CF, RWF",RW,10,27,600000,2024-12-31,21,1166,Brazil,Brazil,left,182,80,yes,0.539,4.245299999999999,2.9336,5.86795,2.38946,0.17,0.925169,9.677,0.07,0.93,0.07668200000000001,0.077166,0.23,BRA2,Testing,2024,0.4820703541272177,0.4945642186795157,0.478710884409613
27,Dentinho,Brusque,Brusque,"RW, LW, LAMF",RW,10,27,0,,23,1696,Brazil,Brazil,left,183,75,no,0.583526,4.403284,2.070992,3.979284,2.01875,0.11,0.68832,2.941,0.02,0.74,0.0525,0.0525,0.11,BRA2,Testing,2024,0.2675379675103428,0.2878775989793267,0.2641473693267297
28,Fernandinho,Mirassol,Mirassol,"LW, LWF, LAMF",LW,10,27,400000,2024-11-30,30,2318,Brazil,Brazil,right,175,70,no,0.36,2.352999,2.271369,7.574175,4.662272000000001,0.12,0.5561269999999999,11.111,0.17,0.96,0.0,0.08,0.72,BRA2,Testing,2024,0.6843778382162292,0.7473871580150853,0.7105484368623908
29,Marlon,Guarani,Guarani,"LW, CF",LW,10,27,350000,2025-06-30,20,801,Brazil,Brazil,right,175,69,yes,0.7891360000000001,3.485621000000001,2.694216,4.380034999999999,1.4612,0.15,0.560647,7.143,0.07,0.9,0.225,0.226678,0.22,BRA2,Testing,2024,0.3133425420881,0.3371033630518627,0.312554595008696
30,B. Borasi,Paysandu,Paysandu,"LAMF, RAMF, LW",LAMF,10,26,0,2025-06-30,13,1032,Argentina,Argentina,right,171,61,yes,0.6971080000000001,3.403584,2.00498,4.011392,2.093438,0.18,0.435268,11.765,0.02,0.44,0.0,0.0,0.17,BRA2,Testing,2024,0.2465976485882577,0.2503096888462423,0.2343440340092771
31,Matheus Serafim,Amazonas,Amazonas,"LW, RW, LAMF",LW,10,26,0,2026-12-31,32,2848,Brazil,Brazil,right,178,70,no,0.91408,2.973675000000001,2.748936,6.697319999999999,4.043584,0.19,0.949905,7.576,0.1,0.88,0.060003,0.09,0.35,BRA2,Testing,2024,0.6396518689064565,0.6985528366564187,0.6628900346133577
32,Paulinho Bóia,Paysandu,Paysandu,"LAMF, RAMF, RW",LAMF,10,26,700000,2024-12-31,14,821,Brazil,Brazil,right,171,64,no,0.9854999999999999,4.496002999999999,3.07125,7.124579000000001,3.838114,0.2,0.9854999999999999,15.0,0.05,0.88,0.0,0.0,0.22,BRA2,Testing,2024,0.7093013808518923,0.686164784968613,0.6920582820271692
33,Leozinho,Ituano,Ituano,"RW, RAMF, RWF",RW,10,25,0,,27,1258,Brazil,Brazil,left,173,60,no,1.430712,4.93644,3.8664,5.292920000000001,3.93666,0.27,0.4285,2.857,0.02,0.86,0.288,0.213312,0.14,BRA2,Testing,2024,0.7266237992478981,0.746036600928998,0.7313800268184563
34,Airton,Guarani,Guarani,"LW, RAMF, LAMF",LW,10,25,350000,2024-12-31,20,1498,Brazil,Brazil,right,178,75,yes,0.24003,2.280096,1.020096,5.224209000000001,3.965649,0.23,0.78,7.5,0.07,0.66,0.0,0.0,0.18,BRA2,Testing,2024,0.4842308959784443,0.424225620815272,0.4439818642792647
35,Alesson,Vila Nova,Vila Nova,"LW, LAMF, LWF",LW,10,25,550000,2025-12-31,32,3174,Brazil,Brazil,right,173,68,no,0.71,2.922156,2.69584,4.111272,1.50234,0.33,0.8508199999999999,11.94,0.12,1.22,0.170755,0.196875,0.51,BRA2,Testing,2024,0.3372868321716579,0.3772053774357131,0.3451789543289203
36,João Victor,Guarani,Guarani,"RW, LW, RAMF",RW,10,25,350000,2024-12-31,30,2379,Brazil,Brazil,right,177,70,no,0.754248,4.920738000000001,3.366711999999999,3.592127,2.574716,0.15,1.0962,6.0,0.05,0.91,0.1125,0.04,0.3,BRA2,Testing,2024,0.385638184116136,0.4449300642347057,0.4043065874987986
