Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Passes_Longos_Certos,Passes_Progressivos_Certos,Pisadas_Área,Dribles_BemSucedidos,Corridas_Progressivas,xG,xA,Assistência_Finalização,Passes_TerçoFinal_Certos,Deep_Completions,Passes_ÁreaPênalti_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
25,Boschilia,Operário PR,Operário PR,"RCMF, AMF, LCMF",RCMF,8,28,800000,2024-12-31,13,926,Brazil,"Brazil, Italy",left,173,73,no,5.6,3.90904,1.268508,4.966121999999999,0.11,0.210888,1.27,0.13,0.02,0.85,6.340456000000001,0.32,0.422836,BRA2,Testing,2024,0.4815484497440122,0.4802052374959672,0.4808768436199898
26,Zé Ricardo,Avaí,Avaí,"RCMF, LCMF",RCMF,8,28,1000000,2024-12-31,24,1907,Brazil,Brazil,right,176,74,no,9.2,4.43764,2.876673,3.633,0.09,0.3325,0.9,0.01,0.1,0.52,4.813574,0.33,0.521347,BRA2,Testing,2024,0.4473029047115168,0.4623386833309594,0.4548207940212382
27,S. Gómez,Coritiba,Coritiba,"LCMF, LDMF, RCMF",LCMF,8,28,1500000,2026-12-31,28,2394,Colombia,Colombia,left,172,72,no,9.44,5.261746,1.0528,4.433654000000001,0.64,0.6374550000000001,1.32,0.04,0.04,0.9,5.642226000000001,0.34,0.45,BRA2,Testing,2024,0.5599086978613519,0.557857001986002,0.558882849923677
28,Gustavo Bochecha,Botafogo SP,Botafogo SP,"LCMF, RCMF",LCMF,8,28,500000,2025-04-30,32,2056,Brazil,Brazil,left,173,73,no,6.57,3.284063999999999,2.32208,4.33104,1.18,0.5242279999999999,0.61,0.06,0.06,0.79,4.379595,0.61,0.8301299999999999,BRA2,Testing,2024,0.444609557186189,0.4220004850681809,0.433305021127185
29,Eduardo,Grêmio Novorizontino,Grêmio Novorizontino,RCMF,RCMF,8,27,400000,2024-12-31,27,2114,Brazil,Brazil,right,178,76,no,8.56,5.318236000000001,1.233604,3.83057,0.47,0.8533760000000001,0.6,0.02,0.05,0.68,3.105648,0.21,0.426624,BRA2,Testing,2024,0.4439583810268466,0.4128673465557854,0.428412863791316
30,Gabriel Bispo,Guarani,Guarani,"RCMF, RDMF",RCMF,8,27,300000,2024-11-30,18,1445,Brazil,Brazil,right,177,77,no,10.84,5.791002,1.308312,3.67732,0.69,0.246679,0.25,0.05,0.01,0.37,3.922146,0.25,0.311526,BRA2,Testing,2024,0.4410013381156345,0.4554146953746683,0.4482080167451514
31,Ramon,Ponte Preta,Ponte Preta,"LCMF, LDMF, LAMF",LCMF,8,27,300000,2024-12-31,21,1130,Brazil,Brazil,left,174,69,no,5.57,3.159678,2.078448,6.408444,0.83,0.75,1.16,0.1,0.03,0.42,5.743212,0.67,1.0816,BRA2,Testing,2024,0.7392664662624632,0.6732988743519845,0.7062826703072239
32,Everton Morelli,Coritiba,Coritiba,"RCMF, RDMF",RCMF,8,26,400000,2024-12-31,26,1776,Brazil,Brazil,right,185,73,yes,9.93,5.878938000000001,1.316958,3.241702,1.32,0.4543160000000001,1.17,0.08,0.04,0.35,3.853998000000001,0.2,0.4545,BRA2,Testing,2024,0.4312747470398263,0.443996897002779,0.4376358220213027
33,F. Domínguez,Sport Recife,Sport Recife,"RCMF, AMF, RDMF",RCMF,8,26,600000,2024-12-31,29,2624,Uruguay,"Uruguay, Spain",right,177,69,yes,9.02,4.559009,1.164126,2.914344,2.2,1.099206,1.17,0.18,0.05,0.45,2.535952,0.75,0.893403,BRA2,Testing,2024,0.3440356819307031,0.375149128097766,0.3595924050142346
34,José Aldo,Ituano,Ituano,"LCMF, AMF",LCMF,8,26,50000,2025-11-30,26,2090,Brazil,Brazil,right,175,70,no,10.55,4.823621999999999,2.715948,5.341728,0.78,0.861504,0.9,0.1,0.06,0.99,5.165802,0.43,0.8175149999999999,BRA2,Testing,2024,0.7068195994872867,0.6640769077386406,0.6854482536129637
