Unnamed: 0,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Passes_Progressivos_Certos,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Ações_Defensivas_BemSucedidas_LM,Duelos_Defensivos_Ganhos_LM,Duelos_Aéreos_Ganhos_LM,Passes_Progressivos_Certos_LM,Ações_Defensivas_BemSucedidas_Rank,Duelos_Defensivos_Ganhos_Rank,Duelos_Aéreos_Ganhos_Rank,Passes_Progressivos_Certos_Rank,Ações_Defensivas_BemSucedidas_Percentil,Duelos_Defensivos_Ganhos_Percentil,Duelos_Aéreos_Ganhos_Percentil,Passes_Progressivos_Certos_Percentil
0,0.799724,0.602756,0.361065,0.864146,1.0,João Schmidt,Santos,Santos,"LDMF, LCMF, DMF",LDMF,7,31,1000000,2024-12-31,30,2873,Brazil,Brazil,left,183,80,no,BRA2,Testing,2024,Primeiro Volante Defensivo,1.0,1,32,96,0.461542,0.450809,0.196787,0.396703,2,6,3,2,93,81,90,93
1,1.0,1.0,0.25882,0.441244,0.961953,Falcão,CRB,CRB,"LDMF, DMF, LCMF",LDMF,7,26,100000,2026-12-31,32,2500,Brazil,Brazil,right,183,71,no,BRA2,Testing,2024,Primeiro Volante Defensivo,0.962,2,32,93,0.461542,0.450809,0.196787,0.396703,1,1,10,14,96,96,68,56
2,0.737569,0.480914,0.214113,0.862185,0.957574,Rodolfo Potiguar,Brusque,Brusque,"DMF, RCMF, RDMF",DMF,7,36,100000,2024-12-31,32,2679,Brazil,Brazil,right,179,70,no,BRA2,Testing,2024,Primeiro Volante Defensivo,0.958,3,32,90,0.461542,0.450809,0.196787,0.396703,7,13,14,3,78,59,56,90
3,0.606354,0.431779,0.179109,0.674193,0.80411,Neto Moura,Mirassol,Mirassol,"DMF, LCMF, LDMF",DMF,7,28,800000,2025-12-31,29,2062,Brazil,Brazil,right,177,70,yes,BRA2,Testing,2024,Primeiro Volante Defensivo,0.804,4,32,87,0.461542,0.450809,0.196787,0.396703,10,16,17,4,68,50,46,87
4,0.716851,0.571751,0.069111,0.471197,0.758789,Felipe Amaral,América Mineiro,América Mineiro,"RDMF, DMF, LDMF",RDMF,7,21,0,,21,934,Brazil,Brazil,right,174,72,no,BRA2,Testing,2024,Primeiro Volante Defensivo,0.759,5,32,84,0.461542,0.450809,0.196787,0.396703,9,7,24,11,71,78,25,65
5,0.76105,0.70519,1.0,0.094992,0.735212,Jacy,Operário PR,Operário PR,"DMF, RDMF, RCMF",DMF,7,27,100000,2025-12-31,26,1811,Brazil,Brazil,right,192,83,no,BRA2,Testing,2024,Primeiro Volante Defensivo,0.735,6,32,81,0.461542,0.450809,0.196787,0.396703,5,4,1,26,84,87,96,18
6,0.723757,0.625692,0.299145,0.37684,0.731452,Emerson Santos,Ponte Preta,Ponte Preta,"LDMF, DMF, LCMF",LDMF,7,32,200000,2024-12-31,29,2002,Brazil,Brazil,right,180,77,no,BRA2,Testing,2024,Primeiro Volante Defensivo,0.731,7,32,78,0.461542,0.450809,0.196787,0.396703,8,5,5,19,75,84,84,40
7,0.364641,0.379153,0.103621,1.0,0.681077,Val Soares,Paysandu,Paysandu,"LDMF, AMF, LCMF",LDMF,7,27,225000,2025-06-30,18,1063,Brazil,Brazil,right,176,69,yes,BRA2,Testing,2024,Primeiro Volante Defensivo,0.681,8,32,75,0.461542,0.450809,0.196787,0.396703,19,21,19,1,40,34,40,96
8,0.756906,0.74081,0.214155,0.258527,0.668217,Paulinho,Brusque,Brusque,"LDMF, LCMF",LDMF,7,26,0,2024-12-31,10,809,Brazil,Brazil,unknown,0,0,yes,BRA2,Testing,2024,Primeiro Volante Defensivo,0.668,9,32,71,0.461542,0.450809,0.196787,0.396703,6,3,13,23,81,90,59,28
9,0.790055,0.941984,0.028064,0.090208,0.624632,Vini Paulista,Coritiba,Coritiba,"LDMF, LW, RDMF",LDMF,7,23,500000,2025-12-31,26,1702,Brazil,Brazil,right,179,71,no,BRA2,Testing,2024,Primeiro Volante Defensivo,0.625,10,32,68,0.461542,0.450809,0.196787,0.396703,3,2,30,27,90,93,6,15
