Unnamed: 0,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Passes_Progressivos_Certos,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Ações_Defensivas_BemSucedidas_LM,Duelos_Defensivos_Ganhos_LM,Duelos_Aéreos_Ganhos_LM,Passes_Progressivos_Certos_LM,Ações_Defensivas_BemSucedidas_Rank,Duelos_Defensivos_Ganhos_Rank,Duelos_Aéreos_Ganhos_Rank,Passes_Progressivos_Certos_Rank,Ações_Defensivas_BemSucedidas_Percentil,Duelos_Defensivos_Ganhos_Percentil,Duelos_Aéreos_Ganhos_Percentil,Passes_Progressivos_Certos_Percentil
10,0.429558,0.419068,0.259948,0.491204,0.56131,Arilson,Vila Nova,Vila Nova,"LDMF, LCMF",LDMF,7,30,450000,2024-12-31,15,975,Brazil,Brazil,right,180,82,no,BRA2,Testing,2024,Primeiro Volante Defensivo,0.561,11,32,65,0.461542,0.450809,0.196787,0.396703,16,19,8,8,50,40,75,75
11,0.468232,0.48195,0.58523,0.254805,0.550616,Castro,Ponte Preta,Ponte Preta,"RDMF, LCB, RCMF",RDMF,7,29,0,,23,2196,Brazil,Brazil,right,191,81,no,BRA2,Testing,2024,Primeiro Volante Defensivo,0.551,12,32,62,0.461542,0.450809,0.196787,0.396703,13,12,2,24,59,62,93,25
12,0.407459,0.495449,0.056754,0.570019,0.545167,Alê,América Mineiro,América Mineiro,"DMF, RDMF, LDMF",DMF,7,34,300000,2025-12-31,31,2892,Brazil,Brazil,right,184,74,no,BRA2,Testing,2024,Primeiro Volante Defensivo,0.545,13,32,59,0.461542,0.450809,0.196787,0.396703,18,11,26,6,43,65,18,81
13,0.774862,0.520983,0.082677,0.07867,0.517268,Rodrigo,Ituano,Ituano,"DMF, LDMF, LCMF",DMF,7,30,0,2024-12-31,29,2371,Brazil,Brazil,right,176,70,no,BRA2,Testing,2024,Primeiro Volante Defensivo,0.517,14,32,56,0.461542,0.450809,0.196787,0.396703,4,9,22,29,87,71,31,9
14,0.417127,0.540091,0.142557,0.455086,0.502969,João Pedro,CRB,CRB,"RDMF, RCMF, LDMF",RDMF,7,25,50000,2024-12-31,28,2420,Brazil,Brazil,right,185,72,no,BRA2,Testing,2024,Primeiro Volante Defensivo,0.503,15,32,53,0.461542,0.450809,0.196787,0.396703,17,8,18,13,46,75,43,59
15,0.453039,0.298522,0.259703,0.440522,0.495456,Rômulo,CRB,CRB,"LDMF, RDMF, DMF",LDMF,7,28,450000,2024-12-31,22,921,Brazil,Brazil,right,182,80,no,BRA2,Testing,2024,Primeiro Volante Defensivo,0.495,16,32,50,0.461542,0.450809,0.196787,0.396703,15,26,9,15,53,18,71,53
16,0.291436,0.352851,0.183195,0.61587,0.485963,Felipe,Sport Recife,Sport Recife,"DMF, LCMF, RDMF",DMF,7,30,900000,2024-12-31,29,2761,Brazil,Brazil,right,184,84,no,BRA2,Testing,2024,Primeiro Volante Defensivo,0.486,17,32,46,0.461542,0.450809,0.196787,0.396703,24,22,16,5,25,31,50,84
17,0.53453,0.453759,0.276357,0.297432,0.480227,Vinicius Diniz,Operário PR,Operário PR,"RDMF, RCMF, LCMF",RDMF,7,25,100000,2025-12-31,26,1639,Brazil,Brazil,right,190,82,no,BRA2,Testing,2024,Primeiro Volante Defensivo,0.48,18,32,43,0.461542,0.450809,0.196787,0.396703,11,14,6,22,65,56,81,31
18,0.320442,0.345058,0.262014,0.42415,0.390926,Tárik,Chapecoense,Chapecoense,"LDMF, LCMF, RCMF",LDMF,7,31,50000,2024-12-31,24,1617,Brazil,"Brazil, Italy",right,183,72,no,BRA2,Testing,2024,Primeiro Volante Defensivo,0.391,19,32,40,0.461542,0.450809,0.196787,0.396703,20,23,7,17,37,28,78,46
19,0.530387,0.383666,0.358769,0.007934,0.355415,Auremir,Chapecoense,Chapecoense,"DMF, RDMF, LCMF",DMF,7,33,300000,2025-12-31,15,849,Brazil,Brazil,right,174,64,no,BRA2,Testing,2024,Primeiro Volante Defensivo,0.355,20,32,37,0.461542,0.450809,0.196787,0.396703,12,20,4,31,62,37,87,3
20,0.259669,0.452875,0.056862,0.486317,0.343978,Netinho,Paysandu,Paysandu,"RDMF, RCMF, LDMF",RDMF,7,26,0,,24,883,Brazil,Brazil,right,180,76,no,BRA2,Testing,2024,Primeiro Volante Defensivo,0.344,21,32,34,0.461542,0.450809,0.196787,0.396703,27,15,25,10,15,53,21,68
21,0.176796,0.273794,0.185497,0.563632,0.343279,Moisés,América Mineiro,América Mineiro,"LDMF, LCMF",LDMF,7,36,250000,2024-12-31,28,1368,Brazil,Brazil,right,184,76,no,BRA2,Testing,2024,Primeiro Volante Defensivo,0.343,22,32,31,0.461542,0.450809,0.196787,0.396703,30,28,15,7,6,12,53,78
22,0.291436,0.228842,0.229101,0.439609,0.333939,Índio,Operário PR,Operário PR,"LDMF, LCMF",LDMF,7,32,100000,2024-12-31,23,1426,Brazil,Brazil,left,185,82,no,BRA2,Testing,2024,Primeiro Volante Defensivo,0.334,23,32,28,0.461542,0.450809,0.196787,0.396703,24,30,12,16,25,6,62,50
23,0.251381,0.422172,0.0,0.490232,0.332198,João Vieira,Paysandu,Paysandu,"RDMF, LDMF, LCMF",RDMF,7,26,100000,2024-11-30,31,3011,Brazil,Brazil,right,173,68,no,BRA2,Testing,2024,Primeiro Volante Defensivo,0.332,24,32,25,0.461542,0.450809,0.196787,0.396703,28,18,32,9,12,43,0,71
24,0.291436,0.301515,0.043117,0.400854,0.247149,Neto Paraíba,Operário PR,Operário PR,"RDMF, LDMF, RCMF",RDMF,7,32,50000,2024-12-31,16,842,Brazil,Brazil,right,179,74,no,BRA2,Testing,2024,Primeiro Volante Defensivo,0.247,25,32,21,0.461542,0.450809,0.196787,0.396703,24,25,28,18,25,21,12,43
25,0.30663,0.27654,0.056153,0.357203,0.232093,Emerson Santos,Ponte Preta,Ponte Preta,"LDMF, RCMF",LDMF,7,29,500000,2025-04-30,23,1457,Brazil,Brazil,right,184,75,no,BRA2,Testing,2024,Primeiro Volante Defensivo,0.232,26,32,18,0.461542,0.450809,0.196787,0.396703,21,27,27,21,34,15,15,34
26,0.459945,0.427945,0.028371,0.084579,0.222784,Dudu Vieira,Juventude,Ponte Preta,"RDMF, RB, RCMF",RDMF,7,30,200000,2025-12-31,14,1084,Brazil,Brazil,right,175,75,no,BRA2,Testing,2024,Primeiro Volante Defensivo,0.223,27,32,15,0.461542,0.450809,0.196787,0.396703,14,17,29,28,56,46,9,12
27,0.191989,0.192886,0.237072,0.357426,0.185362,Lourenço,Ceará,Ceará,"RDMF, RCMF, LCMF",RDMF,7,27,1000000,2025-12-31,27,2314,Brazil,Brazil,right,169,65,no,BRA2,Testing,2024,Primeiro Volante Defensivo,0.185,28,32,12,0.461542,0.450809,0.196787,0.396703,29,31,11,20,9,3,65,37
28,0.0,0.0,0.078229,0.457824,0.130647,Gabriel,Mirassol,Mirassol,"DMF, LCMF, CF",DMF,7,34,350000,2025-12-31,30,2386,Brazil,Brazil,right,178,67,no,BRA2,Testing,2024,Primeiro Volante Defensivo,0.131,29,32,9,0.461542,0.450809,0.196787,0.396703,32,32,23,12,0,0,28,62
29,0.274862,0.49785,0.002533,0.056959,0.070931,Foguinho,Chapecoense,Chapecoense,"RDMF, RCMF",RDMF,7,32,300000,2024-12-31,28,2335,Brazil,Brazil,right,180,75,no,BRA2,Testing,2024,Primeiro Volante Defensivo,0.071,30,32,6,0.461542,0.450809,0.196787,0.396703,26,10,31,30,18,68,3,6
30,0.088398,0.265673,0.084998,0.230654,0.009981,Guilherme Xavier,Amazonas,Amazonas,"DMF, LCMF",DMF,7,29,100000,2024-12-31,12,853,Brazil,Brazil,left,170,73,no,BRA2,Testing,2024,Primeiro Volante Defensivo,0.01,31,32,3,0.461542,0.450809,0.196787,0.396703,31,29,21,25,3,9,34,21
31,0.292818,0.314377,0.10086,0.0,0.0,João Costa,Botafogo SP U20,Botafogo SP,"DMF, RCMF, LCMF",DMF,7,19,0,,28,2050,Brazil,Brazil,right,0,0,no,BRA2,Testing,2024,Primeiro Volante Defensivo,0.0,32,32,0,0.461542,0.450809,0.196787,0.396703,22,24,20,32,31,25,37,0
