Unnamed: 0,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Finalizações_Bloqueadas,Interceptações_Ajustadas_a_Posse,Passes_Longos_Certos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Passes_Laterais_Certos,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,Corridas_Progressivas,Passes_TerçoFinal_Certos,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Ações_Defensivas_BemSucedidas_LM,Duelos_Defensivos_Ganhos_LM,Duelos_Aéreos_Ganhos_LM,Finalizações_Bloqueadas_LM,Interceptações_Ajustadas_a_Posse_LM,Passes_Longos_Certos_LM,Passes_Frontais_Certos_LM,Passes_Progressivos_Certos_LM,Passes_Laterais_Certos_LM,Duelos_Ofensivos_Ganhos_LM,Dribles_BemSucedidos_LM,Corridas_Progressivas_LM,Passes_TerçoFinal_Certos_LM,Ações_Defensivas_BemSucedidas_Rank,Duelos_Defensivos_Ganhos_Rank,Duelos_Aéreos_Ganhos_Rank,Finalizações_Bloqueadas_Rank,Interceptações_Ajustadas_a_Posse_Rank,Passes_Longos_Certos_Rank,Passes_Frontais_Certos_Rank,Passes_Progressivos_Certos_Rank,Passes_Laterais_Certos_Rank,Duelos_Ofensivos_Ganhos_Rank,Dribles_BemSucedidos_Rank,Corridas_Progressivas_Rank,Passes_TerçoFinal_Certos_Rank,Ações_Defensivas_BemSucedidas_Percentil,Duelos_Defensivos_Ganhos_Percentil,Duelos_Aéreos_Ganhos_Percentil,Finalizações_Bloqueadas_Percentil,Interceptações_Ajustadas_a_Posse_Percentil,Passes_Longos_Certos_Percentil,Passes_Frontais_Certos_Percentil,Passes_Progressivos_Certos_Percentil,Passes_Laterais_Certos_Percentil,Duelos_Ofensivos_Ganhos_Percentil,Dribles_BemSucedidos_Percentil,Corridas_Progressivas_Percentil,Passes_TerçoFinal_Certos_Percentil
55,0.011132,0.019193,0.537344,0.115702,0.384321,0.453992,0.689454,0.585794,0.772314,0.097299,0.076312,1.0,0.554839,0.529854,Alemão,Operário PR,Operário PR,RCB,RCB,4,33,100000,2024-12-31,14,1215,Brazil,Brazil,right,186,76,no,BRA2,Testing,2024,Zagueiro Equilibrado,0.53,56,74,24,0.472121,0.379349,0.435384,0.372459,0.501292,0.477433,0.478591,0.476305,0.556554,0.222126,0.208823,0.363382,0.485257,73.0,72,23,69.5,50.5,41,14,26,14,56,58.5,1.5,29,1,2,68,6,31,44,81,64,81,24,20,97,60
56,0.554731,0.508418,0.422689,0.545455,0.434034,0.313416,0.240031,0.21634,0.441259,0.207373,0.162807,0.084388,0.23027,0.52341,Matheus Salustiano,Guarani,Guarani,"LCB, RCB",LCB,4,31,100000,2024-11-30,23,2291,Brazil,Brazil,right,183,76,no,BRA2,Testing,2024,Zagueiro Equilibrado,0.523,57,74,22,0.472121,0.379349,0.435384,0.372459,0.501292,0.477433,0.478591,0.476305,0.556554,0.222126,0.208823,0.363382,0.485257,26.0,21,36,12.5,43.0,54,64,68,49,32,36.0,67.0,62,64,71,51,83,41,27,13,8,33,56,51,9,16
57,0.380334,0.348627,0.32975,0.07438,0.357553,0.27423,0.440289,0.387087,0.508872,0.271467,0.312047,0.556962,0.466504,0.514116,Matheus Costa,Botafogo SP,Botafogo SP,"RCB, LCB",RCB,4,29,300000,2025-12-31,21,1775,Brazil,"Brazil, Portugal",right,188,82,no,BRA2,Testing,2024,Zagueiro Equilibrado,0.514,58,74,21,0.472121,0.379349,0.435384,0.372459,0.501292,0.477433,0.478591,0.476305,0.556554,0.222126,0.208823,0.363382,0.485257,43.0,38,52,72.0,57.5,57,44,47,40,19,15.0,17.0,39,41,48,29,2,22,22,40,36,45,74,79,77,47
58,0.200371,0.225873,0.234707,0.132231,0.227533,0.552992,0.531163,0.706202,0.556041,0.117088,0.058506,0.160338,0.592758,0.505715,Bruno Melo,Coritiba,Coritiba,"LCB, LB",LCB,4,32,400000,2024-12-31,31,3077,Brazil,Brazil,left,186,78,yes,BRA2,Testing,2024,Zagueiro Equilibrado,0.506,59,74,20,0.472121,0.379349,0.435384,0.372459,0.501292,0.477433,0.478591,0.476305,0.556554,0.222126,0.208823,0.363382,0.485257,65.5,58,64,68.0,69.0,26,33,11,35,53,64.0,57.0,22,11,21,13,8,6,64,55,85,52,28,13,22,70
59,0.235622,0.566165,0.213615,0.38843,0.0,0.585526,0.317785,0.462253,0.503607,0.53808,0.449854,0.57384,0.520669,0.498476,Lucas Ribeiro,Goiás,Goiás,"LCB, RCB",LCB,4,25,1000000,2024-12-31,27,2545,Brazil,Brazil,right,190,80,no,BRA2,Testing,2024,Zagueiro Equilibrado,0.498,60,74,18,0.472121,0.379349,0.435384,0.372459,0.501292,0.477433,0.478591,0.476305,0.556554,0.222126,0.208823,0.363382,0.485257,61.0,16,66,33.5,74.0,25,59,35,42,4,8.0,13.5,35,17,78,10,54,0,66,20,52,43,94,89,81,52
60,0.209647,0.146209,0.593589,0.528926,0.365201,0.198888,0.789898,0.388489,0.720031,0.076159,0.081399,0.405063,0.380717,0.43132,Lucão,América Mineiro,América Mineiro,LCB,LCB,4,28,400000,2025-12-31,12,1126,Brazil,Brazil,right,187,80,no,BRA2,Testing,2024,Zagueiro Equilibrado,0.431,61,74,17,0.472121,0.379349,0.435384,0.372459,0.501292,0.477433,0.478591,0.476305,0.556554,0.222126,0.208823,0.363382,0.485257,62.0,64,15,16.5,55.0,63,5,46,18,64,56.0,28.5,50,16,13,79,77,25,14,93,37,75,13,24,61,32
61,0.293135,0.351335,0.85642,0.247934,0.357553,0.371471,0.179251,0.403308,0.390934,0.081345,0.050875,0.151899,0.444447,0.431152,Messias,Goiás,Goiás,RCB,RCB,4,29,600000,2025-12-31,19,1866,Brazil,Brazil,right,192,92,yes,BRA2,Testing,2024,Zagueiro Equilibrado,0.431,62,74,16,0.472121,0.379349,0.435384,0.372459,0.501292,0.477433,0.478591,0.476305,0.556554,0.222126,0.208823,0.363382,0.485257,53.0,37,2,55.0,57.5,46,70,44,57,61,66.5,58.5,43,28,50,97,25,22,37,5,40,22,17,10,20,41
62,0.311688,0.243925,0.053481,0.413223,0.546845,0.223834,0.325153,0.303084,0.604498,0.254592,0.28345,0.417722,0.450689,0.4077,Joseph,Operário PR,Operário PR,"RCB, LCB",RCB,4,29,100000,2025-11-30,18,1729,Brazil,Brazil,right,186,79,no,BRA2,Testing,2024,Zagueiro Equilibrado,0.408,63,74,14,0.472121,0.379349,0.435384,0.372459,0.501292,0.477433,0.478591,0.476305,0.556554,0.222126,0.208823,0.363382,0.485257,51.0,53,73,27.5,26.5,61,57,60,28,22,18.0,25.0,42,31,28,1,62,64,17,22,18,62,70,75,66,43
63,0.339518,0.228301,0.420862,0.165289,0.512428,0.174004,0.325494,0.35411,0.457402,0.076164,0.122099,0.075949,0.200819,0.375132,J. Quintero,,Vila Nova,RCB,RCB,4,29,700000,,19,1497,Colombia,Colombia,right,184,79,no,BRA2,Testing,2024,Zagueiro Equilibrado,0.375,64,74,13,0.472121,0.379349,0.435384,0.372459,0.501292,0.477433,0.478591,0.476305,0.556554,0.222126,0.208823,0.363382,0.485257,47.5,55,37,65.0,31.0,64,56,54,47,63,45.0,68.0,66,35,25,50,12,58,13,24,27,36,14,39,8,10
64,0.144712,0.079985,0.368275,0.404959,0.340344,0.419045,0.618107,0.421228,1.0,0.053725,0.091574,0.413502,0.314487,0.362344,João Victor,Mirassol,Mirassol,"RCB, LCB",RCB,4,27,250000,2026-12-31,32,3125,Brazil,Brazil,right,188,80,yes,BRA2,Testing,2024,Zagueiro Equilibrado,0.362,65,74,12,0.472121,0.379349,0.435384,0.372459,0.501292,0.477433,0.478591,0.476305,0.556554,0.222126,0.208823,0.363382,0.485257,69.0,71,46,29.0,60.0,45,18,41,1,72,51.0,26.5,58,6,4,37,60,18,39,75,44,98,2,31,64,21
65,0.315399,0.147836,0.324918,0.396694,0.539197,0.523007,0.23747,0.23731,0.480476,0.209191,0.137362,0.42616,0.227472,0.327213,Benevenuto,Coritiba,Coritiba,"LCB, RCB",LCB,4,28,2000000,2026-12-31,22,1962,Brazil,Brazil,right,181,78,yes,BRA2,Testing,2024,Zagueiro Equilibrado,0.327,66,74,10,0.472121,0.379349,0.435384,0.372459,0.501292,0.477433,0.478591,0.476305,0.556554,0.222126,0.208823,0.363382,0.485257,50.0,62,53,30.5,28.0,30,65,66,45,31,42.0,23.5,63,32,16,28,58,62,59,12,10,39,58,43,68,14
66,0.0,0.012205,0.625862,0.264463,0.260038,0.510076,0.342184,0.356362,0.438286,0.136033,0.244198,0.0,0.366393,0.297226,Ramon Menezes,Ceará,Ceará,"RCB, LCB",RCB,4,29,400000,2025-12-31,15,1129,Brazil,Brazil,right,186,81,no,BRA2,Testing,2024,Zagueiro Equilibrado,0.297,67,74,9,0.472121,0.379349,0.435384,0.372459,0.501292,0.477433,0.478591,0.476305,0.556554,0.222126,0.208823,0.363382,0.485257,74.0,73,11,50.5,67.0,32,55,52,50,49,24.0,74.0,51,0,1,85,31,9,56,25,29,32,33,67,0,31
67,0.100186,0.271887,0.268817,0.206612,0.151052,0.26396,0.240045,0.344019,0.521439,0.070563,0.091574,0.383966,0.441435,0.269471,Matheus Felipe,Ceará,Ceará,"RCB, CB",RCB,4,25,1200000,2026-12-31,22,1983,Brazil,Brazil,right,186,84,yes,BRA2,Testing,2024,Zagueiro Equilibrado,0.269,68,74,8,0.472121,0.379349,0.435384,0.372459,0.501292,0.477433,0.478591,0.476305,0.556554,0.222126,0.208823,0.363382,0.485257,71.0,49,59,61.0,72.0,58,63,55,38,65,51.0,32.0,44,4,33,20,17,2,21,14,25,48,12,31,56,40
68,0.12987,0.14649,0.212012,0.033058,0.24283,0.356981,0.374737,0.29629,0.799603,0.060139,0.0,0.109705,0.172119,0.180975,Diogo Silva,Tianjin Tigers,Amazonas,LCB,LCB,4,29,200000,2024-11-30,14,1364,Brazil,Brazil,right,187,83,no,BRA2,Testing,2024,Zagueiro Equilibrado,0.181,69,74,6,0.472121,0.379349,0.435384,0.372459,0.501292,0.477433,0.478591,0.476305,0.556554,0.222126,0.208823,0.363382,0.485257,70.0,63,67,73.0,68.0,49,51,63,11,71,71.5,64.0,69,5,14,9,1,8,33,31,14,85,4,3,13,6
69,0.027829,0.298588,0.447492,0.22314,0.045889,0.094586,0.450672,0.268668,0.66281,0.13799,0.085469,0.025316,0.165919,0.170759,Gil,Santos,Santos,"LCB, RCB",LCB,4,37,300000,2024-12-31,31,3123,Brazil,Brazil,right,192,87,no,BRA2,Testing,2024,Zagueiro Equilibrado,0.171,70,74,5,0.472121,0.379349,0.435384,0.372459,0.501292,0.477433,0.478591,0.476305,0.556554,0.222126,0.208823,0.363382,0.485257,72.0,44,33,58.5,73.0,71,43,64,24,48,54.0,71.5,70,2,40,55,20,1,4,41,13,67,35,27,3,5
70,0.202226,0.254965,0.373903,0.22314,0.284895,0.0,0.248129,0.131265,0.402343,0.107334,0.329668,0.362869,0.111171,0.126414,Thalisson,Coritiba,Coritiba,RCB,RCB,4,22,300000,2025-12-31,11,833,Brazil,Brazil,right,190,79,no,BRA2,Testing,2024,Zagueiro Equilibrado,0.126,71,74,4,0.472121,0.379349,0.435384,0.372459,0.501292,0.477433,0.478591,0.476305,0.556554,0.222126,0.208823,0.363382,0.485257,64.0,52,44,58.5,66.0,74,62,72,55,54,12.0,36.5,72,13,29,40,20,10,0,16,2,25,27,83,50,2
71,0.29128,0.145451,0.499521,0.297521,0.372849,0.106738,0.058195,0.089409,0.488864,0.097774,0.07462,0.046414,0.092733,0.112954,Douglas Bacelar,Guarani,Guarani,RCB,RCB,4,34,100000,2024-11-30,25,2417,Brazil,Brazil,right,190,84,no,BRA2,Testing,2024,Zagueiro Equilibrado,0.113,72,74,2,0.472121,0.379349,0.435384,0.372459,0.501292,0.477433,0.478591,0.476305,0.556554,0.222126,0.208823,0.363382,0.485257,54.5,65,26,44.0,53.0,70,72,73,44,55,60.0,69.0,73,26,12,64,40,28,5,2,1,40,25,18,6,1
72,0.207792,0.260905,0.0,0.190083,0.152964,0.349441,0.097659,0.132692,0.362669,0.044871,0.081399,0.392405,0.202503,0.058437,Wálber,Nam Dinh,Ituano,"RCB, LCB",RCB,4,27,150000,2024-12-31,13,1156,Brazil,Brazil,right,186,80,no,BRA2,Testing,2024,Zagueiro Equilibrado,0.058,73,74,1,0.472121,0.379349,0.435384,0.372459,0.501292,0.477433,0.478591,0.476305,0.556554,0.222126,0.208823,0.363382,0.485257,63.0,51,74,63.0,71.0,51,71,71,61,73,56.0,30.5,65,14,31,0,14,4,31,4,4,17,1,24,58,12
73,0.267161,0.119956,0.239519,0.289256,0.363289,0.048735,0.04707,0.0,0.275346,0.062858,0.0,0.021097,0.0,0.0,Fábio Sanches,Botafogo SP,Botafogo SP,"CB, RCB",CB,4,33,250000,2024-11-30,21,1777,Brazil,Brazil,right,186,85,no,BRA2,Testing,2024,Zagueiro Equilibrado,0.0,74,74,0,0.472121,0.379349,0.435384,0.372459,0.501292,0.477433,0.478591,0.476305,0.556554,0.222126,0.208823,0.363382,0.485257,56.0,67,63,47.0,56.0,73,73,74,70,68,71.5,73.0,74,24,9,14,36,24,1,1,0,5,8,3,1,0
