Unnamed: 0,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,Acelerações,xG,Conversão_Gols,Conversão_xG,Ameaça_Ofensiva,xA,Assistência_Finalização,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Duelos_Ofensivos_Ganhos_LM,Dribles_BemSucedidos_LM,Acelerações_LM,xG_LM,Conversão_Gols_LM,Conversão_xG_LM,Ameaça_Ofensiva_LM,xA_LM,Assistência_Finalização_LM,Duelos_Ofensivos_Ganhos_Rank,Dribles_BemSucedidos_Rank,Acelerações_Rank,xG_Rank,Conversão_Gols_Rank,Conversão_xG_Rank,Ameaça_Ofensiva_Rank,xA_Rank,Assistência_Finalização_Rank,Duelos_Ofensivos_Ganhos_Percentil,Dribles_BemSucedidos_Percentil,Acelerações_Percentil,xG_Percentil,Conversão_Gols_Percentil,Conversão_xG_Percentil,Ameaça_Ofensiva_Percentil,xA_Percentil,Assistência_Finalização_Percentil
0,0.410273,0.534233,0.804348,0.5,0.655153,0.946154,0.328311,0.375,0.502703,1.0,Matheus Frizzo,Coritiba,Coritiba,"CF, AMF, LAMF",CF,12,26,1200000,2024-12-31,29,2206,Brazil,Brazil,left,182,71,yes,BRA2,Testing,2024,Atacante Móvel,1.0,1,49,97,0.382075,0.362637,0.397959,0.519436,0.492855,0.526731,0.479534,0.301871,0.335466,21,12,8.5,28.5,14.5,2.0,37.0,14.0,11.5,57,75,82,41,70,95,24,71,76
1,0.526249,0.602843,0.73913,0.547619,0.44186,0.6,0.426011,0.416667,0.535135,0.972253,Gabriel Novaes,Ponte Preta,Ponte Preta,"CF, LAMF, LWF",CF,12,25,1200000,2024-12-31,23,1919,Brazil,Brazil,right,183,83,no,BRA2,Testing,2024,Atacante Móvel,0.972,2,49,95,0.382075,0.362637,0.397959,0.519436,0.492855,0.526731,0.479534,0.301871,0.335466,11,10,10.0,23.5,30.0,18.0,31.0,11.0,8.0,77,79,79,52,38,63,36,77,83
2,0.774848,0.829207,0.0,0.666667,0.917237,0.872727,0.563838,0.416667,0.248649,0.967019,Zé Roberto,Sport Recife,Sport Recife,"CF, AMF",CF,12,31,1000000,2024-12-31,27,1315,Brazil,Brazil,right,184,85,no,BRA2,Testing,2024,Atacante Móvel,0.967,3,49,93,0.382075,0.362637,0.397959,0.519436,0.492855,0.526731,0.479534,0.301871,0.335466,5,5,44.0,15.0,4.0,4.0,19.5,11.0,28.5,89,89,10,69,91,91,60,77,41
3,0.450476,0.382453,0.978261,0.357143,0.474996,0.33,0.79355,1.0,0.562162,0.962531,Salatiel,Ituano,Ituano,CF,CF,12,32,250000,2024-11-30,16,796,Brazil,Brazil,right,187,76,no,BRA2,Testing,2024,Atacante Móvel,0.963,4,49,91,0.382075,0.362637,0.397959,0.519436,0.492855,0.526731,0.479534,0.301871,0.335466,18,19,2.5,34.0,25.0,40.0,4.0,1.0,6.0,63,61,94,30,48,18,91,97,87
4,0.450721,0.244555,0.478261,0.428571,0.814295,0.86087,0.488256,0.291667,0.491892,0.945928,Júnior Todinho,Vila Nova,Vila Nova,"CF, RW, RAMF",CF,12,30,0,2024-12-31,23,1621,Brazil,Brazil,left,182,72,no,BRA2,Testing,2024,Atacante Móvel,0.946,5,49,89,0.382075,0.362637,0.397959,0.519436,0.492855,0.526731,0.479534,0.301871,0.335466,17,29,19.0,32.5,8.0,5.0,24.0,20.5,14.0,65,40,61,33,83,89,51,58,71
5,0.504949,1.0,0.804348,0.761905,0.397021,0.47027,0.431023,0.541667,0.372973,0.921804,Saulo Mineiro,Ceará,Ceará,"CF, RW, RAMF",CF,12,27,350000,2026-12-31,27,2195,Brazil,Brazil,right,184,85,no,BRA2,Testing,2024,Atacante Móvel,0.922,6,49,87,0.382075,0.362637,0.397959,0.519436,0.492855,0.526731,0.479534,0.301871,0.335466,13,1,8.5,11.0,32.0,26.0,29.0,7.0,19.0,73,97,82,77,34,46,40,85,61
6,0.67764,0.502821,0.152174,0.761905,0.819615,0.583784,0.779958,0.125,0.32973,0.905896,Caio Dantas,Guarani,Guarani,CF,CF,12,31,300000,2024-12-31,31,2718,Brazil,Brazil,right,177,72,no,BRA2,Testing,2024,Atacante Móvel,0.906,7,49,85,0.382075,0.362637,0.397959,0.519436,0.492855,0.526731,0.479534,0.301871,0.335466,6,13,34.0,11.0,7.0,20.0,5.0,40.5,21.0,87,73,30,77,85,59,89,17,57
7,0.959121,0.894665,0.630435,0.833333,0.466674,0.57,0.36989,0.375,0.427027,0.904677,Jeh,Ponte Preta,Ponte Preta,CF,CF,12,24,0,,18,1638,Brazil,Brazil,right,185,77,no,BRA2,Testing,2024,Atacante Móvel,0.905,8,49,83,0.382075,0.362637,0.397959,0.519436,0.492855,0.526731,0.479534,0.301871,0.335466,2,3,14.0,6.5,27.0,21.0,35.0,14.0,16.5,95,93,71,86,44,57,28,71,66
8,0.629346,0.452078,0.565217,0.642857,0.904773,0.825,0.593801,0.166667,0.189189,0.885883,Júnior Brumado,Coritiba,Coritiba,CF,CF,12,25,800000,2026-12-31,15,1029,Brazil,Brazil,right,190,88,yes,BRA2,Testing,2024,Atacante Móvel,0.886,9,49,81,0.382075,0.362637,0.397959,0.519436,0.492855,0.526731,0.479534,0.301871,0.335466,7,16,17.0,17.5,5.0,7.0,17.0,36.0,35.0,85,67,65,64,89,85,65,26,28
9,0.58111,0.217297,0.0,1.0,0.991298,0.6,0.948384,0.208333,0.205405,0.883225,Brenner,América Mineiro,América Mineiro,CF,CF,12,30,400000,2024-12-31,21,1144,Brazil,Brazil,right,182,81,no,BRA2,Testing,2024,Atacante Móvel,0.883,10,49,79,0.382075,0.362637,0.397959,0.519436,0.492855,0.526731,0.479534,0.301871,0.335466,8,31,44.0,1.0,3.0,18.0,3.0,30.5,33.5,83,36,10,97,93,63,93,37,31
