Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Passes_Longos_Certos,Passes_Progressivos_Certos,Passes_Laterais_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
0,Patric,,Amazonas,RB,RB,1,35,200000,,8,806,Brazil,Brazil,right,173,79,no,6.92,2.90256,0.7805,2.455698,5.805228,8.484046999999999,BRA2,Testing,2024,0.4577433710180444,0.425072831652166,0.4414081013351052
1,Eduardo Diniz,Ituano,Ituano,"LB, LWB",LB,1,35,0,2024-12-31,9,722,Brazil,Brazil,left,179,68,no,8.35,3.362528,0.375,3.741993,5.112592,9.346428,BRA2,Testing,2024,0.488978401390789,0.5358876680664537,0.5124330347286213
2,Fabiano,Amazonas,Amazonas,"LB, LCB",LB,1,34,100000,2024-11-30,31,2902,Brazil,Brazil,left,180,80,no,7.41,3.383637,2.262375,2.017758,5.956441,9.709364999999998,BRA2,Testing,2024,0.704296529392052,0.6506460871770251,0.6774713082845385
3,Sander,Goiás,Goiás,LB,LB,1,34,250000,2024-12-31,20,1706,Brazil,Brazil,left,176,74,no,8.57,4.36921,0.727398,1.513692,4.878468000000001,7.060676999999999,BRA2,Testing,2024,0.410255315534469,0.3911645055510914,0.4007099105427802
4,Pacheco,Guarani,Guarani,RB,RB,1,33,200000,2024-12-31,22,1905,Brazil,Brazil,right,175,74,no,8.38,4.536252,1.14444,2.69059,8.126832,11.115858,BRA2,Testing,2024,0.810627548857097,0.7740955941476916,0.7923615715023943
5,Guilherme Lazaroni,Ituano,Ituano,LB,LB,1,31,0,2024-11-30,11,915,Brazil,Brazil,left,182,80,no,6.59,2.852476,1.6728,1.869237,5.308988,6.495543000000001,BRA2,Testing,2024,0.4399841612039503,0.3876625067096418,0.413823333956796
6,Rodrigo Soares,Grêmio Novorizontino,Grêmio Novorizontino,"RB, RWB",RB,1,31,1000000,2024-11-30,30,2065,Brazil,Brazil,right,176,73,no,7.19,4.008855000000001,0.6522560000000002,2.526186,5.712084,7.799276999999998,BRA2,Testing,2024,0.4652088083941872,0.4492924155014408,0.457250611947814
7,Alex Ruan,Brusque,Brusque,LB,LB,1,31,100000,2024-11-30,15,1205,Brazil,Brazil,left,175,68,no,7.69,3.587782,0.9710570000000002,2.015178,4.26,7.843629999999999,BRA2,Testing,2024,0.4135169365598139,0.4054145924846533,0.4094657645222336
8,Diogo Mateus,,Guarani,"RB, RCB",RB,1,31,300000,,11,826,Brazil,Brazil,right,173,67,no,6.32,3.053295,0.872,2.833404,8.2775,15.361532,BRA2,Testing,2024,0.7668288071316652,0.7491568659461862,0.7579928365389257
9,Ezequiel,Amazonas,Amazonas,RB,RB,1,31,300000,2024-12-31,24,2098,Brazil,Brazil,right,178,70,no,7.29,4.544452,0.855784,1.502415,4.118262,6.523504,BRA2,Testing,2024,0.2865080885117447,0.2936954920442584,0.2901017902780015
10,Matheus Ribeiro,CRB,CRB,"RB, LB",RB,1,31,300000,2024-12-31,20,1022,Brazil,"Brazil, Italy",right,178,72,no,7.93,4.490292,0.616875,1.58599,5.810875999999999,9.773166,BRA2,Testing,2024,0.5760692130485865,0.5203886326560184,0.5482289228523025
11,Daniel Borges,América Mineiro,América Mineiro,RB,RB,1,31,600000,2024-12-31,16,1112,Brazil,Brazil,right,174,68,yes,10.76,7.038297,1.45585,2.265,7.93408,12.865632,BRA2,Testing,2024,0.9828981260933376,0.9646258689591034,0.9737619975262205
