Unnamed: 0,Ações_Defensivas_BemSucedidas,Passes_Longos_Certos,Passes_Progressivos_Certos,Pisadas_Área,Dribles_BemSucedidos,xA,Assistência_Finalização,Passes_TerçoFinal_Certos,Deep_Completions,Passes_ÁreaPênalti_Certos,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Ações_Defensivas_BemSucedidas_LM,Passes_Longos_Certos_LM,Passes_Progressivos_Certos_LM,Pisadas_Área_LM,Dribles_BemSucedidos_LM,xA_LM,Assistência_Finalização_LM,Passes_TerçoFinal_Certos_LM,Deep_Completions_LM,Passes_ÁreaPênalti_Certos_LM,Ações_Defensivas_BemSucedidas_Rank,Passes_Longos_Certos_Rank,Passes_Progressivos_Certos_Rank,Pisadas_Área_Rank,Dribles_BemSucedidos_Rank,xA_Rank,Assistência_Finalização_Rank,Passes_TerçoFinal_Certos_Rank,Deep_Completions_Rank,Passes_ÁreaPênalti_Certos_Rank,Ações_Defensivas_BemSucedidas_Percentil,Passes_Longos_Certos_Percentil,Passes_Progressivos_Certos_Percentil,Pisadas_Área_Percentil,Dribles_BemSucedidos_Percentil,xA_Percentil,Assistência_Finalização_Percentil,Passes_TerçoFinal_Certos_Percentil,Deep_Completions_Percentil,Passes_ÁreaPênalti_Certos_Percentil
12,0.811856,0.51606,0.597609,0.327586,0.100692,0.238095,0.274194,0.516808,0.215909,0.154491,0.617072,Leandro Vilela,Paysandu,Paysandu,"RCMF, LCMF, RDMF",RCMF,8,29,250000,2024-11-30,21,1415,Brazil,Brazil,right,178,77,no,BRA2,Testing,2024,Segundo Volante Organizador,0.617,13,46,71,0.598218,0.373681,0.415018,0.336863,0.216695,0.228778,0.350164,0.38357,0.278039,0.257851,9,14,7,19.5,35,19.0,29.5,13,24.0,35,80,69,84,57,23,58,35,71,47,23
13,0.0,0.036288,0.426964,0.767241,0.530934,0.47619,0.634409,0.285627,1.0,0.750254,0.57939,F. Elizari,América Mineiro,América Mineiro,"LCMF, LDMF",LCMF,8,33,350000,2025-12-31,15,1071,Argentina,Argentina,right,173,72,no,BRA2,Testing,2024,Segundo Volante Organizador,0.579,14,46,69,0.598218,0.373681,0.415018,0.336863,0.216695,0.228778,0.350164,0.38357,0.278039,0.257851,46,43,19,4.0,2,4.5,5.0,32,1.0,2,0,6,58,91,95,90,89,30,97,95
14,0.984536,0.383398,0.399043,0.698276,0.036446,0.238095,0.284946,0.377788,0.454545,0.216178,0.542616,Anderson Leite,Guarani,Guarani,"RCMF, RDMF, LW",RCMF,8,31,300000,2024-12-31,22,1013,Brazil,Brazil,right,183,79,no,BRA2,Testing,2024,Segundo Volante Organizador,0.543,15,46,67,0.598218,0.373681,0.415018,0.336863,0.216695,0.228778,0.350164,0.38357,0.278039,0.257851,3,23,24,6.0,43,19.0,27.0,23,8.0,23,93,50,47,86,6,58,41,50,82,50
15,0.617268,0.026325,0.278078,0.594828,1.0,0.333333,0.650538,0.45258,0.823864,0.342546,0.529429,Juninho,Goiás,Goiás,"LCMF, AMF",LCMF,8,23,1000000,2024-12-31,24,1577,Brazil,Brazil,right,174,70,no,BRA2,Testing,2024,Segundo Volante Organizador,0.529,16,46,65,0.598218,0.373681,0.415018,0.336863,0.216695,0.228778,0.350164,0.38357,0.278039,0.257851,20,44,35,8.0,1,8.0,4.0,15,2.0,10,56,4,23,82,97,82,91,67,95,78
16,0.57732,0.521632,0.623091,0.064655,0.106091,0.047619,0.177419,0.535961,0.0625,0.267762,0.517741,Geovane,Portimonense,Vila Nova,LCMF,LCMF,8,25,0,2027-06-30,12,818,Brazil,Brazil,left,175,71,no,BRA2,Testing,2024,Segundo Volante Organizador,0.518,17,46,63,0.598218,0.373681,0.415018,0.336863,0.216695,0.228778,0.350164,0.38357,0.278039,0.257851,24,13,5,40.0,33,39.0,40.0,11,41.0,19,47,71,89,13,28,15,13,76,10,58
17,0.815722,0.128713,0.411136,0.24569,0.246166,0.190476,0.483871,0.523822,0.193182,0.182556,0.512535,S. Gómez,Coritiba,Coritiba,"LCMF, LDMF, RCMF",LCMF,8,28,1500000,2026-12-31,28,2394,Colombia,Colombia,left,172,72,no,BRA2,Testing,2024,Segundo Volante Organizador,0.513,18,46,60,0.598218,0.373681,0.415018,0.336863,0.216695,0.228778,0.350164,0.38357,0.278039,0.257851,8,39,23,29.0,17,25.0,8.0,12,29.0,30,82,15,50,36,63,45,82,73,36,34
18,0.703608,0.220807,0.388977,0.443966,0.457424,0.047619,0.392473,0.426541,0.210227,0.297682,0.501075,Rodrigo Santos,Avaí,Avaí,"LCMF, RCMF",LCMF,8,24,0,,9,735,Brazil,Brazil,,0,0,yes,BRA2,Testing,2024,Segundo Volante Organizador,0.501,19,46,58,0.598218,0.373681,0.415018,0.336863,0.216695,0.228778,0.350164,0.38357,0.278039,0.257851,14,30,27,13.0,3,39.0,15.0,18,26.0,17,69,34,41,71,93,15,67,60,43,63
19,0.851804,0.340414,0.376038,0.331897,0.14772,0.190476,0.198925,0.452458,0.1875,0.11359,0.49107,Cauan Barros,Amazonas,Amazonas,"RCMF, LCMF, LDMF",RCMF,8,20,0,,23,1926,Brazil,Brazil,right,175,68,yes,BRA2,Testing,2024,Segundo Volante Organizador,0.491,20,46,56,0.598218,0.373681,0.415018,0.336863,0.216695,0.228778,0.350164,0.38357,0.278039,0.257851,7,24,28,18.0,28,25.0,36.0,16,30.5,39,84,47,39,60,39,45,21,65,33,15
20,0.445876,0.525365,0.395557,0.478448,0.19458,0.285714,0.424731,0.326744,0.346591,0.336767,0.483636,Gustavo Bochecha,Botafogo SP,Botafogo SP,"LCMF, RCMF",LCMF,8,28,500000,2025-04-30,32,2056,Brazil,Brazil,left,173,73,no,BRA2,Testing,2024,Segundo Volante Organizador,0.484,21,46,54,0.598218,0.373681,0.415018,0.336863,0.216695,0.228778,0.350164,0.38357,0.278039,0.257851,36,12,25,11.0,20,13.5,14.0,28,15.5,13,21,73,45,76,56,70,69,39,66,71
21,0.979381,0.227483,0.550333,0.159483,0.069643,0.0,0.134409,0.342998,0.034091,0.051389,0.477767,J. Jiménez,Amazonas,Amazonas,"LCMF, LDMF, RCMF",LCMF,8,31,100000,2024-12-31,22,1446,Paraguay,Paraguay,right,181,80,no,BRA2,Testing,2024,Segundo Volante Organizador,0.478,22,46,52,0.598218,0.373681,0.415018,0.336863,0.216695,0.228778,0.350164,0.38357,0.278039,0.257851,4,28,9,34.0,37,44.5,42.5,24,43.5,44,91,39,80,26,19,3,7,47,5,4
