Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Passes_Longos_Certos,Passes_Progressivos_Certos,Pisadas_Área,Dribles_BemSucedidos,xA,Assistência_Finalização,Passes_TerçoFinal_Certos,Deep_Completions,Passes_ÁreaPênalti_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
0,Juninho,América Mineiro,América Mineiro,"RCMF, AMF",RCMF,8,37,250000,2024-12-31,33,3092,Brazil,Brazil,right,170,66,no,5.12,0.6409220000000001,2.938878,2.39,0.322178,0.07,0.82,3.49245,0.84,0.9324840000000001,BRA2,Testing,2024,0.1849865584284635,0.2966562400625247,0.2408213992454941
1,Geovane,Grêmio Novorizontino,Grêmio Novorizontino,"LCMF, RCMF",LCMF,8,35,300000,2024-12-15,24,1590,Brazil,Brazil,right,179,80,no,6.62,2.604504,4.814063999999999,0.57,0.451406,0.06,0.62,4.757766,0.06,0.225432,BRA2,Testing,2024,0.4172719806397188,0.4096949150871556,0.4134834478634372
2,Willian Farias,Grêmio Novorizontino,Grêmio Novorizontino,"LCMF, RCMF",LCMF,8,35,200000,2024-12-31,23,1266,Brazil,"Brazil, Italy",right,177,82,no,6.11,2.418551,4.196549999999999,0.07,0.2125,0.02,0.85,4.480875,0.57,0.568,BRA2,Testing,2024,0.3793826929419485,0.3682095859302554,0.3737961394361019
3,Rodrigo Lindoso,Operário PR,Operário PR,"LCMF, DMF, RCMF",LCMF,8,35,200000,2024-12-31,15,970,Brazil,Brazil,right,182,79,no,6.87,3.431615,3.989462999999999,0.28,0.368,0.01,0.37,4.914359999999999,0.19,0.46359,BRA2,Testing,2024,0.3142065798093681,0.3278415491896631,0.3210240644995156
4,Marlon,Grêmio Novorizontino,Grêmio Novorizontino,LCMF,LCMF,8,34,300000,2024-12-31,31,2480,Brazil,Brazil,right,175,76,no,5.88,1.632,3.227791,0.69,0.470352,0.07,0.58,3.01252,0.51,0.8,BRA2,Testing,2024,0.2078388002163077,0.2238515289554421,0.2158451645858749
5,Camacho,Guarani,Guarani,"LCMF, LDMF, RCMF",LCMF,8,34,300000,2024-11-30,10,790,Brazil,Brazil,right,181,73,no,7.97,2.621829,5.012766,1.03,0.5714400000000001,0.03,0.68,6.376,0.68,1.138118,BRA2,Testing,2024,0.6103552531657269,0.6813633165030017,0.6458592848343643
6,Marcão,Goiás,Goiás,"RCMF, LCMF, LDMF",RCMF,8,33,200000,2024-11-30,30,2659,Brazil,Brazil,right,183,80,no,6.79,0.9486100000000001,1.725543,1.16,0.42354,0.01,0.25,2.42352,0.07,0.035725,BRA2,Testing,2024,0.0,0.0,0.0
7,Filipe Soutto,Botafogo SP,Botafogo SP,"LCMF, DMF",LCMF,8,33,50000,2024-12-10,19,730,Brazil,Brazil,left,178,70,no,8.14,1.356642,4.683986999999999,0.37,0.1225,0.04,0.86,4.311813,0.37,0.369963,BRA2,Testing,2024,0.4115532460469103,0.4225555657122007,0.4170544058795556
8,F. Elizari,América Mineiro,América Mineiro,"LCMF, LDMF",LCMF,8,33,350000,2025-12-31,15,1071,Argentina,Argentina,right,173,72,no,3.11,0.757042,4.537909999999999,1.85,1.2625,0.1,1.18,4.116168,1.76,1.849375,BRA2,Testing,2024,0.5736407768087599,0.585139510882938,0.579390143845849
9,Richardson,Ceará,Ceará,"RCMF, LDMF, DMF",RCMF,8,33,300000,2024-12-31,21,1294,Brazil,Brazil,right,174,74,no,7.58,2.154639,5.07654,0.77,1.042878,0.03,0.63,6.539676000000001,0.42,0.555852,BRA2,Testing,2024,0.6593138363619551,0.6552122368656599,0.6572630366138075
10,Igor Henrique,Vila Nova,Vila Nova,"RCMF, AMF, CF",RCMF,8,32,200000,2025-12-31,23,1837,Brazil,Brazil,right,183,74,no,5.98,1.32,3.86928,1.81,0.9309999999999999,0.06,0.39,3.7255,0.88,0.8305469999999999,BRA2,Testing,2024,0.4374082244660872,0.4409363872295255,0.4391723058478063
11,L. Mugni,Ceará,Ceará,"LCMF, CF, AMF",LCMF,8,32,300000,2024-12-31,28,1644,Argentina,"Argentina, Italy",left,183,79,no,7.94,2.132784,5.526003,1.64,1.042198,0.21,1.86,4.437643,1.31,2.465,BRA2,Testing,2024,0.9035468008315605,0.892887675589358,0.8982172382104592
12,Diego Pituca,Santos,Santos,"RCMF, RDMF, LCMF",RCMF,8,32,1600000,2027-12-31,33,3109,Brazil,Brazil,left,178,69,no,7.61,2.747787,6.831271999999999,0.61,0.261,0.04,0.61,7.176175999999999,0.69,1.070461,BRA2,Testing,2024,0.7901557733068376,0.8157656152165564,0.802960694261697
