Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Duelos_Aéreos_Ganhos,Duelos_Ofensivos_Ganhos,xG,Conversão_Gols,Conversão_xG,Ameaça_Ofensiva,xA,Deep_Completions,Passes_Chave,Passes_ÁreaPênalti_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
0,Vágner Love,Avaí,Avaí,CF,CF,12,40,150000,2025-05-31,20,1370,Brazil,Brazil,right,172,72,no,1.445688,2.102176,0.18,9.524,0.7222222222222223,0.1304347826086956,0.15,0.92,0.33,1.179,BRA2,Testing,2024,0.4725987947913899,0.4558610013535608,0.4642298980724753
1,Willian,Santos,Santos,"CF, RAMF",CF,12,37,250000,2024-12-31,26,1092,Brazil,Brazil,right,171,78,no,0.411413,1.56718,0.3,21.739,1.366666666666667,0.1578947368421053,0.04,0.49,0.08,0.4971179999999999,BRA2,Testing,2024,0.5545034325432209,0.5337948938873333,0.5441491632152771
2,Anselmo Ramon,CRB,CRB,CF,CF,12,36,150000,2025-12-31,34,3017,Brazil,Brazil,right,182,77,no,1.431524,2.477472,0.27,19.231,1.111111111111111,0.1741935483870968,0.06,0.81,0.39,0.8055,BRA2,Testing,2024,0.7327280541683274,0.728184513276221,0.7304562837222741
3,Thiago Galhardo,Goiás,Goiás,"CF, LW",CF,12,35,800000,2025-12-31,23,1818,Brazil,"Brazil, Italy",right,183,77,yes,0.59361,2.722818,0.33,12.195,0.7575757575757576,0.1625615763546798,0.1,0.69,0.25,0.641954,BRA2,Testing,2024,0.5410854171238392,0.5262655051710404,0.5336754611474397
4,Leandro Damião,,Coritiba,CF,CF,12,35,600000,,12,826,Brazil,Brazil,right,188,90,no,2.179782,1.198119,0.23,12.5,0.4782608695652174,0.264367816091954,0.06,1.2,0.33,0.6525,BRA2,Testing,2024,0.6292039699037059,0.5666245338966795,0.5979142519001927
5,Julio Furch,Santos,Santos,CF,CF,12,35,700000,2025-06-30,25,1250,Argentina,Argentina,right,188,88,no,4.32188,2.01705,0.33,12.5,0.6666666666666666,0.1907514450867052,0.07,0.79,0.58,0.288,BRA2,Testing,2024,0.8338641148225118,0.8074343552210644,0.820649235021788
6,Nicolas,Paysandu,Paysandu,CF,CF,12,35,250000,2024-11-30,27,2240,Brazil,Brazil,right,180,77,no,3.01269,2.128959,0.24,8.824,0.5,0.1751824817518248,0.02,0.64,0.08,0.240016,BRA2,Testing,2024,0.6260627484542131,0.6306278204023372,0.6283452844282751
7,Lucca,Grêmio Novorizontino,Grêmio Novorizontino,CF,CF,12,34,300000,2024-11-30,24,1114,Brazil,Brazil,right,178,72,no,1.534998,2.504172,0.31,17.857,1.290322580645161,0.1371681415929204,0.01,0.16,0.0,0.24,BRA2,Testing,2024,0.6690429668708373,0.689397930769769,0.6792204488203031
8,Guilherme Queiróz,Brusque,Brusque,CF,CF,12,34,100000,2024-12-31,21,1331,Brazil,Brazil,right,179,75,no,0.6763290000000001,1.689146,0.14,10.526,1.0,0.109375,0.01,0.47,0.14,0.33633,BRA2,Testing,2024,0.3072764869272875,0.3074079101111131,0.3073421985192003
9,D. Torres,Amazonas,Amazonas,"CF, AMF, LCMF",CF,12,33,100000,2024-12-31,29,1944,Argentina,Argentina,left,174,70,no,0.508824,1.06533,0.1,3.226,0.5,0.06944444444444445,0.21,0.97,0.19,1.155648,BRA2,Testing,2024,0.0,0.0,0.0
