Unnamed: 0,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Passes_Longos_Certos,Passes_Progressivos_Certos,Passes_Laterais_Certos,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Ações_Defensivas_BemSucedidas_LM,Duelos_Defensivos_Ganhos_LM,Duelos_Aéreos_Ganhos_LM,Passes_Longos_Certos_LM,Passes_Progressivos_Certos_LM,Passes_Laterais_Certos_LM,Ações_Defensivas_BemSucedidas_Rank,Duelos_Defensivos_Ganhos_Rank,Duelos_Aéreos_Ganhos_Rank,Passes_Longos_Certos_Rank,Passes_Progressivos_Certos_Rank,Passes_Laterais_Certos_Rank,Ações_Defensivas_BemSucedidas_Percentil,Duelos_Defensivos_Ganhos_Percentil,Duelos_Aéreos_Ganhos_Percentil,Passes_Longos_Certos_Percentil,Passes_Progressivos_Certos_Percentil,Passes_Laterais_Certos_Percentil
25,0.615885,0.524172,0.843628,0.172968,0.435377,0.254278,0.7347,Eric,Ceará,Ceará,LB,LB,1,24,0,,10,722,Brazil,Brazil,left,180,80,yes,BRA2,Testing,2024,Lateral Defensivo,0.735,26,70,62,0.455097,0.454168,0.297061,0.421288,0.462063,0.423836,16.5,24,2,65,36,55,76,65,97,7,48,21
26,0.501302,0.555773,0.178584,0.492097,0.615048,0.533342,0.731202,Marlon,América Mineiro,América Mineiro,LB,LB,1,30,600000,2025-12-31,29,2798,Brazil,Brazil,left,177,69,no,BRA2,Testing,2024,Lateral Defensivo,0.731,27,70,61,0.455097,0.454168,0.297061,0.421288,0.462063,0.423836,29.0,21,48,25,16,23,58,70,31,64,77,67
27,0.522135,0.476323,0.766412,0.343056,0.426955,0.291053,0.729456,Willian Formiga,CRB,CRB,LB,LB,1,29,200000,2024-12-31,22,1459,Brazil,Brazil,left,185,86,no,BRA2,Testing,2024,Lateral Defensivo,0.729,28,70,60,0.455097,0.454168,0.297061,0.421288,0.462063,0.423836,26.0,31,4,39,38,48,62,55,94,44,45,31
28,0.615885,0.553003,0.172405,0.293134,0.736096,0.55674,0.723592,Dieguinho,Goiás,Goiás,RB,RB,1,28,1000000,2024-12-31,31,2786,Brazil,Brazil,right,175,68,no,BRA2,Testing,2024,Lateral Defensivo,0.724,29,70,58,0.455097,0.454168,0.297061,0.421288,0.462063,0.423836,16.5,22,49,48,9,21,76,68,30,31,87,70
29,0.214844,0.289064,0.352321,0.642423,0.638747,0.51555,0.711283,Thales Oleques,Operário PR,Operário PR,RB,RB,1,30,600000,2025-12-31,14,1302,Brazil,"Brazil, Portugal",right,175,74,no,BRA2,Testing,2024,Lateral Defensivo,0.711,30,70,57,0.455097,0.454168,0.297061,0.421288,0.462063,0.423836,61.0,53,26,12,15,24,12,24,62,82,78,65
30,0.380208,0.29648,0.246513,0.471532,0.453449,0.676272,0.709462,Felipinho,Sport Recife,Sport Recife,LB,LB,1,27,500000,2026-12-31,19,1411,Brazil,Brazil,left,177,74,no,BRA2,Testing,2024,Lateral Defensivo,0.709,31,70,55,0.455097,0.454168,0.297061,0.421288,0.462063,0.423836,46.0,52,36,27,31,11,34,25,48,61,55,84
31,0.132812,0.260178,0.158739,0.553549,0.610279,0.746604,0.697691,Luiz Henrique,Goiás,Goiás,LB,LB,1,25,150000,2024-12-31,23,1407,Brazil,Brazil,left,177,74,no,BRA2,Testing,2024,Lateral Defensivo,0.698,32,70,54,0.455097,0.454168,0.297061,0.421288,0.462063,0.423836,66.0,56,52,18,17,4,5,20,25,74,75,94
32,0.191406,0.167719,0.011906,0.796647,0.60394,0.667986,0.6956,Zeca,Mirassol,Mirassol,LB,LB,1,30,500000,2025-12-31,19,1820,Brazil,Brazil,right,170,68,no,BRA2,Testing,2024,Lateral Defensivo,0.696,33,70,52,0.455097,0.454168,0.297061,0.421288,0.462063,0.423836,62.5,66,68,4,19,12,10,5,2,94,72,82
33,0.666667,0.763861,0.354522,0.260443,0.352734,0.500179,0.695014,João Pedro Chermont,Santos U20,Santos,RB,RB,1,18,0,,28,1969,Brazil,Brazil,right,181,73,no,BRA2,Testing,2024,Lateral Defensivo,0.695,34,70,51,0.455097,0.454168,0.297061,0.421288,0.462063,0.423836,14.5,5,25,57,49,26,79,92,64,18,30,62
34,0.578125,0.355667,0.363029,0.607601,0.409096,0.352424,0.678181,Lucas Ramon,Mirassol,Mirassol,RB,RB,1,30,250000,2024-12-31,33,3084,Brazil,Brazil,right,178,72,no,BRA2,Testing,2024,Lateral Defensivo,0.678,35,70,50,0.455097,0.454168,0.297061,0.421288,0.462063,0.423836,22.0,48,22,14,41,41,68,31,68,80,41,41
35,0.298177,0.24496,0.538183,0.40049,0.484314,0.482025,0.677471,Fabiano,Amazonas,Amazonas,"LB, LCB",LB,1,34,100000,2024-11-30,31,2902,Brazil,Brazil,left,180,80,no,BRA2,Testing,2024,Lateral Defensivo,0.677,36,70,48,0.455097,0.454168,0.297061,0.421288,0.462063,0.423836,54.0,59,8,30,27,29,22,15,88,57,61,58
