Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Passes_Longos_Certos,Passes_Progressivos_Certos,Ações_Ofensivas_BemSucedidas,Duelos_Ofensivos_Ganhos,Pisadas_Área,Dribles_BemSucedidos,Corridas_Progressivas,Acelerações,xA,Assistência_Finalização,Passes_TerçoFinal_Certos,Deep_Completions,Deep_Completed_Crosses,Passes_ÁreaPênalti_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
0,Patric,,Amazonas,RB,RB,1,35,200000,,8,806,Brazil,Brazil,right,173,79,no,6.92,2.455698,5.805228,2.12,0.6708419999999999,1.34,0.6691749999999999,1.56,0.22,0.11,1.23,3.904555999999999,0.45,1.23,1.672356,BRA2,Testing,2024,0.6269784674276143,0.6348416823264132,0.6309100748770138
1,Eduardo Diniz,Ituano,Ituano,"LB, LWB",LB,1,35,0,2024-12-31,9,722,Brazil,Brazil,left,179,68,no,8.35,3.741993,5.112592,1.75,1.122328,0.25,0.625,0.75,0.12,0.12,0.87,2.864956,0.0,0.75,0.746592,BRA2,Testing,2024,0.3296080786845123,0.3594137177121482,0.3445108981983302
2,Fabiano,Amazonas,Amazonas,"LB, LCB",LB,1,34,100000,2024-11-30,31,2902,Brazil,Brazil,left,180,80,no,7.41,2.017758,5.956441,0.65,0.96052,0.47,0.4345200000000001,1.15,0.19,0.02,0.22,3.878649,0.25,0.25,0.370545,BRA2,Testing,2024,0.3491387029558832,0.3191941081828038,0.3341664055693435
3,Sander,Goiás,Goiás,LB,LB,1,34,250000,2024-12-31,20,1706,Brazil,Brazil,left,176,74,no,8.57,1.513692,4.878468000000001,1.23,1.735125,0.67,0.505748,0.84,0.06,0.1,0.78,2.523615,0.22,0.73,0.729927,BRA2,Testing,2024,0.2860508427492841,0.3077273148673303,0.2968890788083072
4,Pacheco,Guarani,Guarani,RB,RB,1,33,200000,2024-12-31,22,1905,Brazil,Brazil,right,175,74,no,8.38,2.69059,8.126832,1.55,0.9461499999999999,0.35,0.49997,1.5,0.2,0.06,0.85,3.786957000000001,0.45,1.05,1.24533,BRA2,Testing,2024,0.7316701950190602,0.7165700906716955,0.7241201428453778
5,Guilherme Lazaroni,Ituano,Ituano,LB,LB,1,31,0,2024-11-30,11,915,Brazil,Brazil,left,182,80,no,6.59,1.869237,5.308988,1.38,1.376706,0.49,0.491706,0.39,0.0,0.1,0.49,3.444,0.1,0.69,0.6889080000000001,BRA2,Testing,2024,0.2379648193682502,0.2746481824428834,0.2563065009055667
6,Rodrigo Soares,Grêmio Novorizontino,Grêmio Novorizontino,"RB, RWB",RB,1,31,1000000,2024-11-30,30,2065,Brazil,Brazil,right,176,73,no,7.19,2.526186,5.712084,3.4,2.482178,0.61,1.82898,1.31,0.26,0.18,1.79,3.181794,0.39,1.31,1.481132,BRA2,Testing,2024,0.6765379623465658,0.6357575489668258,0.6561477556566957
7,Alex Ruan,Brusque,Brusque,LB,LB,1,31,100000,2024-11-30,15,1205,Brazil,Brazil,left,175,68,no,7.69,2.015178,4.26,1.79,1.719018,0.9,0.747346,0.67,0.0,0.04,0.75,2.612722,0.37,0.82,0.897688,BRA2,Testing,2024,0.2804658894303482,0.2884389231619702,0.2844524062961592
8,Diogo Mateus,,Guarani,"RB, RCB",RB,1,31,300000,,11,826,Brazil,Brazil,right,173,67,no,6.32,2.833404,8.2775,2.94,1.41488,0.54,0.97875,2.29,0.65,0.08,1.42,5.338489999999999,0.11,1.63,1.742572,BRA2,Testing,2024,0.8258262572261491,0.8380410587968533,0.8319336580115011
9,Ezequiel,Amazonas,Amazonas,RB,RB,1,31,300000,2024-12-31,24,2098,Brazil,Brazil,right,178,70,no,7.29,1.502415,4.118262,1.37,1.4142,0.51,0.645,1.2,0.09,0.13,1.07,2.186741,0.17,0.69,1.07142,BRA2,Testing,2024,0.2235314799165362,0.235523397123839,0.2295274385201876
10,Matheus Ribeiro,CRB,CRB,"RB, LB",RB,1,31,300000,2024-12-31,20,1022,Brazil,"Brazil, Italy",right,178,72,no,7.93,1.58599,5.810875999999999,1.76,1.232813,0.79,0.967956,0.97,0.0,0.0,0.09,3.170631999999999,0.79,0.62,1.410685,BRA2,Testing,2024,0.5254410199550208,0.4931159497761283,0.5092784848655745
