Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Duelos_Ofensivos_Ganhos,Pisadas_Área,Dribles_BemSucedidos,Acelerações,Passes_Longos_Recebidos,xG,Finalizações_NoAlvo,Conversão_Gols,xA,Assistência_Finalização,Deep_Completions,Deep_Completed_Crosses,Passes_Chave,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
37,Kleiton,CRB,CRB,"RAMF, RW, RWF",RAMF,10,25,250000,2025-12-31,18,1044,Brazil,Brazil,right,182,76,yes,5.605488,2.5,2.24046,0.34,1.29,0.06,0.345697,7.143,0.1,0.78,0.26,0.69,0.34,BRA2,Testing,2024,0.5159710253725835,0.4685685384752519,0.4980968904676029
38,Diego Mathias,Brusque,Brusque,"RW, RAMF, RCMF",RW,10,25,0,2026-06-30,25,1762,Brazil,Brazil,left,182,73,no,3.778935,1.58,2.143815,0.0,1.74,0.08,0.510867,5.405,0.15,1.23,0.72,0.66,0.36,BRA2,Testing,2024,0.580583468680033,0.5478407403950605,0.5708908105957412
39,Paulo Vitor,Portimonense,Grêmio Novorizontino,"RW, CF, RB",RW,10,25,400000,2028-06-30,14,1110,Brazil,Brazil,right,168,75,no,4.863108,1.54,3.082752,1.86,1.22,0.11,0.48569,0.0,0.23,1.54,0.24,1.38,1.14,BRA2,Testing,2024,0.7412177555754486,0.7189025638120435,0.7387020466227574
40,Paulo Baya,Goiás,Goiás,"LW, LAMF",LW,10,25,250000,2024-12-31,29,1845,Brazil,Brazil,right,185,77,yes,3.659399999999999,1.43,2.27254,0.84,1.53,0.16,0.7420829999999999,7.143,0.14,1.29,0.59,1.38,0.4,BRA2,Testing,2024,0.7063322382701152,0.6995195741416064,0.7112465988504946
41,Matheus Régis,Ponte Preta,Ponte Preta,"RAMF, RW",RAMF,10,25,400000,2026-01-30,27,1653,Brazil,Brazil,right,181,72,yes,5.205236999999999,3.93,2.825772,0.61,1.72,0.23,0.887245,3.636,0.07,0.83,0.33,0.33,0.22,BRA2,Testing,2024,0.5359560369605866,0.5117629047839468,0.5300605136957361
42,Adyson,América Mineiro,América Mineiro,"RAMF, RW, RWF",RAMF,10,19,0,,27,1613,Brazil,Brazil,left,168,60,no,4.966936,2.06,3.013059,1.06,2.57,0.18,0.6708419999999999,4.545,0.21,1.73,1.95,1.45,0.61,BRA2,Testing,2024,0.9863552657138227,0.9081930780530729,0.9584872701130838
43,Lucas Ronier,Coritiba U20,Coritiba,"RAMF, RW, CF",RAMF,10,19,0,,31,2787,Brazil,Brazil,left,165,60,no,6.135028,2.78,2.968881,0.58,1.23,0.22,0.8721110000000002,8.108,0.12,1.13,1.58,0.74,0.55,BRA2,Testing,2024,1.0,0.9241568255411385,0.9734667521417982
44,Rodriguinho,América Mineiro,América Mineiro,"LW, LAMF",LW,10,21,0,,13,935,Brazil,Brazil,right,170,65,no,2.887731,2.89,1.445,0.19,2.21,0.23,0.8682159999999999,23.529,0.25,1.54,1.16,1.16,0.77,BRA2,Testing,2024,0.9969181705655129,0.9796843392866774,1.0
45,Pedro Lucas,Operário PR,Operário PR,"RW, RAMF, RCMF",RW,10,22,1200000,2025-12-31,15,818,Brazil,Brazil,left,173,67,no,1.210055,0.99,0.329967,0.77,1.87,0.05,0.220044,0.0,0.03,0.55,0.77,0.11,0.22,BRA2,Testing,2024,0.0,0.0,0.0
46,Figueiredo,Coritiba,Coritiba,"LAMF, LW, CF",LAMF,10,23,2500000,2026-12-31,30,1511,Brazil,Brazil,right,178,70,yes,4.646024,2.03,2.385762,0.42,1.01,0.13,0.8954080000000001,3.125,0.07,0.83,1.07,0.83,0.18,BRA2,Testing,2024,0.5214794283433812,0.499841591435613,0.5167053136320101
47,Chrystian Barletta,Sport Recife,Sport Recife,"LW, RW, RAMF",LW,10,23,1200000,2028-12-31,28,2117,Brazil,Brazil,left,178,70,no,3.612483,2.55,1.828504,0.85,2.13,0.18,0.59711,23.529,0.07,0.85,0.77,0.72,0.17,BRA2,Testing,2024,0.7252455027005491,0.6914818709186898,0.7167487476908958
48,Dodô,Ponte Preta,Ponte Preta,"LWF, LW, AMF",LWF,11,23,0,,29,1840,Brazil,Brazil,right,171,68,yes,5.09,1.68,1.681398,0.25,1.88,0.2,0.609939,16.667,0.1,0.86,0.61,0.56,0.2,BRA2,Testing,2024,0.7523748515830397,0.6555238697452699,0.7122821681702669
49,Reinaldo,Guarani,Guarani,"LW, RW",LW,10,23,400000,2026-06-30,23,865,Brazil,Brazil,right,178,73,no,3.745884,2.39,1.977644,0.21,2.08,0.07,0.416,0.0,0.16,0.83,0.31,1.35,0.31,BRA2,Testing,2024,0.4863152650839029,0.4221868826385039,0.4596281463744292
50,Emerson Urso,Vila Nova,Vila Nova,"LW, RW, LAMF",LW,10,23,250000,2025-12-31,20,811,Brazil,Brazil,right,169,67,yes,6.213328000000002,1.11,2.550389,0.11,0.78,0.16,0.554211,25.0,0.09,1.0,0.33,0.67,0.11,BRA2,Testing,2024,0.6919408033582136,0.6210799266135215,0.6642816263902864
51,Juan Christian,Alanyaspor,Vila Nova,"RW, RAMF, LW",RW,10,23,0,,18,1273,Brazil,Brazil,right,177,73,no,4.737385,2.47,3.112551,0.35,1.77,0.13,0.635757,3.226,0.07,0.49,0.21,0.92,0.14,BRA2,Testing,2024,0.5166612267834516,0.4637793090104836,0.4960231158804165
52,Enio,Amazonas,Amazonas,"RW, LW, RAMF",RW,10,23,200000,2025-12-31,33,2606,Brazil,Brazil,right,168,64,no,6.596486,2.31,3.4188,0.38,1.17,0.11,0.447408,5.882,0.17,1.76,1.49,0.69,0.35,BRA2,Testing,2024,0.6245471481341781,0.6882190029452017,0.6641528301901973
53,Vinícius Pavia,Ituano,Ituano,"LAMF, LW, LWF",LAMF,10,23,700000,2024-12-31,30,2423,Brazil,Brazil,right,174,65,yes,3.453006,2.19,1.8585,0.82,1.34,0.16,0.483874,13.889,0.13,0.85,0.97,0.52,0.48,BRA2,Testing,2024,0.7839000315498182,0.7085834106409028,0.7550751528198395
54,Erick Pulga,Ceará,Ceará,"LW, LAMF, LWF",LW,10,24,1000000,2025-12-31,31,3089,Brazil,Brazil,right,169,70,no,5.242673999999999,3.88,3.030258,0.87,1.72,0.26,0.7858739999999999,14.103,0.1,0.96,0.82,1.02,0.61,BRA2,Testing,2024,0.9074859223812749,0.8743844979648812,0.9014814113938385
55,E. Garcia,Paysandu,Paysandu,"LAMF, LW, LWF",LAMF,10,24,300000,2024-12-31,27,1592,Venezuela,Venezuela,right,160,54,no,4.295648,2.77,2.432224,0.34,1.53,0.14,0.79339,20.0,0.07,0.73,0.85,0.85,0.28,BRA2,Testing,2024,0.6822781968523358,0.6598942454422275,0.6790300202517351
56,Welliton Matheus,Goiás,Goiás,"RW, RAMF, RWF",RW,10,24,0,2024-12-31,33,2470,Brazil,Brazil,left,180,73,yes,8.3076,3.19,4.398384,0.26,1.13,0.16,0.5999399999999999,6.818,0.1,0.83,0.98,0.56,0.34,BRA2,Testing,2024,0.6931768302507152,0.6365803381996874,0.6727489021299691
57,Léo Pereira,CRB,CRB,"LW, LAMF, LWF",LW,10,24,1200000,2026-12-31,31,2825,Brazil,Brazil,right,172,73,no,4.58592,2.77,2.642748,0.96,1.43,0.15,0.6700959999999999,5.882,0.09,0.76,0.19,1.02,0.29,BRA2,Testing,2024,0.5617861796297107,0.5535895537727763,0.5642893438832547
58,Negueba,Mirassol,Mirassol,"RW, RAMF, RWF",RW,10,24,450000,2025-12-31,24,1798,Brazil,Brazil,right,171,62,no,2.858239999999999,1.53,1.379133,0.15,1.84,0.12,0.562597,5.714,0.08,0.77,0.51,0.77,0.15,BRA2,Testing,2024,0.4889355397001749,0.4428114071081678,0.4713881228846655
59,Fabinho,América Mineiro,América Mineiro,"LAMF, LWF, RAMF",LAMF,10,24,1500000,2025-12-31,31,2017,Brazil,Brazil,left,180,75,no,2.899,3.84,1.563445,0.54,2.1,0.27,0.534492,13.636,0.12,0.98,1.16,0.45,0.45,BRA2,Testing,2024,0.9203627439465056,0.8509472556961228,0.8961386980000781
