Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,Acelerações,xG,Conversão_Gols,Conversão_xG,Ameaça_Ofensiva,xA,Assistência_Finalização,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
0,Vágner Love,Avaí,Avaí,CF,CF,12,40,150000,2025-05-31,20,1370,Brazil,Brazil,right,172,72,no,2.102176,0.722399,0.33,0.18,9.524,0.7222222222222223,0.1304347826086956,0.15,1.05,BRA2,Testing,2024,0.831544212517474,0.7477403694834889,0.7896422910004814
1,Willian,Santos,Santos,"CF, RAMF",CF,12,37,250000,2024-12-31,26,1092,Brazil,Brazil,right,171,78,no,1.56718,0.329967,0.08,0.3,21.739,1.366666666666667,0.1578947368421053,0.04,0.41,BRA2,Testing,2024,0.8598839794797292,0.8179546440296269,0.8389193117546779
2,Anselmo Ramon,CRB,CRB,CF,CF,12,36,150000,2025-12-31,34,3017,Brazil,Brazil,right,182,77,no,2.477472,0.74356,0.06,0.27,19.231,1.111111111111111,0.1741935483870968,0.06,0.84,BRA2,Testing,2024,0.8912722712945328,0.8562621663222146,0.8737672188083736
3,Thiago Galhardo,Goiás,Goiás,"CF, LW",CF,12,35,800000,2025-12-31,23,1818,Brazil,"Brazil, Italy",right,183,77,yes,2.722818,0.8909999999999999,0.45,0.33,12.195,0.7575757575757576,0.1625615763546798,0.1,0.69,BRA2,Testing,2024,0.7999158269213252,0.8065395481543808,0.8032276875378529
4,Leandro Damião,,Coritiba,CF,CF,12,35,600000,,12,826,Brazil,Brazil,right,188,90,no,1.198119,0.22,0.33,0.23,12.5,0.4782608695652174,0.264367816091954,0.06,0.65,BRA2,Testing,2024,0.6399874931837841,0.6456870414552963,0.6428372673195402
5,Julio Furch,Santos,Santos,CF,CF,12,35,700000,2025-06-30,25,1250,Argentina,Argentina,right,188,88,no,2.01705,0.216,0.0,0.33,12.5,0.6666666666666666,0.1907514450867052,0.07,1.01,BRA2,Testing,2024,0.6920663545181677,0.7111941766467128,0.7016302655824402
6,Nicolas,Paysandu,Paysandu,CF,CF,12,35,250000,2024-11-30,27,2240,Brazil,Brazil,right,180,77,no,2.128959,0.240016,0.0,0.24,8.824,0.5,0.1751824817518248,0.02,0.48,BRA2,Testing,2024,0.3790710442459563,0.3870868495444826,0.3830789468952194
7,Lucca,Grêmio Novorizontino,Grêmio Novorizontino,CF,CF,12,34,300000,2024-11-30,24,1114,Brazil,Brazil,right,178,72,no,2.504172,0.8058340000000002,0.08,0.31,17.857,1.290322580645161,0.1371681415929204,0.01,0.24,BRA2,Testing,2024,0.6643705712498045,0.6620626987866105,0.6632166350182074
8,Guilherme Queiróz,Brusque,Brusque,CF,CF,12,34,100000,2024-12-31,21,1331,Brazil,Brazil,right,179,75,no,1.689146,0.94836,0.41,0.14,10.526,1.0,0.109375,0.01,0.47,BRA2,Testing,2024,0.5084412347881531,0.4930835583058989,0.5007623965470259
9,D. Torres,Amazonas,Amazonas,"CF, AMF, LCMF",CF,12,33,100000,2024-12-31,29,1944,Argentina,Argentina,left,174,70,no,1.06533,0.093324,0.05,0.1,3.226,0.5,0.06944444444444445,0.21,1.94,BRA2,Testing,2024,0.5217643292052875,0.5779177802163356,0.5498410547108115
