Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,Acelerações,xG,Conversão_Gols,Conversão_xG,Ameaça_Ofensiva,xA,Assistência_Finalização,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
10,Rafael Tavares,Amazonas,Amazonas,"CF, AMF",CF,12,33,100000,2024-12-31,25,1342,Brazil,Brazil,left,175,73,no,3.019455,0.468495,0.13,0.09,3.333,0.7777777777777779,0.04477611940298508,0.05,0.74,BRA2,Testing,2024,0.2695893739502395,0.2622726105779296,0.2659309922640845
11,Ronaldo,Operário PR,Operário PR,CF,CF,12,33,350000,2024-12-31,16,944,Brazil,Brazil,right,185,80,no,2.034921,0.203313,0.0,0.27,7.143,0.3703703703703703,0.1901408450704226,0.02,0.41,BRA2,Testing,2024,0.3303977470473656,0.3339143210674245,0.332156034057395
12,Henrique Almeida,Vila Nova,Vila Nova,CF,CF,12,33,300000,2024-12-31,31,1975,Brazil,Brazil,right,177,77,no,2.551976,0.363086,0.18,0.25,15.385,1.08,0.1404494382022472,0.04,0.41,BRA2,Testing,2024,0.677048760703543,0.6552358908639468,0.6661423257837449
13,Robson,Coritiba,Coritiba,"CF, LW, LAMF",CF,12,33,900000,2024-12-31,20,1362,Brazil,Brazil,right,179,76,no,3.369976,1.452,0.46,0.32,7.692,0.625,0.124031007751938,0.07,0.59,BRA2,Testing,2024,0.6016124291696763,0.6251895089082665,0.6134009690389713
14,Aylon,Ceará,Ceará,"CF, RW",CF,12,32,350000,2024-12-31,32,2535,Brazil,Brazil,right,180,75,no,1.881875,0.355144,0.28,0.36,14.754,0.888888888888889,0.1658986175115207,0.08,0.53,BRA2,Testing,2024,0.8366783098697842,0.768071318240751,0.8023748140552676
15,Dellatorre,Mirassol,Mirassol,CF,CF,12,32,450000,2024-11-30,30,2480,Brazil,"Brazil, Italy",right,181,79,no,1.654109,0.49,0.04,0.45,12.698,0.6444444444444444,0.189873417721519,0.03,0.41,BRA2,Testing,2024,0.5685893616653277,0.5614471776211901,0.5650182696432589
16,J. Recalde,Ceará,Ceará,"CF, AMF",CF,12,32,600000,2025-12-31,26,1210,Paraguay,Paraguay,right,178,83,no,2.603125,0.521848,0.22,0.18,13.793,1.666666666666667,0.08333333333333333,0.07,1.04,BRA2,Testing,2024,0.7998527029821426,0.7914610503191414,0.7956568766506419
17,Rodolfo,Grêmio Novorizontino,Grêmio Novorizontino,CF,CF,12,32,600000,2024-11-30,26,1633,Brazil,Brazil,right,175,75,no,3.25134,1.655688,0.33,0.38,13.158,0.736842105263158,0.1818181818181818,0.05,0.55,BRA2,Testing,2024,0.7184783648469245,0.7118522764924873,0.7151653206697058
18,Luan Silva,Amazonas,Amazonas,CF,CF,12,32,150000,2024-12-31,13,873,Brazil,Brazil,,0,0,no,1.649453,0.516708,0.0,0.38,26.316,1.368421052631579,0.1938775510204082,0.03,0.41,BRA2,Testing,2024,0.8805278939473443,0.8394158415443415,0.8599718677458428
19,Hygor,Avaí,Avaí,"CF, RW",CF,12,32,150000,2025-12-31,20,1256,Brazil,Brazil,right,186,78,no,2.579312,0.86,0.14,0.43,18.182,0.6744186046511628,0.2721518987341772,0.04,0.43,BRA2,Testing,2024,0.7873220894248459,0.7919272528251301,0.7896246711249879
20,Salatiel,Ituano,Ituano,CF,CF,12,32,250000,2024-11-30,16,796,Brazil,Brazil,right,187,76,no,3.053352,0.9035519999999999,0.45,0.2,12.5,0.5499999999999999,0.2222222222222222,0.24,1.13,BRA2,Testing,2024,0.9834356355295398,0.9416267112796947,0.9625311734046171
21,Osman,Brusque,Brusque,"CF, LW",CF,12,31,200000,2025-11-30,18,733,Brazil,Brazil,right,179,72,no,1.965337,0.49232,0.0,0.17,0.0,0.0,0.1259259259259259,0.05,0.25,BRA2,Testing,2024,0.0,0.0,0.0
22,Caio Dantas,Guarani,Guarani,CF,CF,12,31,300000,2024-12-31,31,2718,Brazil,Brazil,right,177,72,no,4.173222000000001,1.15855,0.07,0.37,21.569,0.9729729729729729,0.2189349112426036,0.03,0.7,BRA2,Testing,2024,0.9273824539347307,0.8844102121103571,0.9058963330225438
23,F. Barceló,Ceará,Ceará,CF,CF,12,31,600000,2024-12-31,23,972,Uruguay,"Uruguay, Italy",right,180,75,no,0.8326109999999999,0.185705,0.19,0.3,26.316,1.533333333333333,0.1704545454545454,0.0,0.09,BRA2,Testing,2024,0.7941946076824961,0.7620046081684692,0.7780996079254825
24,Zé Roberto,Sport Recife,Sport Recife,"CF, AMF",CF,12,31,1000000,2024-12-31,27,1315,Brazil,Brazil,right,184,85,no,4.652431999999999,1.85,0.0,0.33,24.138,1.454545454545454,0.1666666666666667,0.1,0.55,BRA2,Testing,2024,0.9844616983524227,0.9495756064075572,0.9670186523799899
25,Júnior Todinho,Vila Nova,Vila Nova,"CF, RW, RAMF",CF,12,30,0,2024-12-31,23,1621,Brazil,Brazil,left,182,72,no,3.054562,0.611415,0.22,0.23,21.429,1.434782608695652,0.1483870967741935,0.07,1.0,BRA2,Testing,2024,0.9583355995230048,0.9335200728343608,0.9459278361786827
26,Sassá,Amazonas,Amazonas,CF,CF,12,30,500000,2024-12-31,23,1357,Brazil,Brazil,right,174,73,no,1.791548,0.532,0.0,0.27,10.345,0.7407407407407407,0.140625,0.05,0.27,BRA2,Testing,2024,0.4401375549106549,0.4565400903845759,0.4483388226476153
27,Brenner,América Mineiro,América Mineiro,CF,CF,12,30,400000,2024-12-31,21,1144,Brazil,Brazil,right,182,81,no,3.697351,0.5536679999999999,0.0,0.47,26.087,1.0,0.2596685082872928,0.05,0.47,BRA2,Testing,2024,0.8951162316450662,0.8713333695445432,0.8832248005948046
28,Giovanni,Avaí,Avaí,"CF, AMF",CF,12,30,500000,2024-12-31,32,2486,Brazil,"Brazil, Italy",right,174,75,no,2.57086,0.614619,0.22,0.15,5.797,0.9333333333333335,0.06,0.14,1.23,BRA2,Testing,2024,0.6620846568446321,0.6388741353838956,0.6504793961142639
29,Alex Sandro,Botafogo SP,Botafogo SP,"CF, LW",CF,12,29,700000,2024-12-31,21,1313,Brazil,Brazil,left,175,74,no,3.429259,1.37136,0.41,0.37,10.345,0.3783783783783784,0.185929648241206,0.06,0.62,BRA2,Testing,2024,0.708945010863841,0.6829110695428967,0.6959280402033687
30,Mário Sérgio,Chapecoense,Chapecoense,CF,CF,12,29,100000,2026-12-31,27,2030,Brazil,Brazil,left,181,70,no,1.862432,0.62125,0.04,0.45,14.894,0.6888888888888889,0.2163461538461539,0.02,0.35,BRA2,Testing,2024,0.6584495477740963,0.642557838297188,0.650503693035642
31,Eduardo Person,Ituano,Ituano,"CF, AMF, LCMF",CF,12,27,300000,2024-12-31,13,763,Brazil,Brazil,right,174,72,no,3.655608,1.063125,0.12,0.18,6.667,0.6666666666666666,0.1016949152542373,0.2,1.65,BRA2,Testing,2024,0.8364233386029346,0.8412221419215874,0.8388227402622609
32,A. González,Brusque,Brusque,"CF, AMF, RW",CF,12,27,350000,2026-06-30,10,762,Uruguay,Uruguay,left,174,65,yes,4.726104000000001,1.77268,0.0,0.05,0.0,0.0,0.03030303030303031,0.11,1.18,BRA2,Testing,2024,0.2443912529677302,0.200402514760967,0.2223968838643485
33,Jhemerson,Brusque,Brusque,"CF, RCMF, LCMF",CF,12,27,100000,2024-12-31,15,794,Brazil,Brazil,right,174,66,no,3.060204,0.67875,0.11,0.09,0.0,0.0,0.05294117647058823,0.06,1.02,BRA2,Testing,2024,0.1412155001104518,0.08997335386043546,0.1155944269854436
34,Saulo Mineiro,Ceará,Ceará,"CF, RW, RAMF",CF,12,27,350000,2026-12-31,27,2195,Brazil,Brazil,right,184,85,no,3.321891999999999,2.211825,0.37,0.37,10.448,0.7837837837837838,0.1345454545454546,0.13,0.78,BRA2,Testing,2024,0.9504554485969817,0.8931532914241135,0.9218043700105475
35,Luan Dias,Guarani,Guarani,"CF, AMF, RW",CF,12,27,600000,2025-06-30,25,1988,Brazil,Brazil,left,178,74,yes,5.388494999999999,1.85525,0.41,0.15,2.632,0.3333333333333334,0.0872093023255814,0.12,1.27,BRA2,Testing,2024,0.5526513629479944,0.5993215979956411,0.5759864804718178
36,Thonny Anderson,Ituano,Ituano,CF,CF,12,26,500000,2024-12-31,24,2077,Brazil,Brazil,right,184,81,yes,5.762379999999999,2.036762,0.0,0.31,9.434,0.7096774193548387,0.1347826086956522,0.07,0.95,BRA2,Testing,2024,0.6781116375609797,0.7235003609990389,0.7008059992800093
37,Matheus Frizzo,Coritiba,Coritiba,"CF, AMF, LAMF",CF,12,26,1200000,2024-12-31,29,2206,Brazil,Brazil,left,182,71,yes,2.85516,1.225098,0.37,0.26,17.241,1.576923076923077,0.109704641350211,0.09,1.02,BRA2,Testing,2024,1.0,1.0,1.0
38,Gustavo Coutinho,Sport Recife,Sport Recife,CF,CF,12,25,1800000,2027-12-31,32,2277,Brazil,Brazil,right,186,78,no,2.1357,0.5124160000000001,0.16,0.4,13.462,0.7000000000000001,0.1941747572815534,0.07,0.59,BRA2,Testing,2024,0.6925635635376939,0.7113683378221067,0.7019659506799003
39,Breno Herculano,Goiás,Goiás,CF,CF,12,25,0,,18,892,Brazil,Brazil,right,189,89,no,1.5625,0.78,0.0,0.41,19.048,1.219512195121951,0.1752136752136752,0.01,0.22,BRA2,Testing,2024,0.6973087356178228,0.6911084705969974,0.6942086031074101
40,Gabriel Novaes,Ponte Preta,Ponte Preta,"CF, LAMF, LWF",CF,12,25,1200000,2024-12-31,23,1919,Brazil,Brazil,right,183,83,no,3.426897,1.370448,0.34,0.28,11.628,1.0,0.1333333333333333,0.1,1.08,BRA2,Testing,2024,0.9863630091867513,0.9581426653979553,0.9722528372923532
41,Júnior Brumado,Coritiba,Coritiba,CF,CF,12,25,800000,2026-12-31,15,1029,Brazil,Brazil,right,190,88,yes,3.93514,1.051052,0.26,0.32,23.81,1.375,0.1739130434782609,0.04,0.44,BRA2,Testing,2024,0.905101130583441,0.8666658652477665,0.8858834979156036
42,Jeh,Ponte Preta,Ponte Preta,CF,CF,12,24,0,,18,1638,Brazil,Brazil,right,185,77,no,5.560856,1.988672,0.29,0.4,12.281,0.95,0.1197604790419162,0.09,0.88,BRA2,Testing,2024,0.9137902579358635,0.8955639034148869,0.9046770806753751
43,Daniel Lima,Operário PR,Operário PR,CF,CF,12,19,0,,25,1338,Brazil,Brazil,right,186,77,yes,3.192657000000001,0.55626,0.21,0.15,12.0,1.333333333333333,0.08670520231213873,0.09,0.62,BRA2,Testing,2024,0.7160731384184271,0.6944750178643059,0.7052740781413664
44,Renato Marques,América Mineiro,América Mineiro,CF,CF,12,20,0,,26,1408,Brazil,Brazil,right,180,71,no,1.150791,0.4480000000000001,0.19,0.28,9.091,0.9285714285714285,0.09964412811387902,0.04,0.38,BRA2,Testing,2024,0.3906879667625655,0.4332453520612638,0.4119666594119146
45,Ruan Ribeiro,Paysandu,Paysandu,"CF, RW",CF,12,21,0,,18,1021,Brazil,Brazil,right,178,71,yes,1.586,1.145766,0.18,0.13,18.182,1.384615384615385,0.134020618556701,0.08,0.53,BRA2,Testing,2024,0.8897367122380156,0.8282111211497979,0.8589739166939067
46,Alexandre Jesus,Botafogo SP,Botafogo SP,CF,CF,12,23,250000,2025-12-31,20,1677,Brazil,Brazil,right,184,82,no,1.71769,0.320907,0.27,0.26,17.241,1.038461538461539,0.1666666666666667,0.03,0.27,BRA2,Testing,2024,0.6689308964220836,0.655048720509395,0.6619898084657392
47,W. Silva,Santos,Santos,CF,CF,12,24,1200000,2026-06-30,12,1019,Brazil,Brazil,right,180,74,yes,1.85436,0.97065,0.09,0.14,14.286,1.285714285714286,0.1129032258064516,0.15,0.88,BRA2,Testing,2024,0.8611326282975099,0.8321918032103776,0.8466622157539436
48,Rodrigo Farofa,Operário PR,Operário PR,"CF, AMF, LWF",CF,12,24,300000,2025-12-31,24,1916,Brazil,Brazil,right,178,78,no,3.0481,1.2381,0.43,0.11,4.082,0.8181818181818181,0.04721030042918455,0.05,1.1,BRA2,Testing,2024,0.4619907124767262,0.5122936886088874,0.4871422005428067
