Unnamed: 0,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Finalizações_Bloqueadas,Interceptações_Ajustadas_a_Posse,Passes_Laterais_Certos,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Ações_Defensivas_BemSucedidas_LM,Duelos_Defensivos_Ganhos_LM,Duelos_Aéreos_Ganhos_LM,Finalizações_Bloqueadas_LM,Interceptações_Ajustadas_a_Posse_LM,Passes_Laterais_Certos_LM,Ações_Defensivas_BemSucedidas_Rank,Duelos_Defensivos_Ganhos_Rank,Duelos_Aéreos_Ganhos_Rank,Finalizações_Bloqueadas_Rank,Interceptações_Ajustadas_a_Posse_Rank,Passes_Laterais_Certos_Rank,Ações_Defensivas_BemSucedidas_Percentil,Duelos_Defensivos_Ganhos_Percentil,Duelos_Aéreos_Ganhos_Percentil,Finalizações_Bloqueadas_Percentil,Interceptações_Ajustadas_a_Posse_Percentil,Passes_Laterais_Certos_Percentil
0,0.871985,0.627908,0.744059,0.38843,1.0,0.570723,1.0,Y. Quintana,Paysandu,Paysandu,"RCB, LCB",RCB,4,28,350000,2024-11-30,20,1853,Uruguay,Uruguay,right,196,92,no,BRA2,Testing,2024,Zagueiro Defensivo,1.0,1,74,98,0.472121,0.379349,0.435384,0.372459,0.501292,0.556554,8.0,9,6,33.5,1.0,33,89,87,91,54,98,55
1,0.940631,0.63691,1.0,0.31405,0.73805,0.251706,0.938228,Rafael Donato,Grêmio Novorizontino,Grêmio Novorizontino,CB,CB,4,35,200000,2025-11-30,26,2172,Brazil,Brazil,right,193,99,no,BRA2,Testing,2024,Zagueiro Defensivo,0.938,2,74,97,0.472121,0.379349,0.435384,0.372459,0.501292,0.556554,4.0,8,1,41.5,12.5,72,94,89,98,43,83,2
2,1.0,0.863106,0.545561,0.363636,0.615679,0.285826,0.90373,Éverton Alemão,Brusque,Brusque,RCB,RCB,4,31,100000,2024-11-30,19,1488,Brazil,Brazil,right,185,80,no,BRA2,Testing,2024,Zagueiro Defensivo,0.904,3,74,95,0.472121,0.379349,0.435384,0.372459,0.501292,0.556554,1.0,3,20,37.5,20.0,69,98,95,72,49,72,6
3,0.888683,0.196375,0.581875,0.876033,0.99044,0.606683,0.875788,César Martins,Grêmio Novorizontino,Grêmio Novorizontino,"CB, RCB",CB,4,31,750000,2025-12-10,10,735,Brazil,Brazil,right,191,88,no,BRA2,Testing,2024,Zagueiro Defensivo,0.876,4,74,94,0.472121,0.379349,0.435384,0.372459,0.501292,0.556554,6.0,60,16,2.0,2.0,27,91,18,78,97,97,63
4,0.858998,0.518665,0.401796,0.652893,0.808795,0.718199,0.840872,Jonathan Costa,Avaí,Avaí,"LCB, RCB",LCB,4,29,250000,2024-12-31,9,755,Brazil,Brazil,right,186,70,no,BRA2,Testing,2024,Zagueiro Defensivo,0.841,5,74,93,0.472121,0.379349,0.435384,0.372459,0.501292,0.556554,9.5,20,42,6.0,6.0,19,87,72,43,91,91,74
5,0.890538,0.819349,0.778715,0.289256,0.403442,0.0,0.83923,Patrick,Grêmio Novorizontino,Grêmio Novorizontino,LCB,LCB,4,25,0,,22,1932,Brazil,Brazil,left,183,79,yes,BRA2,Testing,2024,Zagueiro Defensivo,0.839,6,74,91,0.472121,0.379349,0.435384,0.372459,0.501292,0.556554,5.0,4,4,47.0,48.0,74,93,94,94,36,35,0
6,0.966605,0.38231,0.343408,0.793388,0.944551,0.259194,0.828211,Jean Irmer,Ceará,Ceará,"CB, DMF, RCB",CB,4,30,400000,2024-12-31,16,723,Brazil,Brazil,right,183,80,no,BRA2,Testing,2024,Zagueiro Defensivo,0.828,7,74,90,0.472121,0.379349,0.435384,0.372459,0.501292,0.556554,2.0,34,50,3.0,4.0,71,97,54,32,95,94,4
7,0.858998,0.717033,0.402678,0.727273,0.695985,0.297773,0.825488,Guilherme Mariano,Ituano,Ituano,RCB,RCB,4,24,0,,17,1724,Brazil,Brazil,,0,0,yes,BRA2,Testing,2024,Zagueiro Defensivo,0.825,8,74,89,0.472121,0.379349,0.435384,0.372459,0.501292,0.556554,9.5,5,41,4.5,16.0,68,87,93,44,93,78,8
8,0.877551,0.39939,0.271852,0.528926,0.887189,0.404737,0.81169,Ianson,Brusque,Brusque,"RCB, CB",RCB,4,29,100000,2025-11-30,21,2015,Brazil,Brazil,right,187,80,no,BRA2,Testing,2024,Zagueiro Defensivo,0.812,9,74,87,0.472121,0.379349,0.435384,0.372459,0.501292,0.556554,7.0,31,58,16.5,5.0,54,90,58,21,77,93,27
9,0.944341,1.0,0.24167,0.198347,0.527725,0.343207,0.796972,Ericson,Botafogo SP,Botafogo SP,"LCB, RB, CB",LCB,4,25,50000,2025-12-10,12,909,Brazil,Brazil,right,184,84,no,BRA2,Testing,2024,Zagueiro Defensivo,0.797,10,74,86,0.472121,0.379349,0.435384,0.372459,0.501292,0.556554,3.0,1,62,62.0,29.0,63,95,98,16,16,60,14
