Unnamed: 0,Duelos_Aéreos_Ganhos,Passes_Curtos_Médios_Certos,Passes_Longos_Certos,Passes_Progressivos_Certos,Defesas,Gols_Evitados,Saídas,Interceptações.1,xG_Evitado,Finalizações_por_Gol_Sofrido,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Duelos_Aéreos_Ganhos_LM,Passes_Curtos_Médios_Certos_LM,Passes_Longos_Certos_LM,Passes_Progressivos_Certos_LM,Defesas_LM,Gols_Evitados_LM,Saídas_LM,Interceptações.1_LM,xG_Evitado_LM,Finalizações_por_Gol_Sofrido_LM,Duelos_Aéreos_Ganhos_Rank,Passes_Curtos_Médios_Certos_Rank,Passes_Longos_Certos_Rank,Passes_Progressivos_Certos_Rank,Defesas_Rank,Gols_Evitados_Rank,Saídas_Rank,Interceptações.1_Rank,xG_Evitado_Rank,Finalizações_por_Gol_Sofrido_Rank,Duelos_Aéreos_Ganhos_Percentil,Passes_Curtos_Médios_Certos_Percentil,Passes_Longos_Certos_Percentil,Passes_Progressivos_Certos_Percentil,Defesas_Percentil,Gols_Evitados_Percentil,Saídas_Percentil,Interceptações.1_Percentil,xG_Evitado_Percentil,Finalizações_por_Gol_Sofrido_Percentil
0,0.984052,0.155735,0.470215,0.615872,0.853266,0.806034,1.0,1.0,0.802691,0.742361,1.0,Jordi,Grêmio Novorizontino,Grêmio Novorizontino,GK,GK,0,31,600000,2024-12-31,32,3195,Brazil,Brazil,right,192,92,no,BRA2,Testing,2024,Goleiro Líbero,1.0,1,26,96,0.516251,0.424395,0.520095,0.600582,0.62184,0.640307,0.42524,0.47703,0.605915,0.494559,2,24,17,11,5,6.0,1,1.0,6,5.0,92,7,34,57,80,76,96,96,76,80
1,0.496434,0.450241,0.752946,0.750753,0.942211,0.820402,0.95625,0.875,0.813352,0.897862,0.974387,Matheus Cavichioli,Chapecoense,Chapecoense,GK,GK,0,38,100000,2024-11-30,20,1945,Brazil,"Brazil, Italy",right,192,103,no,BRA2,Testing,2024,Goleiro Líbero,0.974,2,26,92,0.516251,0.424395,0.520095,0.600582,0.62184,0.640307,0.42524,0.47703,0.605915,0.494559,14,9,5,6,2,5.0,3,3.0,5,2.0,46,65,80,76,92,80,88,88,80,92
2,0.845735,0.336596,0.339779,0.584183,0.893467,1.0,0.96875,0.606481,1.0,0.809955,0.966418,César Augusto,Avaí,Avaí,GK,GK,0,29,300000,2024-12-31,33,3295,Brazil,Brazil,right,192,82,no,BRA2,Testing,2024,Goleiro Líbero,0.966,3,26,88,0.516251,0.424395,0.520095,0.600582,0.62184,0.640307,0.42524,0.47703,0.605915,0.494559,5,16,21,15,4,1.0,2,6.0,1,4.0,80,38,19,42,84,96,92,76,96,84
3,0.876046,0.60498,0.490731,0.585263,0.780905,0.765805,0.925,0.472222,0.723843,0.634969,0.921774,Léo Vieira,Chapecoense,Chapecoense,GK,GK,0,34,100000,2024-12-31,12,1219,Brazil,Brazil,right,193,83,no,BRA2,Testing,2024,Goleiro Líbero,0.922,4,26,84,0.516251,0.424395,0.520095,0.600582,0.62184,0.640307,0.42524,0.47703,0.605915,0.494559,4,6,13,14,10,9.0,4,12.0,10,10.0,84,76,50,46,61,65,84,53,61,61
4,1.0,0.389044,0.952735,1.0,0.779397,0.679598,0.61875,0.481481,0.647043,0.629515,0.898315,Pedro Morisco,Coritiba U20,Coritiba,GK,GK,0,20,0,,34,3426,Brazil,Brazil,right,190,84,no,BRA2,Testing,2024,Goleiro Líbero,0.898,5,26,80,0.516251,0.424395,0.520095,0.600582,0.62184,0.640307,0.42524,0.47703,0.605915,0.494559,1,11,2,1,11,11.0,8,11.0,11,11.0,96,57,92,96,57,57,69,57,57,57
5,0.355435,0.738819,0.794556,0.894859,0.787437,0.757184,0.55625,0.861111,0.735582,0.653553,0.887195,Matheus Nogueira,Paysandu,Paysandu,GK,GK,0,27,100000,2026-06-30,15,1529,Brazil,Brazil,right,191,86,yes,BRA2,Testing,2024,Goleiro Líbero,0.887,6,26,76,0.516251,0.424395,0.520095,0.600582,0.62184,0.640307,0.42524,0.47703,0.605915,0.494559,20,4,4,3,8,10.0,10,4.0,8,8.0,23,84,84,88,69,61,61,84,69,69
6,0.537328,0.0,0.494214,0.648257,0.844221,0.662356,0.6125,0.337963,0.637202,0.729896,0.87822,Marcão,Amazonas,Amazonas,GK,GK,0,32,100000,2024-12-31,31,3151,Brazil,Brazil,right,195,89,no,BRA2,Testing,2024,Goleiro Líbero,0.878,7,26,73,0.516251,0.424395,0.520095,0.600582,0.62184,0.640307,0.42524,0.47703,0.605915,0.494559,11,26,12,10,6,15.0,9,20.0,14,6.0,57,0,53,61,76,42,65,23,46,76
7,0.958288,0.028919,0.352646,0.549962,0.665829,0.66954,0.8375,0.421296,0.638668,0.497189,0.82016,Matheus Nogueira,Brusque,Brusque,GK,GK,0,38,100000,2024-11-30,34,3410,Brazil,Brazil,right,190,84,no,BRA2,Testing,2024,Goleiro Líbero,0.82,8,26,69,0.516251,0.424395,0.520095,0.600582,0.62184,0.640307,0.42524,0.47703,0.605915,0.494559,3,25,20,18,13,13.5,5,13.0,13,13.0,88,3,23,30,50,48,80,50,50,50
8,0.473065,0.186528,0.480797,0.526463,0.907538,0.988506,0.2125,0.12963,0.957486,0.837154,0.805561,Gabriel Brazão,Santos,Santos,GK,GK,0,24,300000,2026-12-31,27,2723,Brazil,Brazil,right,192,85,no,BRA2,Testing,2024,Goleiro Líbero,0.806,9,26,65,0.516251,0.424395,0.520095,0.600582,0.62184,0.640307,0.42524,0.47703,0.605915,0.494559,16,22,15,20,3,2.0,18,25.0,2,3.0,38,15,42,23,88,92,30,3,92,88
9,0.578191,0.372632,0.468465,0.553982,0.78191,0.908046,0.125,0.412037,0.900945,0.636666,0.799935,Elias,América Mineiro,América Mineiro,GK,GK,0,29,100000,2024-11-30,19,1920,Brazil,Brazil,right,187,74,yes,BRA2,Testing,2024,Goleiro Líbero,0.8,10,26,61,0.516251,0.424395,0.520095,0.600582,0.62184,0.640307,0.42524,0.47703,0.605915,0.494559,9,13,18,17,9,4.0,21,14.0,3,9.0,65,50,30,34,65,84,19,46,88,65
