Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Passes_Longos_Certos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,Corridas_Progressivas,Passes_TerçoFinal_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
18,Luiz Otávio,Mirassol,Mirassol,LCB,LCB,4,32,900000,2024-11-30,28,2737,Brazil,Brazil,right,194,85,no,7.61,2.015216000000001,3.1365,4.197310000000001,14.123,6.245154,0.204682,0.0,0.61,3.685014000000001,BRA2,Testing,2024,0.7470354821146461,0.7469318854790692,0.7469836837968578
19,Sérgio Raphael,Ponte Preta,Ponte Preta,LCB,LCB,4,32,0,2024-12-31,22,1989,Brazil,Brazil,right,188,84,no,8.82,3.52659,2.219525,3.34862,12.531596,4.300065,0.768112,0.4091,0.36,1.58253,BRA2,Testing,2024,0.7113994525559721,0.6840069783454474,0.6977032154507099
20,Bruno Melo,Coritiba,Coritiba,"LCB, LB",LCB,4,32,400000,2024-12-31,31,3077,Brazil,Brazil,left,186,78,yes,6.58,2.576211,1.752595,3.190474,12.985824,6.931775,0.349371,0.0575,0.38,4.010136999999999,BRA2,Testing,2024,0.5837072856190793,0.5533574758653224,0.5685323807422009
21,César Martins,Grêmio Novorizontino,Grêmio Novorizontino,"CB, RCB",CB,4,31,750000,2025-12-10,10,735,Brazil,Brazil,right,191,88,no,10.29,2.45176,3.307696,4.895079,10.90042,7.467174,1.46674,0.246679,0.49,4.0392,BRA2,Testing,2024,0.8966096065924857,0.8973747835476389,0.8969921950700623
22,Lucas Maia,Paysandu,Paysandu,LCB,LCB,4,31,800000,2024-11-30,26,2472,Brazil,Brazil,left,192,85,no,8.01,3.203946,2.2544,1.713306,13.037508,4.772803,0.036414,0.035,0.76,2.87885,BRA2,Testing,2024,0.6231268692241478,0.5884553787063518,0.6057911239652498
23,Allan Godói,Operário PR,Operário PR,RCB,RCB,4,31,100000,2024-11-15,9,760,Brazil,Brazil,right,187,81,no,7.82,4.266,2.366856,1.89357,9.826792,3.904929,1.658125,0.472,2.37,2.36739,BRA2,Testing,2024,0.6111299015777837,0.6169428845645981,0.614036393071191
24,Matheus Salustiano,Guarani,Guarani,"LCB, RCB",LCB,4,31,100000,2024-11-30,23,2291,Brazil,Brazil,right,183,76,no,8.49,3.768264,2.59464,2.27688,9.074155999999999,3.140988,0.590688,0.160008,0.2,1.804635,BRA2,Testing,2024,0.5859947836226668,0.5546149187350169,0.5703048511788419
25,Rafael Thyere,Sport Recife,Sport Recife,RCB,RCB,4,31,600000,2025-12-31,19,1922,Brazil,Brazil,right,189,86,no,6.79,2.010592,2.295506,2.809325,14.377122,6.458515000000001,0.2799719999999999,0.0,1.59,5.571166999999999,BRA2,Testing,2024,0.6654056164701385,0.6396842234805726,0.6525449199753557
26,Éverton Alemão,Brusque,Brusque,RCB,RCB,4,31,100000,2024-11-30,19,1488,Brazil,Brazil,right,185,80,no,10.89,5.264688,3.14503,2.420416,10.160472,3.810592,0.544103,0.18,0.6,2.11875,BRA2,Testing,2024,0.8017039090948275,0.8325140947245393,0.8171090019096835
27,Alisson Cassiano,Sport Recife,Sport Recife,RCB,RCB,4,30,150000,2024-12-31,10,888,Brazil,Brazil,right,187,83,no,8.31,3.851315999999999,2.939586,2.838108,15.505212,6.69075,0.204,0.0,1.62,4.963,BRA2,Testing,2024,0.8912249666285613,0.8501208959678581,0.8706729312982098
28,Jean Irmer,Ceará,Ceará,"CB, DMF, RCB",CB,4,30,400000,2024-12-31,16,723,Brazil,Brazil,right,183,80,no,10.71,3.236219999999999,2.23951,3.359224,5.849088,5.102736999999999,0.8708,0.373296,0.5,3.612192,BRA2,Testing,2024,0.7335825062267073,0.7680268194302506,0.750804662828479
29,Wanderson,Paysandu,Paysandu,RCB,RCB,4,30,100000,2024-11-30,20,1866,Brazil,Brazil,right,187,85,no,9.36,3.955116,2.750398,2.02686,10.800144,3.85782,0.725,0.19,0.63,3.180716,BRA2,Testing,2024,0.720406335185766,0.711987274069811,0.7161968046277886
30,Messias,Goiás,Goiás,RCB,RCB,4,29,600000,2025-12-31,19,1866,Brazil,Brazil,right,192,92,yes,7.08,3.105536,4.53749,2.498265,8.257509,4.58784,0.253836,0.05,0.36,3.107764,BRA2,Testing,2024,0.820548445435687,0.754847785445323,0.7876981154405052
31,Joseph,Operário PR,Operário PR,"RCB, LCB",RCB,4,29,100000,2025-11-30,18,1729,Brazil,Brazil,right,186,79,no,7.18,2.652374,0.940814,1.935272,10.217856,3.812256,0.716898,0.2785770000000001,0.99,3.145740000000001,BRA2,Testing,2024,0.2814108996537982,0.2730186665470958,0.277214783100447
32,Diogo Silva,Tianjin Tigers,Amazonas,LCB,LCB,4,29,200000,2024-11-30,14,1364,Brazil,Brazil,right,187,83,no,6.2,2.241297,1.650936,2.443009,10.884076,3.75968,0.197156,0.0,0.26,1.450824,BRA2,Testing,2024,0.2207942309551713,0.2082931451882262,0.2145436880716988
33,Matheus Costa,Botafogo SP,Botafogo SP,"RCB, LCB",RCB,4,29,300000,2025-12-31,21,1775,Brazil,"Brazil, Portugal",right,188,82,no,7.55,3.09411,2.17833,2.12745,11.764838,4.462315,0.762,0.306682,1.32,3.241962,BRA2,Testing,2024,0.559279190896237,0.5399276109201347,0.5496034009081859
34,J. Quintero,,Vila Nova,RCB,RCB,4,29,700000,,19,1497,Colombia,Colombia,right,184,79,no,7.33,2.586455,2.586455,1.74525,10.222443,4.207117,0.239988,0.12,0.18,1.62545,BRA2,Testing,2024,0.4812943835549147,0.4057718053968051,0.44353309447586
35,Éder,América Mineiro,América Mineiro,"LCB, RCB",LCB,4,29,800000,2024-12-31,25,2413,Brazil,Brazil,right,184,82,no,6.34,2.649702,2.388476,3.767519999999999,19.28514,8.131032000000001,0.411019,0.11,0.9,5.483992,BRA2,Testing,2024,0.7905303173361786,0.7875624642877432,0.789046390811961
36,Jonathan Costa,Avaí,Avaí,"LCB, RCB",LCB,4,29,250000,2024-12-31,9,755,Brazil,Brazil,right,186,70,no,10.13,3.811496,2.501052,4.05428,11.917615,4.766905,1.668238,0.480024,1.43,4.887712000000001,BRA2,Testing,2024,0.9065875504389808,0.9535227098819166,0.9300551301604487
37,Ramon Menezes,Ceará,Ceará,"RCB, LCB",RCB,4,29,400000,2025-12-31,15,1129,Brazil,Brazil,right,186,81,no,5.5,1.67475,3.504732,3.026818,10.446688,4.224550000000001,0.400008,0.24,0.0,2.632858,BRA2,Testing,2024,0.690388761676968,0.618915673593055,0.6546522176350116
38,Mateus Silva,Ponte Preta,Ponte Preta,RCB,RCB,4,29,150000,2025-12-31,19,1824,Brazil,Brazil,right,192,92,no,9.55,3.544660000000001,1.616748,3.962766,12.418384,5.528111,0.6273249999999999,0.053328,1.2,3.86391,BRA2,Testing,2024,0.7464358243503014,0.744417001540562,0.7454264129454318
39,Ianson,Brusque,Brusque,"RCB, CB",RCB,4,29,100000,2025-11-30,21,2015,Brazil,Brazil,right,187,80,no,10.23,3.30828,1.918982,2.41178,11.565576,4.0625,0.5325,0.176,0.27,1.650313,BRA2,Testing,2024,0.5889023554586073,0.5686635182462196,0.5787829368524136
40,Lucas Dias,Muharraq,Botafogo SP,"CB, RCB",CB,4,29,0,2024-12-05,15,1386,Brazil,Brazil,right,191,82,no,9.55,3.636905,1.947904,2.923052,9.350249999999999,4.21875,0.7768679999999999,0.256,0.32,2.534805,BRA2,Testing,2024,0.6657138944287071,0.6494557561380208,0.657584825283364
41,Benevenuto,Coritiba,Coritiba,"LCB, RCB",LCB,4,28,2000000,2026-12-31,22,1962,Brazil,Brazil,right,181,78,yes,7.2,2.246976,2.156686,3.076128,9.039744,3.303268,0.595548,0.135,1.01,1.78761,BRA2,Testing,2024,0.3366489330665116,0.3242942592853632,0.3304715961759375
42,Lucão,América Mineiro,América Mineiro,LCB,LCB,4,28,400000,2025-12-31,12,1126,Brazil,Brazil,right,187,80,no,6.63,2.240112,3.360168,1.840144,16.462194,4.473159,0.239976,0.08,0.96,2.720008,BRA2,Testing,2024,0.6843135586811039,0.6383062623034197,0.6613099104922618
43,Y. Quintana,Paysandu,Paysandu,"RCB, LCB",RCB,4,28,350000,2024-11-30,20,1853,Uruguay,Uruguay,right,196,92,no,10.2,4.272394,4.034179,2.86649,15.253472,7.046362,0.778618,0.241657,1.36,5.295096,BRA2,Testing,2024,0.9978493034040062,0.9788803506666901,0.9883648270353482
44,Bruno Leonardo,Chapecoense,Chapecoense,RCB,RCB,4,28,0,,26,2538,Brazil,Brazil,right,187,88,no,8.97,3.439898,3.19455,3.406272,11.52668,4.25784,0.46224,0.177792,0.96,2.840142,BRA2,Testing,2024,0.8700970915699238,0.8409818773183417,0.8555394844441329
45,Fabio Alemão,CRB,CRB,LCB,LCB,4,27,300000,2024-12-31,16,1588,Brazil,Brazil,right,184,87,no,9.07,4.646439999999999,1.645344,3.568162,15.242472,6.006882000000001,0.565362,0.17144,0.68,3.907755,BRA2,Testing,2024,0.82922082392647,0.8244706431078093,0.8268457335171397
46,Willian Machado,Operário PR,Operário PR,LCB,LCB,4,27,100000,2024-12-31,30,3026,Brazil,Brazil,left,186,90,no,6.8,1.971825,3.474996,4.611231,14.547984,6.642519000000001,0.95392,0.188562,1.35,5.072018,BRA2,Testing,2024,0.8611791721449737,0.8138024232645831,0.8374907977047785
47,Wálber,Nam Dinh,Ituano,"RCB, LCB",RCB,4,27,150000,2024-12-31,13,1156,Brazil,Brazil,right,186,80,no,6.62,2.724011,0.70125,2.414258,7.161238,2.493684,0.156348,0.08,0.93,1.635696,BRA2,Testing,2024,0.03319269159311607,0.03219204683445584,0.03269236921378596
48,João Paulo,Chapecoense,Chapecoense,LCB,LCB,4,27,100000,2025-10-31,13,949,Brazil,Brazil,left,187,75,no,7.59,2.751397,2.276449,3.601578,13.937456,6.825,0.283608,0.09,0.66,3.0371,BRA2,Testing,2024,0.7115134186039752,0.6910286478799401,0.7012710332419577
49,João Victor,Mirassol,Mirassol,"RCB, LCB",RCB,4,27,250000,2026-12-31,32,3125,Brazil,Brazil,right,188,80,yes,6.28,1.960713,2.350899,2.679684,14.154,4.726512,0.180012,0.09,0.98,2.317041,BRA2,Testing,2024,0.4742249076026499,0.4575523376389725,0.4658886226208112
50,L. Segovia,CRB,CRB,LCB,LCB,4,27,1500000,2025-12-31,9,874,Ecuador,Ecuador,left,182,80,yes,6.9,2.47065,2.572752,4.634291999999999,12.86877,7.307848,0.5167080000000001,0.206677,2.06,6.487936000000001,BRA2,Testing,2024,0.7610858073035432,0.7265018709535995,0.7437938391285714
51,Eduardo Doma,Chapecoense,Chapecoense,"LCB, RCB",LCB,4,26,0,2024-12-31,20,1846,Brazil,Brazil,right,187,79,no,7.36,2.289,3.948059999999999,3.510449,13.648281,5.414515,0.294,0.05,0.68,2.191716,BRA2,Testing,2024,0.7677495983264576,0.7448876624337997,0.7563186303801288
52,Chico,Sport Recife,Sport Recife,"LCB, LB",LCB,4,26,500000,2026-12-31,24,2035,Brazil,Brazil,left,188,80,no,7.39,3.315,2.120922,3.982471,16.893828,8.355374999999999,0.4434959999999999,0.132,0.93,5.131782,BRA2,Testing,2024,0.7995600172153386,0.8018509793514064,0.8007054982833726
53,Matheus Felipe,Ceará,Ceará,"RCB, CB",RCB,4,25,1200000,2026-12-31,22,1983,Brazil,Brazil,right,186,84,yes,6.04,2.770344,1.905384,2.088285,9.074351000000002,4.129029,0.225018,0.09,0.91,3.089437999999999,BRA2,Testing,2024,0.3835482303262659,0.3105204910753188,0.3470343607007924
54,Léo Santos,Nacional,Guarani,"LCB, RCB, CB",LCB,4,25,900000,2027-06-30,12,1092,Brazil,Brazil,right,186,80,no,8.16,3.135132,2.88636,2.8014,13.849474,3.788677,1.318563,0.744562,1.98,3.95836,BRA2,Testing,2024,0.6539427173586221,0.7172300467718147,0.6855863820652184
55,Joaquim,Tigres UANL,Santos,"LCB, RCB",LCB,4,25,3000000,2027-06-30,12,1189,Brazil,Brazil,right,190,82,no,7.87,3.255896,4.463448,3.029409,13.243505,4.921792,0.985,0.302842,0.68,4.1635,BRA2,Testing,2024,0.9246816541350241,0.8878956825125761,0.9062886683238003
56,Lucas Ribeiro,Goiás,Goiás,"LCB, RCB",LCB,4,25,1000000,2024-12-31,27,2545,Brazil,Brazil,right,190,80,no,6.77,4.0119,1.658116,3.314538,10.11886,5.043986,1.474614,0.44212,1.36,3.571525,BRA2,Testing,2024,0.6033099484220718,0.6099434323317152,0.6066266903768935
57,Bernardo Schappo,Botafogo SP,Botafogo SP,LCB,LCB,4,25,750000,2026-12-31,28,2271,Brazil,"Brazil, Luxembourg",left,191,85,yes,8.68,4.081692,4.000932,3.009798,16.173038,6.42226,0.6731999999999999,0.320004,1.35,4.31926,BRA2,Testing,2024,0.9786609610604852,0.9456915417492004,0.9621762514048429
