Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Passes_Longos_Certos,Passes_Progressivos_Certos,Pisadas_Área,Dribles_BemSucedidos,Corridas_Progressivas,xG,xA,Assistência_Finalização,Passes_TerçoFinal_Certos,Deep_Completions,Passes_Chave,Passes_ÁreaPênalti_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
27,S. Gómez,Coritiba,Coritiba,"LCMF, LDMF, RCMF",LCMF,8,28,1500000,2026-12-31,28,2394,Colombia,Colombia,left,172,72,no,9.44,1.0528,4.433654000000001,0.64,0.6374550000000001,1.32,0.04,0.04,0.9,5.642226000000001,0.34,0.23,0.45,BRA2,Testing,2024,0.5583992068517898,0.547791066134163,0.5530951364929764
28,Gustavo Bochecha,Botafogo SP,Botafogo SP,"LCMF, RCMF",LCMF,8,28,500000,2025-04-30,32,2056,Brazil,Brazil,left,173,73,no,6.57,2.32208,4.33104,1.18,0.5242279999999999,0.61,0.06,0.06,0.79,4.379595,0.61,0.22,0.8301299999999999,BRA2,Testing,2024,0.5143036995134406,0.49705629166571,0.5056799955895753
29,Eduardo,Grêmio Novorizontino,Grêmio Novorizontino,RCMF,RCMF,8,27,400000,2024-12-31,27,2114,Brazil,Brazil,right,178,76,no,8.56,1.233604,3.83057,0.47,0.8533760000000001,0.6,0.02,0.05,0.68,3.105648,0.21,0.21,0.426624,BRA2,Testing,2024,0.4290462525572282,0.3984261461075294,0.4137361993323788
30,Gabriel Bispo,Guarani,Guarani,"RCMF, RDMF",RCMF,8,27,300000,2024-11-30,18,1445,Brazil,Brazil,right,177,77,no,10.84,1.308312,3.67732,0.69,0.246679,0.25,0.05,0.01,0.37,3.922146,0.25,0.0,0.311526,BRA2,Testing,2024,0.3878992494074699,0.4377908462816462,0.412845047844558
31,Ramon,Ponte Preta,Ponte Preta,"LCMF, LDMF, LAMF",LCMF,8,27,300000,2024-12-31,21,1130,Brazil,Brazil,left,174,69,no,5.57,2.078448,6.408444,0.83,0.75,1.16,0.1,0.03,0.42,5.743212,0.67,0.25,1.0816,BRA2,Testing,2024,0.7941167166663367,0.7705908269510409,0.7823537718086888
32,Everton Morelli,Coritiba,Coritiba,"RCMF, RDMF",RCMF,8,26,400000,2024-12-31,26,1776,Brazil,Brazil,right,185,73,yes,9.93,1.316958,3.241702,1.32,0.4543160000000001,1.17,0.08,0.04,0.35,3.853998000000001,0.2,0.1,0.4545,BRA2,Testing,2024,0.3906228226194584,0.4063614501983205,0.3984921364088895
33,F. Domínguez,Sport Recife,Sport Recife,"RCMF, AMF, RDMF",RCMF,8,26,600000,2024-12-31,29,2624,Uruguay,"Uruguay, Spain",right,177,69,yes,9.02,1.164126,2.914344,2.2,1.099206,1.17,0.18,0.05,0.45,2.535952,0.75,0.1,0.893403,BRA2,Testing,2024,0.3769007060060003,0.3654960156653115,0.3711983608356559
34,José Aldo,Ituano,Ituano,"LCMF, AMF",LCMF,8,26,50000,2025-11-30,26,2090,Brazil,Brazil,right,175,70,no,10.55,2.715948,5.341728,0.78,0.861504,0.9,0.1,0.06,0.99,5.165802,0.43,0.17,0.8175149999999999,BRA2,Testing,2024,0.7077071711061097,0.6788689585201315,0.6932880648131206
35,Matheus Bueno,Guarani,Guarani,"LCMF, RCMF, LDMF",LCMF,8,26,350000,2025-06-30,33,3053,Brazil,Brazil,right,178,79,no,8.05,3.50976,8.312441999999999,0.38,0.70915,1.21,0.03,0.07,0.85,8.692983,0.83,0.12,0.8558910000000001,BRA2,Testing,2024,1.0,1.0,1.0
36,Zé Gabriel,Coritiba,Coritiba,"RCMF, RDMF, LCMF",RCMF,8,25,1500000,2025-12-31,13,965,Brazil,Brazil,right,184,77,yes,7.55,1.676898,4.290671000000001,0.37,0.749119,0.65,0.01,0.01,0.56,4.754628,0.0,0.0,0.0,BRA2,Testing,2024,0.4336756971787994,0.3944161447226559,0.4140459209507277
37,Geovane,Portimonense,Vila Nova,LCMF,LCMF,8,25,0,2027-06-30,12,818,Brazil,Brazil,left,175,71,no,7.59,2.310132,5.82978,0.22,0.33,0.77,0.06,0.01,0.33,5.72,0.11,0.11,0.660033,BRA2,Testing,2024,0.5805176501643823,0.5764143339563415,0.5784659920603619
38,S. Abdulai,Botafogo SP,Botafogo SP,"LCMF, RCMF",LCMF,8,25,200000,,12,1009,Ghana,Ghana,right,187,80,no,7.05,1.4285,3.390912,0.18,0.983871,1.07,0.02,0.0,0.18,3.48,0.0,0.0,0.179982,BRA2,Testing,2024,0.1859835452503233,0.1788262816245368,0.18240491343743
39,Rafael Carvalheira,Chapecoense,Chapecoense,"LCMF, RAMF, LDMF",LCMF,8,25,50000,2024-12-31,30,2613,Brazil,Brazil,left,176,72,no,6.68,1.000878,2.718495,0.76,0.17,0.52,0.09,0.07,0.69,3.203354,0.24,0.0,0.34542,BRA2,Testing,2024,0.1271043297939843,0.1383578962016477,0.132731112997816
40,Cauan Barros,Amazonas,Amazonas,"RCMF, LCMF, LDMF",RCMF,8,20,0,,23,1926,Brazil,Brazil,right,175,68,yes,9.72,1.730238,4.20247,0.84,0.4213729999999999,0.56,0.13,0.04,0.37,5.185016000000001,0.33,0.05,0.28,BRA2,Testing,2024,0.550392901477387,0.5394165857418018,0.5449047436095944
41,Miquéias,Ituano,Ituano,"RCMF, RDMF",RCMF,8,23,0,,33,2801,Brazil,Brazil,right,187,74,yes,6.46,0.676715,4.468793000000001,0.87,0.35361,1.03,0.07,0.06,0.58,4.046577,0.35,0.13,0.51435,BRA2,Testing,2024,0.3751000556118199,0.3676458085577831,0.3713729320848015
42,Cristiano,Vila Nova,Vila Nova,"LCMF, RCMF, RDMF",LCMF,8,23,0,,31,2930,Brazil,Brazil,right,175,70,no,6.7,3.8409,5.747112,0.15,0.8008,1.08,0.02,0.02,0.43,5.924732000000001,0.37,0.06,0.520848,BRA2,Testing,2024,0.6344118099589783,0.6431083084669693,0.6387600592129739
43,Juninho,Goiás,Goiás,"LCMF, AMF",LCMF,8,23,1000000,2024-12-31,24,1577,Brazil,Brazil,right,174,70,no,7.9,0.725163,3.557216,1.45,2.292068,3.14,0.11,0.07,1.21,5.1858,1.45,0.36,0.844375,BRA2,Testing,2024,0.5129416608740512,0.518362125703905,0.5156518932889782
44,Rodrigo Santos,Avaí,Avaí,"LCMF, RCMF",LCMF,8,24,0,,9,735,Brazil,Brazil,,0,0,yes,8.57,1.3475,4.287696,1.1,1.101152,1.59,0.1,0.01,0.73,5.018973000000001,0.37,0.12,0.733785,BRA2,Testing,2024,0.5496247927908463,0.5247277613598311,0.5371762770753388
45,Patrick De Lucca,Ceará,Ceará,"RCMF, LDMF, LCMF",RCMF,8,24,1800000,2025-12-31,30,2461,Brazil,Brazil,right,180,75,yes,6.55,2.48966,6.363342,0.48,0.220011,0.4,0.01,0.02,0.51,6.8778,0.29,0.15,0.44,BRA2,Testing,2024,0.7361982294996653,0.7368872640998803,0.7365427467997727
