Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Finalizações_Bloqueadas,Interceptações_Ajustadas_a_Posse,Passes_Longos_Certos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Passes_Laterais_Certos,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,Corridas_Progressivas,Passes_TerçoFinal_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
0,Ralf,Vila Nova,Vila Nova,"RCB, DMF, RDMF",RCB,4,40,150000,2024-12-31,28,2442,Brazil,Brazil,right,182,85,no,8.07,2.577973,1.254946,0.52,7.59,3.170349,11.056848,5.677542000000001,14.96367,0.5892020000000001,0.11,0.33,3.277025,BRA2,Testing,2024,0.6743589353247871,0.6346127749480084,0.6544858551363977
1,David Braz,Goiás,Goiás,"CB, LCB",CB,4,37,150000,2024-12-31,21,1744,Brazil,Brazil,right,188,88,no,7.17,2.785159999999999,1.85705,0.46,5.89,3.768352999999999,12.181135,6.139752,21.42024,0.361677,0.25625,1.14,4.491355,BRA2,Testing,2024,0.6425626186603848,0.6425160274375056,0.6425393230489451
2,Gil,Santos,Santos,"LCB, RCB",LCB,4,37,300000,2024-12-31,31,3123,Brazil,Brazil,right,192,87,no,5.65,2.882997,2.705742,0.43,3.97,1.4424,11.904336,3.545931,19.683481,0.4052400000000001,0.084,0.06,1.413104,BRA2,Testing,2024,0.198353923998746,0.1431641246067801,0.1707590243027631
3,Wallace,Brusque,Brusque,LCB,LCB,4,36,100000,2024-12-31,32,3130,Brazil,Brazil,right,186,76,no,7.27,2.874123000000001,1.608756,0.72,5.74,2.186006,16.213008,6.095700000000001,13.598336,1.38,0.229319,1.38,3.99648,BRA2,Testing,2024,0.6025133226137347,0.5826121699894546,0.5925627463015947
4,Rafael Donato,Grêmio Novorizontino,Grêmio Novorizontino,CB,CB,4,35,200000,2025-11-30,26,2172,Brazil,Brazil,right,193,99,no,10.57,4.310372,5.180639999999999,0.54,7.59,2.985755,8.496303,4.643056000000001,11.80764,0.4125,0.08,0.08,2.613006,BRA2,Testing,2024,0.841341326374664,0.8388299109801837,0.8400856186774238
5,Luciano Castán,Sport Recife,Sport Recife,"LCB, RCB",LCB,4,35,300000,2024-12-31,22,1927,Brazil,"Brazil, Italy",left,187,80,no,6.87,2.942349000000001,2.05533,0.51,5.98,4.715745,15.2292,7.054784,25.54839,0.511781,0.186676,2.01,6.027655999999999,BRA2,Testing,2024,0.733974583047438,0.7090666813019211,0.7215206321746795
6,Douglas Bacelar,Guarani,Guarani,RCB,RCB,4,34,100000,2024-11-30,25,2417,Brazil,Brazil,right,190,84,no,7.07,2.236914,2.938800000000001,0.52,5.68,1.48874,6.631,2.15874,16.351056,0.297748,0.073337,0.11,0.9678149999999998,BRA2,Testing,2024,0.1286998564631959,0.09720805701853463,0.1129539567408653
7,Claudinho,Ituano,Ituano,"LCB, RCB",LCB,4,34,50000,2024-12-31,29,2829,Brazil,Brazil,right,183,82,no,8.65,3.084939,2.734633,0.86,6.89,2.89692,8.910139000000001,3.279584,15.876234,0.384,0.0975,0.25,1.620957,BRA2,Testing,2024,0.6349401362852535,0.5323981324428625,0.583669134364058
8,Tiago Pagnussat,Avaí,Avaí,"RCB, LCB",RCB,4,34,250000,2025-06-30,32,3009,Brazil,"Brazil, Italy",right,191,88,no,8.46,3.29315,4.065799999999999,0.54,6.08,3.82954,12.864768,5.776218,21.382715,0.35997,0.150012,0.48,3.916824,BRA2,Testing,2024,0.8009401536679467,0.7944642999345426,0.7977022268012446
9,Alemão,Operário PR,Operário PR,RCB,RCB,4,33,100000,2024-12-31,14,1215,Brazil,Brazil,right,186,76,no,5.56,1.704233,3.108222,0.3,5.74,2.81295,15.112626,6.0,21.781336,0.296478,0.075,2.37,3.779426,BRA2,Testing,2024,0.5408677378575202,0.5188396539996407,0.5298536959285804
