Unnamed: 0,Passes_Longos_Certos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,xG,Finalizações_NoAlvo,Conversão_Gols,xA,Assistência_Finalização,Passes_Inteligentes_Certos,Passes_EntreLinhas_Certos,Passes_Chave,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Passes_Longos_Certos_LM,Passes_Frontais_Certos_LM,Passes_Progressivos_Certos_LM,Duelos_Ofensivos_Ganhos_LM,Dribles_BemSucedidos_LM,xG_LM,Finalizações_NoAlvo_LM,Conversão_Gols_LM,xA_LM,Assistência_Finalização_LM,Passes_Inteligentes_Certos_LM,Passes_EntreLinhas_Certos_LM,Passes_Chave_LM,Passes_Longos_Certos_Rank,Passes_Frontais_Certos_Rank,Passes_Progressivos_Certos_Rank,Duelos_Ofensivos_Ganhos_Rank,Dribles_BemSucedidos_Rank,xG_Rank,Finalizações_NoAlvo_Rank,Conversão_Gols_Rank,xA_Rank,Assistência_Finalização_Rank,Passes_Inteligentes_Certos_Rank,Passes_EntreLinhas_Certos_Rank,Passes_Chave_Rank,Passes_Longos_Certos_Percentil,Passes_Frontais_Certos_Percentil,Passes_Progressivos_Certos_Percentil,Duelos_Ofensivos_Ganhos_Percentil,Dribles_BemSucedidos_Percentil,xG_Percentil,Finalizações_NoAlvo_Percentil,Conversão_Gols_Percentil,xA_Percentil,Assistência_Finalização_Percentil,Passes_Inteligentes_Certos_Percentil,Passes_EntreLinhas_Certos_Percentil,Passes_Chave_Percentil
0,0.578513,0.524106,1.0,0.405398,0.566936,0.483871,0.532343,0.166648,0.826087,0.797546,0.364602,0.878417,0.485437,1.0,Adyson,América Mineiro,América Mineiro,"RAMF, RW, RWF",RAMF,10,19,0,,27,1613,Brazil,Brazil,left,168,60,no,BRA2,Testing,2024,Extremo Organizador,1.0,1,60,98,0.208975,0.255912,0.271083,0.350544,0.419153,0.416129,0.460002,0.332253,0.374638,0.354499,0.287258,0.246772,0.243851,2,6,1,22,15,21.5,23,47.5,5.0,4.0,18.0,2.0,7.5,96,90,98,63,75,64,61,20,91,93,70,96,87
1,0.211209,0.071273,0.236077,1.0,1.0,0.516129,0.222126,0.333333,0.695652,0.595092,0.0,0.173151,0.417476,0.844862,Victor Andrade,Botafogo SP,Botafogo SP,"LW, LWF, CF",LW,10,29,0,2024-12-31,13,1156,Brazil,Brazil,right,178,72,no,BRA2,Testing,2024,Extremo Organizador,0.845,2,60,96,0.208975,0.255912,0.271083,0.350544,0.419153,0.416129,0.460002,0.332253,0.374638,0.354499,0.287258,0.246772,0.243851,22,53,32,1,1,18.0,50,24.0,6.0,11.0,52.0,36.0,11.0,63,11,46,98,98,70,16,60,90,81,13,40,81
2,0.203526,0.472545,0.422669,0.580281,0.652669,0.258065,0.286691,0.215671,0.652174,0.815951,0.78144,0.617415,0.23301,0.812065,Enio,Amazonas,Amazonas,"RW, LW, RAMF",RW,10,23,200000,2025-12-31,33,2606,Brazil,Brazil,right,168,64,no,BRA2,Testing,2024,Extremo Organizador,0.812,3,60,95,0.208975,0.255912,0.271083,0.350544,0.419153,0.416129,0.460002,0.332253,0.374638,0.354499,0.287258,0.246772,0.243851,24,7,8,6,9,49.5,42,38.0,7.5,3.0,3.0,3.0,25.0,60,88,86,90,85,17,30,36,87,95,95,95,58
3,0.290414,0.636658,0.50193,0.530758,0.557601,0.612903,0.753627,0.29729,0.434783,0.429448,0.737305,0.439096,0.427184,0.76755,Lucas Ronier,Coritiba U20,Coritiba,"RAMF, RW, CF",RAMF,10,19,0,,31,2787,Brazil,Brazil,left,165,60,no,BRA2,Testing,2024,Extremo Organizador,0.768,4,60,93,0.208975,0.255912,0.271083,0.350544,0.419153,0.416129,0.460002,0.332253,0.374638,0.354499,0.287258,0.246772,0.243851,11,3,5,9,16,11.0,10,27.0,21.5,19.0,5.0,13.0,10.0,81,95,91,85,73,81,83,55,64,68,91,78,83
4,1.0,1.0,0.941657,0.265696,0.21777,0.0,0.002586,0.183332,0.913043,0.785276,0.723126,1.0,0.533981,0.75895,Lucas Lima,Sport Recife,Sport Recife,"RW, RAMF, CF",RW,10,34,600000,2025-04-30,31,2847,Brazil,Brazil,left,176,70,yes,BRA2,Testing,2024,Extremo Organizador,0.759,5,60,91,0.208975,0.255912,0.271083,0.350544,0.419153,0.416129,0.460002,0.332253,0.374638,0.354499,0.287258,0.246772,0.243851,1,1,2,41,53,59.5,59,44.0,3.0,5.0,7.0,1.0,5.0,98,98,96,31,11,0,1,26,95,91,88,98,91
5,0.377691,0.363878,0.412192,0.440383,0.762092,0.774194,0.265902,0.104756,0.0,0.263804,0.93338,0.481813,0.029126,0.73138,Leozinho,Ituano,Ituano,"RW, RAMF, RWF",RW,10,25,0,,27,1258,Brazil,Brazil,left,173,60,no,BRA2,Testing,2024,Extremo Organizador,0.731,6,60,90,0.208975,0.255912,0.271083,0.350544,0.419153,0.416129,0.460002,0.332253,0.374638,0.354499,0.287258,0.246772,0.243851,7,13,10,14,7,3.5,45,53.0,59.0,33.5,2.0,10.0,57.5,88,78,83,76,88,94,25,11,1,44,96,83,4
6,0.124843,0.214692,0.210989,0.763918,0.859654,0.419355,0.454391,0.249991,0.347826,0.245399,0.364602,0.254106,0.223301,0.728011,Welliton Matheus,Goiás,Goiás,"RW, RAMF, RWF",RW,10,24,0,2024-12-31,33,2470,Brazil,Brazil,left,180,73,yes,BRA2,Testing,2024,Extremo Organizador,0.728,7,60,88,0.208975,0.255912,0.271083,0.350544,0.419153,0.416129,0.460002,0.332253,0.374638,0.354499,0.287258,0.246772,0.243851,42,29,34,2,3,27.5,28,34.0,29.0,40.0,18.0,24.0,27.5,30,51,43,96,95,54,53,43,51,33,70,60,54
7,0.438039,0.307373,0.512163,0.433414,0.623375,0.354839,0.531027,0.431379,0.478261,0.521472,0.388908,0.135523,0.184466,0.71468,Jean Dias,Paysandu,Paysandu,"RAMF, LAMF, RW",RAMF,10,34,350000,2024-12-31,26,1481,Brazil,Brazil,right,170,66,no,BRA2,Testing,2024,Extremo Organizador,0.715,8,60,86,0.208975,0.255912,0.271083,0.350544,0.419153,0.416129,0.460002,0.332253,0.374638,0.354499,0.287258,0.246772,0.243851,5,19,4,16,10,36.5,25,18.5,18.5,13.0,16.0,40.0,35.5,91,68,93,73,83,39,58,69,69,78,73,33,40
8,0.066445,0.073166,0.181205,0.685207,0.915414,0.290323,0.406221,0.407399,0.652174,0.325153,0.0,0.180698,0.592233,0.710548,Fernandinho,Mirassol,Mirassol,"LW, LWF, LAMF",LW,10,27,400000,2024-11-30,30,2318,Brazil,Brazil,right,175,70,no,BRA2,Testing,2024,Extremo Organizador,0.711,9,60,85,0.208975,0.255912,0.271083,0.350544,0.419153,0.416129,0.460002,0.332253,0.374638,0.354499,0.287258,0.246772,0.243851,54,52,41,3,2,44.5,34,21.0,7.5,25.0,52.0,33.0,4.0,10,13,31,95,96,25,43,65,87,58,13,45,93
9,0.248272,0.314316,0.297041,0.636956,0.74127,0.548387,0.878292,0.549995,0.130435,0.276074,0.0,0.0,0.106796,0.692058,Paulinho Bóia,Paysandu,Paysandu,"LAMF, RAMF, RW",LAMF,10,26,700000,2024-12-31,14,821,Brazil,Brazil,right,171,64,no,BRA2,Testing,2024,Extremo Organizador,0.692,10,60,83,0.208975,0.255912,0.271083,0.350544,0.419153,0.416129,0.460002,0.332253,0.374638,0.354499,0.287258,0.246772,0.243851,16,18,21,4,8,14.5,4,10.0,52.5,31.5,52.0,54.0,45.5,73,70,65,93,86,75,93,83,12,47,13,10,24
