Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Passes_Progressivos_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
0,Rodolfo Potiguar,Brusque,Brusque,"DMF, RCMF, RDMF",DMF,7,36,100000,2024-12-31,32,2679,Brazil,Brazil,right,179,70,no,9.98,4.029438000000001,1.446717,8.166676,BRA2,Testing,2024,0.9545296716181728,0.961657974797094,0.9575736179729082
1,Moisés,América Mineiro,América Mineiro,"LDMF, LCMF",LDMF,7,36,250000,2024-12-31,28,1368,Brazil,Brazil,right,184,76,no,5.92,2.8945,1.313505,6.0525,BRA2,Testing,2024,0.3545030127377861,0.3481601609323852,0.3432792964579106
2,Gabriel,Mirassol,Mirassol,"DMF, LCMF, CF",DMF,7,34,350000,2025-12-31,30,2386,Brazil,Brazil,right,178,67,no,4.64,1.394216,0.8141640000000001,5.303233000000001,BRA2,Testing,2024,0.191840526687915,0.09077249028657425,0.1306470572201252
3,Alê,América Mineiro,América Mineiro,"DMF, RDMF, LDMF",DMF,7,34,300000,2025-12-31,31,2892,Brazil,Brazil,right,184,74,no,7.59,4.109084999999999,0.714195,6.097728000000001,BRA2,Testing,2024,0.5557547926694091,0.5457337647976153,0.5451674116503831
4,Auremir,Chapecoense,Chapecoense,"DMF, RDMF, LCMF",DMF,7,33,300000,2025-12-31,15,849,Brazil,Brazil,right,174,64,no,8.48,3.496556,2.120106,2.117379,BRA2,Testing,2024,0.3769535392071466,0.3496835913257265,0.3554150760781512
5,Emerson Santos,Ponte Preta,Ponte Preta,"LDMF, DMF, LCMF",LDMF,7,32,200000,2024-12-31,29,2002,Brazil,Brazil,right,180,77,no,9.88,4.822764,1.842552,4.729752,BRA2,Testing,2024,0.7245137686170698,0.7449748952006562,0.7314515622590506
6,Foguinho,Chapecoense,Chapecoense,"RDMF, RCMF",RDMF,7,32,300000,2024-12-31,28,2335,Brazil,Brazil,right,180,75,no,6.63,4.12224,0.461793,2.464546,BRA2,Testing,2024,0.05225065349582948,0.1123939303652373,0.07093063599652195
7,Neto Paraíba,Operário PR,Operário PR,"RDMF, LDMF, RCMF",RDMF,7,32,50000,2024-12-31,16,842,Brazil,Brazil,right,179,74,no,6.75,3.0464,0.650715,4.899804,BRA2,Testing,2024,0.2453917280255518,0.267369085252928,0.2471494331952233
8,Índio,Operário PR,Operário PR,"LDMF, LCMF",LDMF,7,32,100000,2024-12-31,23,1426,Brazil,Brazil,left,185,82,no,6.75,2.648182,1.51649,5.174240999999999,BRA2,Testing,2024,0.3356864149339643,0.348524542818631,0.3339386595675027
9,Tárik,Chapecoense,Chapecoense,"LDMF, LCMF, RCMF",LDMF,7,31,50000,2024-12-31,24,1617,Brazil,"Brazil, Italy",right,183,72,no,6.96,3.285,1.6697,5.064772,BRA2,Testing,2024,0.3827747614939768,0.4140134062405859,0.3909260070640788
10,João Schmidt,Santos,Santos,"LDMF, LCMF, DMF",LDMF,7,31,1000000,2024-12-31,30,2873,Brazil,Brazil,left,183,80,no,10.43,4.697084,2.130792,8.180559,BRA2,Testing,2024,1.0,1.0,1.0
11,Arilson,Vila Nova,Vila Nova,"LDMF, LCMF",LDMF,7,30,450000,2024-12-31,15,975,Brazil,Brazil,right,180,82,no,7.75,3.690544,1.660083,5.539606,BRA2,Testing,2024,0.5674502275215273,0.5659281753678315,0.5613102677665167
12,Rodrigo,Ituano,Ituano,"DMF, LDMF, LCMF",DMF,7,30,0,2024-12-31,29,2371,Brazil,Brazil,right,176,70,no,10.25,4.249000000000001,0.8348679999999998,2.618294,BRA2,Testing,2024,0.5272486670218831,0.519125056425591,0.5172679087315302
13,Dudu Vieira,Juventude,Ponte Preta,"RDMF, RB, RCMF",RDMF,7,30,200000,2025-12-31,14,1084,Brazil,Brazil,right,175,75,no,7.97,3.739188,0.582072,2.660133,BRA2,Testing,2024,0.22493485635373,0.2396924220303185,0.2227839112595943
14,Felipe,Sport Recife,Sport Recife,"DMF, LCMF, RDMF",DMF,7,30,900000,2024-12-31,29,2761,Brazil,Brazil,right,184,84,no,6.75,3.3277,1.302792,6.422415999999999,BRA2,Testing,2024,0.486443647078918,0.4980883622804444,0.4859632134820419
15,Guilherme Xavier,Amazonas,Amazonas,"DMF, LCMF",DMF,7,29,100000,2024-12-31,12,853,Brazil,Brazil,left,170,73,no,5.28,2.85,0.845672,3.69455,BRA2,Testing,2024,0.0,0.04423996534870769,0.00998100119516588
16,Castro,Ponte Preta,Ponte Preta,"RDMF, LCB, RCMF",RDMF,7,29,0,,23,2196,Brazil,Brazil,right,191,81,no,8.03,4.035114,3.174304,3.865575,BRA2,Testing,2024,0.5457589922591285,0.5664933221476471,0.5506160984422528
17,Emerson Santos,Ponte Preta,Ponte Preta,"LDMF, RCMF",LDMF,7,29,500000,2025-04-30,23,1457,Brazil,Brazil,right,184,75,no,6.86,2.909548,0.7113980000000001,4.590692000000001,BRA2,Testing,2024,0.2389210797833382,0.2440957783251971,0.232092841284092
18,Rômulo,CRB,CRB,"LDMF, RDMF, DMF",LDMF,7,28,450000,2024-12-31,22,921,Brazil,Brazil,right,182,80,no,7.92,3.03,1.658944,5.18071,BRA2,Testing,2024,0.5018919482873458,0.5013920426059194,0.4954555937612572
19,Neto Moura,Mirassol,Mirassol,"DMF, LCMF, LDMF",DMF,7,28,800000,2025-12-31,29,2062,Brazil,Brazil,right,177,70,yes,9.03,3.760194,1.283769,6.835428,BRA2,Testing,2024,0.810249704917866,0.8027745986553453,0.8041102769509445
20,Val Soares,Paysandu,Paysandu,"LDMF, AMF, LCMF",LDMF,7,27,225000,2025-06-30,18,1063,Brazil,Brazil,right,176,69,yes,7.28,3.471825,0.9323640000000001,9.142596,BRA2,Testing,2024,0.630894877195748,0.7390800431071242,0.6810770301199568
21,Jacy,Operário PR,Operário PR,"DMF, RDMF, RCMF",DMF,7,27,100000,2025-12-31,26,1811,Brazil,Brazil,right,192,83,no,10.15,5.25838,5.1051,2.733872,BRA2,Testing,2024,0.7404532391336556,0.7364649294758369,0.7352124279916771
22,Lourenço,Ceará,Ceará,"RDMF, RCMF, LCMF",RDMF,7,27,1000000,2025-12-31,27,2314,Brazil,Brazil,right,169,65,no,6.03,2.451156,1.553596,4.592276,BRA2,Testing,2024,0.1935500233297734,0.1971505197748421,0.1853616962896972
23,João Vieira,Paysandu,Paysandu,"RDMF, LDMF, LCMF",RDMF,7,26,100000,2024-11-30,31,3011,Brazil,Brazil,right,173,68,no,6.46,3.707556,0.45,5.532725,BRA2,Testing,2024,0.3088870335925082,0.3718844931320803,0.3321975962455841
24,Netinho,Paysandu,Paysandu,"RDMF, RCMF, LDMF",RDMF,7,26,0,,24,883,Brazil,Brazil,right,180,76,no,6.52,3.875796,0.714696,5.505,BRA2,Testing,2024,0.3170184662489391,0.3870258212667036,0.3439784256569449
25,Falcão,CRB,CRB,"LDMF, DMF, LCMF",LDMF,7,26,100000,2026-12-31,32,2500,Brazil,Brazil,right,183,71,no,11.88,6.873826,1.654831,5.185819999999999,BRA2,Testing,2024,0.9381890997281199,0.9866499635886122,0.9619530239057833
26,Paulinho,Brusque,Brusque,"LDMF, LCMF",LDMF,7,26,0,2024-12-31,10,809,Brazil,Brazil,unknown,0,0,yes,10.12,5.453568000000001,1.446912,3.89193,BRA2,Testing,2024,0.6568684738051087,0.6877008305005784,0.668216534932449
27,Vinicius Diniz,Operário PR,Operário PR,"RDMF, RCMF, LCMF",RDMF,7,25,100000,2025-12-31,26,1639,Brazil,Brazil,right,190,82,no,8.51,3.88064,1.736469,4.167429000000001,BRA2,Testing,2024,0.484186276110809,0.4890142995900423,0.4802271648836141
28,João Pedro,CRB,CRB,"RDMF, RCMF, LDMF",RDMF,7,25,50000,2024-12-31,28,2420,Brazil,Brazil,right,185,72,no,7.66,4.353706,1.113615,5.283840000000001,BRA2,Testing,2024,0.5085562156971701,0.5095704899973977,0.5029690766971896
29,João Costa,Botafogo SP U20,Botafogo SP,"DMF, RCMF, LCMF",DMF,7,19,0,,28,2050,Brazil,Brazil,right,0,0,no,6.76,3.11688,0.919512,2.061198,BRA2,Testing,2024,0.02452272429891208,0.0,0.0
30,Felipe Amaral,América Mineiro,América Mineiro,"RDMF, DMF, LDMF",RDMF,7,21,0,,21,934,Brazil,Brazil,right,174,72,no,9.83,4.527189,0.771719,5.397932000000001,BRA2,Testing,2024,0.7901754335189509,0.733316776893198,0.7587885239435415
31,Vini Paulista,Coritiba,Coritiba,"LDMF, LW, RDMF",LDMF,7,23,500000,2025-12-31,26,1702,Brazil,Brazil,right,179,71,no,10.36,6.55592,0.5806399999999999,2.7,BRA2,Testing,2024,0.6150942353317439,0.6433747445895639,0.6246319665633582
